"2016 Form EIA-860 Data - Schedule 3, 'Solar Technology Data' (Operable Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
16625,San Diego State University,50061,San Diego State University,CA,San Diego,GEN7,OP,Solar Photovoltaic,PV,Commercial CHP,5,0.3,0.3,0.2,4,2012,,,,Y,,,,,,,15.0,0.3,Y,,,,,,Y,0.3,N, 
16625,San Diego State University,50061,San Diego State University,CA,San Diego,GEN8,OP,Solar Photovoltaic,PV,Commercial CHP,5,0.1,0.1,0.1,3,2014,,,,Y,,,,,,N,10.0,0.1,Y,,,,,,Y,0.1,N, 
50131,Enel Stillwater LLC,50765,Stillwater Facility,NV,Churchill,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,22.0,21.8,21.8,4,2012,,,,Y,,,,,,,16.2,26.2,Y,,,,,,N, ,N, 
13943,Ocean County Utilities Auth,54569,Bayville Central Facility,NJ,Ocean,CPV1,OP,Solar Photovoltaic,PV,Commercial CHP,5,0.2,0.2,0.1,5,2007,,,,Y,,,,,,, ,0.2,Y,,,,,,N, ,N, 
803,Arizona Public Service Co,56228,Prescott Airport,AZ,Yavapai,PV1,OP,Solar Photovoltaic,PV,Electric Utility,1,2.1,2.1,2.1,10,2002,,Y,,,,,,,,,30.0,2.1,Y,,,,,,N, ,N, 
15500,Puget Sound Energy Inc,56322,Wild Horse,WA,Kittitas,WHS1,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,10,2007,,,,Y,,,,,,,37.0,0.5,Y,,,,,,N, ,N, 
55744,Acciona Solar Power,56405,Nevada Solar One,NV,Clark,ONE,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,75.7,68.5,40.0,6,2007,,Y,,,,Y,,,,, , ,,,,,,,, ,, 
54902,SunE Alamosa1 LLC,56481,SunE Alamosa,CO,Alamosa,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,12,2007,,Y,,,,,,,,,20.0,1.0,Y,,,,,,Y,1.0,N, 
54902,SunE Alamosa1 LLC,56481,SunE Alamosa,CO,Alamosa,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,7.2,6.7,6.7,12,2007,,Y,,,,,,,,,20.0,7.2,Y,,,,,,Y,7.2,N, 
55710,Barrick Goldstrike Mines Inc,56500,Western 102 Power Plant,NV,Storey,PV1,OP,Solar Photovoltaic,PV,Industrial Non-CHP,6,1.0,1.0,1.0,12,2007,,,,Y,,,,,,,21.0,1.3,Y,,,,,,N, ,N, 
