"2016 Form EIA-860 Data - Schedule 3, 'Solar Technology Data' (Operable Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
14328,Pacific Gas & Electric Co,57499,Westside Solar Station,CA,Fresno,1,OP,Solar Photovoltaic,PV,Electric Utility,1,15.0,15.0,15.0,8,2011,,,,Y,,,,,,,25.0,18.5,Y,,,,,,N, ,N, 
56827,FRV SI Transport Solar LP,57506,FRV SI Transport Solar LP,CA,Sacramento,SEIM,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,8,2010,,,,Y,,,,,,,0.0,1.2,Y,,,,,,N, ,N, 
56828,RV CSU Power II LLC,57507,RV CSU Power II LLC,CO,Larimer,CSUII,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,3.0,3.0,3.0,12,2010,,,,Y,,,,,,,0.0,3.3,Y,,,,,,N, ,N, 
56830,Carson Solar 1 LLC,57509,Carson Solar I,CO,El Paso,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,1.5,1.4,12,2007,,,,Y,N,,,,,,0.0,2.0,Y,,,,,,N, ,N, 
56856,Trexlertown Solar Array North and South,57519,Trexlertown Solar Array North and South,PA,Lehigh,GEN1,OP,Solar Photovoltaic,PV,Industrial Non-CHP,6,1.9,1.9,1.4,6,2011,,,,Y,,,,,,,30.0,2.0,,,Y,,,,N, ,N, 
14328,Pacific Gas & Electric Co,57521,Giffen,CA,Fresno,1,OP,Solar Photovoltaic,PV,Electric Utility,1,10.0,10.0,10.0,6,2012,,,,Y,,,,,,,25.0,13.1,Y,,,,,,N, ,N, 
14328,Pacific Gas & Electric Co,57522,Cantua Solar Station,CA,Fresno,1,OP,Solar Photovoltaic,PV,Electric Utility,1,20.0,20.0,20.0,6,2012,,,,Y,,,,,,,25.0,26.3,Y,,,,,,N, ,N, 
14328,Pacific Gas & Electric Co,57523,Huron Solar Station,CA,Fresno,1,OP,Solar Photovoltaic,PV,Electric Utility,1,20.0,20.0,20.0,6,2012,,,,Y,,,,,,,25.0,26.8,Y,,,,,,N, ,N, 
56857,SunE M5C Holdings LLC,57524,Roger Road WWTP,AZ,Pima,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.1,0.9,0.9,8,2010,,Y,,,,,,,,,0.0,1.1,Y,,,,,,Y,1.0,N, 
56863,Kapaa Solar LLC,57525,Kapaa Photovoltaic Project,HI,Kauai,KSPV,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,12,2010,,,,Y,,,,,,,20.0,1.2,Y,,,,,,Y,1.2,N, 
17609,Southern California Edison Co,57534,Solar Photovoltaic Project #32,CA,San Bernardino,S32A,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,10.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57534,Solar Photovoltaic Project #32,CA,San Bernardino,S32B,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,10.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57534,Solar Photovoltaic Project #32,CA,San Bernardino,S32C,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,10.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57535,Solar Photovoltaic Project #33,CA,San Bernardino,S33A,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,1,2015,,,,Y,,,,,,,10.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57535,Solar Photovoltaic Project #33,CA,San Bernardino,S33B,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,1,2015,,,,Y,,,,,,,10.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44A,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44B,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44C,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44D,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44E,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44F,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44G,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44H,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44I,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44J,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44K,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44L,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44M,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44N,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44O,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
17609,Southern California Edison Co,57540,Solar Photovoltaic Project #44,CA,Riverside,S44P,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,5.0,0.6,Y,,,,,,N, ,N, 
56892,Solar Star Colorado II LLC,57554,AFA Solar Farm,CO,El Paso,AFA1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.5,5.5,5.5,3,2011,,Y,,,,,,,,,0.0,6.0,Y,,,,,,N, ,N, 
19728,"UNS Electric, Inc",57556,La Senita,AZ,Mohave,1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.0,1.0,1.0,11,2011,,,,Y,,,,,,,25.0,1.2,Y,,,,,,N, ,N, 
56902,"RE SFCity1, LP",57559,Sunset Reservoir North Basin,CA,San Francisco,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4.5,4.5,4.5,9,2010,,,,Y,,,,,,,6.0,5.0,Y,,,,,,N, ,N, 
803,Arizona Public Service Co,57560,Chino Solar Valley,AZ,Yavapai,PV1,OP,Solar Photovoltaic,PV,Electric Utility,1,19.0,19.0,19.0,12,2012,,Y,,,,,,,,,0.0,21.0,Y,,,,,,N, ,N, 
803,Arizona Public Service Co,57561,Cotton Center Solar,AZ,Maricopa,PV1,OP,Solar Photovoltaic,PV,Electric Utility,1,17.0,17.0,17.0,11,2011,,Y,,,,,,,,,0.0,21.0,Y,,,,,,N, ,N, 
803,Arizona Public Service Co,57562,Paloma Solar,AZ,Maricopa,PV1,OP,Solar Photovoltaic,PV,Electric Utility,1,17.6,17.6,17.6,9,2011,,N,,Y,,,,,,,25.0,22.5,,Y,,,,,N, ,N, 
803,Arizona Public Service Co,57563,Hyder Solar,AZ,Yuma,PV1,OP,Solar Photovoltaic,PV,Electric Utility,1,17.0,17.0,17.0,11,2011,,Y,,,,,,,,,0.0,18.8,Y,,,,,,N, ,N, 
803,Arizona Public Service Co,57563,Hyder Solar,AZ,Yuma,PV2,OP,Solar Photovoltaic,PV,Electric Utility,1,5.0,5.0,5.0,2,2012,,Y,,,,,,,,,0.0,5.0,Y,,,,,,N, ,N, 
56904,"RP-Orlando, LLC",57565,"RP-Orlando, LLC",FL,Orange,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.1,5.1,5.1,12,2011,,Y,,,,,,,,,0.0,5.9,Y,,,,,,N, ,N, 
59300,PNM Resources,57567,Albuquerque Solar Energy Center,NM,Bernalillo,ASEC1,OP,Solar Photovoltaic,PV,Electric Utility,1,2.0,2.0,2.0,4,2011,,,,Y,,,,,,,25.0,2.4,,Y,,,,,N, ,, 
59300,PNM Resources,57571,Los Lunas Solar Energy Center,NM,Valencia,LLSEC,OP,Solar Photovoltaic,PV,Electric Utility,1,5.0,5.0,5.0,6,2011,,,,Y,,,,,,,25.0,6.4,,Y,,,,,N, ,, 
59300,PNM Resources,57571,Los Lunas Solar Energy Center,NM,Valencia,LMS2,OP,Solar Photovoltaic,PV,Electric Utility,1,2.0,2.0,2.0,10,2013,,,,Y,,,,,,,25.0,2.5,,Y,,,,,N, ,, 
56915,"Solar Star New Jersey IV, LLC",57574,ETS Ewing Solar Facility,NJ,Mercer,ETS1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.3,1.3,1.3,6,2010,,,,Y,,,,,,,5.0,1.4,Y,,,,,,N, ,N, 
59300,PNM Resources,57575,Deming Solar Energy Center,NM,Luna,DSEC,OP,Solar Photovoltaic,PV,Electric Utility,1,5.0,5.0,5.0,8,2011,,,,Y,,,,,,,25.0,6.2,,Y,,,,,N, ,, 
59300,PNM Resources,57575,Deming Solar Energy Center,NM,Luna,HON2,OP,Solar Photovoltaic,PV,Electric Utility,1,4.0,4.0,4.0,11,2013,,,,Y,,,,,,,25.0,5.0,,Y,,,,,N, ,, 
59300,PNM Resources,57576,Las Vegas Solar Energy Center,NM,San Miguel,LVSEC,OP,Solar Photovoltaic,PV,Electric Utility,1,5.0,5.0,5.0,11,2011,,,,Y,,,,,,,25.0,6.4,,Y,,,,,N, ,, 
59300,PNM Resources,57577,Alamogordo Solar Energy Center,NM,Otero,AGSEC,OP,Solar Photovoltaic,PV,Electric Utility,1,5.0,4.9,4.9,10,2011,,,,Y,,,,,,,25.0,6.4,,Y,,,,,N, ,, 
17573,South San Joaquin Irr District,57579,Robert O Schulz Solar Farm,CA,Stanislaus,1,OP,Solar Photovoltaic,PV,Electric Utility,1,0.9,0.9,0.9,5,2008,,,Y,,,,,,,, ,1.2,Y,,,,,,Y,1.2,N, 
17573,South San Joaquin Irr District,57579,Robert O Schulz Solar Farm,CA,Stanislaus,2,OP,Solar Photovoltaic,PV,Electric Utility,1,0.4,0.4,0.4,5,2009,,,Y,,,,,,,, ,0.4,,Y,,,,,Y,0.4,N, 
15477,Public Service Elec & Gas Co,57588,Matrix Stults Road Solar Facility,NJ,Middlesex,STULT,OP,Solar Photovoltaic,PV,Electric Utility,1,2.6,2.6,2.6,6,2011,,,,Y,,,,,,,10.0,3.0,Y,,,,,,N, ,N, 
56924,Long Island Solar Farm LLC,57589,Long Island Solar Farm LLC,NY,Suffolk,9WUBN,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,31.5,31.5,31.5,12,2011,,,,Y,,,,,,,28.0,37.7,Y,,,,,,N, ,N, 
56926,"Hatch Solar Energy Center I, LLC",57591,"Hatch Solar Energy Center I, LLC",NM,Dona Ana,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,6,2011,Y,,Y,,,,N,,,, ,6.5,Y,,,,,N,N, ,N, 
56971,"500 Virginia Solar, LP",57640,500 Virginia Solar,PA,Montgomery,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,7,2011,N,,,Y,,,,,,,10.0,1.0,Y,,,,,,N, ,N, 
56974,"Denver Airport Solar, LLC",57645,City & County of Denver at Denver Int'l,CO,Denver,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.4,3.4,3.4,6,2011,,,,Y,,,,,,,25.0,4.5,Y,,,,,,Y,4.5,N, 
56975,"Constellation Solar Maryland, LLC",57646,McCormick & Co. Inc. at Belcamp,MD,Harford,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.4,1.4,1.4,12,2010,,,,Y,,,,,,,20.0,1.8,Y,,,,,,Y,1.8,N, 
56976,"Constellation Solar New Jersey II, LLC",57647,"Toys R Us- DE, Inc. at Mt. Olive, NJ",NJ,Morris,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4.1,4.1,4.1,12,2011,,,,Y,,,,,,,0.0,5.4,,,Y,,,,Y,5.4,N, 
56980,"Regulus Solar, LLC",57650,Regulus Solar Project,CA,Kern,FRV4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,60.0,60.0,60.0,11,2014,,Y,,,,,,,,,0.0,81.6,Y,,,,,,N, ,N, 
17650,Southern Power Co,57651,FRV Cygnus Solar Project,CA,Kern,FRV3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,20.0,20.0,20.0,5,2014,,Y,,,,,,,,, ,26.4,Y,,,,,,N, ,N, 
57170,"EDF Renewable Asset Holdings, Inc.",57652,Yamhill Solar LLC,OR,Yamhill,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,10,2011,,,,Y,,,,,,,48.0,1.2,Y,,,,,,N, ,N, 
56982,Kern Community College District,57655,Bakersfield College Solar 01,CA,Kern,BC01,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.1,1.1,1.1,11,2010,,Y,,,,,,,,,1.0,1.1,Y,,,,,,Y,1.0,N, 
56984,"Temescal Canyon RV, LLC",57656,"Temescal Canyon RV, LLC",CA,Riverside,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,1.5,1.5,5,2011,,,,Y,,,,,,,2.0,1.5,Y,,,,,,N, ,N, 
59398,NRG Solar Avra Valley,57657,Avra Valley Solar,AZ,Pima,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,26.5,25.0,25.0,1,2013,,Y,,,,,,,,, ,26.5,,Y,,,,,, ,, 
56990,NJR Clean Energy Ventures Corporation,57660,Vineland Mays Landing Solar,NJ,Cumberland,VNLND,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4.3,3.7,3.7,10,2011,,Y,,N,,,,,,,0.0,4.7,Y,,,,,,N, ,N, 
56990,NJR Clean Energy Ventures Corporation,57661,Manalapan Village Solar,NJ,Monmouth,MANVL,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.5,3.5,3.5,12,2011,,,,Y,,,,,,,20.0,3.6,Y,,,,,,N, ,N, 
56990,NJR Clean Energy Ventures Corporation,57662,McGraw Hill Solar,NJ,Mercer,MCGRH,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,12.0,12.0,12.0,12,2011,,,,Y,,,,,,,25.0,14.1,Y,,,,,,N, ,N, 
56993,SBS Energy Partners LLC,57667,Seabrook Solar Plant,NJ,Cumberland,P21A,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,1.5,1.5,12,2011,,,,Y,,,,,,,20.0,1.7,Y,,,,,,Y,1.7,N, 
56993,SBS Energy Partners LLC,57667,Seabrook Solar Plant,NJ,Cumberland,P21B,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,1.5,1.5,4,2014,,,,Y,,,,,,,20.0,1.9,Y,,,,,,Y,1.9,N, 
56993,SBS Energy Partners LLC,57667,Seabrook Solar Plant,NJ,Cumberland,P2P2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.8,0.8,0.8,4,2014,,,,Y,,,,,,,20.0,0.8,Y,,,,,,Y,0.8,N, 
56993,SBS Energy Partners LLC,57667,Seabrook Solar Plant,NJ,Cumberland,SBS1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.0,3.0,3.0,3,2011,,,,Y,,,,,,,20.0,3.1,Y,,,,,,Y,3.1,N, 
56994,Carlisle Area School District,57668,CASD Solar,PA,Cumberland,CASDE,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.9,0.9,0.9,10,2010,,,Y,Y,,,,,,,30.0,0.9,Y,,,,,,Y,0.6,Y,0.3
56994,Carlisle Area School District,57668,CASD Solar,PA,Cumberland,CASDW,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.4,0.4,0.4,10,2010,,,Y,Y,,,,,,,30.0,0.4,Y,,,,,,N, ,Y,0.4
56995,"Sacramento PV Energy, LLC",57669,SMUD at Grundman,CA,Sacramento,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,17.0,18.0,17.0,12,2011,,,,Y,,,,,,,20.0,21.9,,Y,,,,,Y,21.9,N, 
56995,"Sacramento PV Energy, LLC",57670,SMUD at Van Conett,CA,Sacramento,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.9,2.9,2.9,12,2011,,,,Y,,,,,,,20.0,3.7,,Y,,,,,Y,3.7,N, 
56995,"Sacramento PV Energy, LLC",57671,SMUD at Fleshman,CA,Sacramento,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.9,2.9,2.9,12,2011,,,,Y,,,,,,,20.0,3.7,,Y,,,,,Y,3.7,N, 
56998,"Macys Corporate Services, Inc",57673,Macys Goodyear,AZ,Maricopa,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.5,3.5,3.5,12,2010,,,,Y,,,,,,,7.0,3.5,Y,,,,,,N, ,N, 
56999,Western Massachusetts Electric Company,57674,Indian Orchard PV Facility,MA,Hampden,1,OP,Solar Photovoltaic,PV,Electric Utility,1,2.3,2.3,2.3,12,2011,,,,Y,,,,,,,20.0,2.3,Y,,,,,,N, ,N, 
56999,Western Massachusetts Electric Company,57676,Silver Lake Solar Photovoltaic Facility,MA,Berkshire,1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.8,1.8,1.8,12,2010,,,,Y,,,,,,,20.0,1.8,Y,,,,,,N, ,, 
57001,"Murphy Farm Power, LLC",57677,"Murphy Farm Power, LLC",NC,Cherokee,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,5,2011,,,,Y,,,,,,,30.0,1.0,Y,,,,,,N, ,N, 
57004,Arlington Valley Solar Energy II LLC,57680,Arlington Valley Solar Energy II,AZ,Maricopa,AVSE1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,19.0,18.5,18.5,4,2013,,Y,,N,,,,,,,0.0,26.1,Y,,,,,,N, ,N, 
57004,Arlington Valley Solar Energy II LLC,57680,Arlington Valley Solar Energy II,AZ,Maricopa,AVSE2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,28.0,27.3,27.3,4,2013,,Y,,N,,,,,,,0.0,38.5,Y,,,,,,N, ,N, 
57004,Arlington Valley Solar Energy II LLC,57680,Arlington Valley Solar Energy II,AZ,Maricopa,AVSE3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,28.0,27.3,27.3,5,2013,,Y,,N,,,,,,,0.0,38.4,Y,,,,,,N, ,N, 
57004,Arlington Valley Solar Energy II LLC,57680,Arlington Valley Solar Energy II,AZ,Maricopa,AVSE4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,26.0,25.0,25.0,8,2013,,Y,,N,,,,,,,0.0,33.5,Y,,,,,,N, ,N, 
57004,Arlington Valley Solar Energy II LLC,57680,Arlington Valley Solar Energy II,AZ,Maricopa,AVSE5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,28.0,27.3,27.3,8,2013,,Y,,N,,,,,,,0.0,38.4,Y,,,,,,N, ,N, 
57005,"SunE NLB-2, LLC",57681,City of Boulder WWTP,CO,Boulder,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,6,2010,,,,Y,,,,,,,30.0,1.0,Y,,,,,,N, ,N, 
57006,"SunE GIL1, LLC",57682,City of Madera WWTP,CA,Madera,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.2,1.0,1.0,9,2009,,,Y,,,,,,,,0.0,1.2,Y,,,,,,Y,1.0,N, 
57007,"SunE WF3-ST Holdings, LLC",57683,"Staples La Mirada, CA",CA,Los Angeles,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.1,0.9,0.9,3,2009,,,,Y,,,,,,,20.0,1.1,Y,,,,,,Y,1.0,N, 
59184,Humphrey Realty,57685,Rinehart,FL,Seminole,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,10.0,10.0,6,2011,,,,N,,,,,,Y, ,10.0,Y,,,,,,N, ,N, 
57011,"CS Murphy Point, LLC",57687,"CS Murphy Point, LLC",NC,Cherokee,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,8,2011,,,,Y,,,,,,,30.0,1.0,Y,,,,,,N, ,N, 
57017,DOE National Renewable Energy Laboratory,57692,DOE Golden NWTC Load Side,CO,Jefferson,SEPV,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.1,1.1,1.1,10,2009,,Y,,N,,,,,,, ,1.1,Y,,,,,,Y,1.1,N, 
57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,MESA,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.7,0.7,0.7,12,2008,,Y,,,,,,,,, ,0.7,Y,,,,,,N, ,N, 
57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,PARKG,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.2,1.2,1.2,3,2013,,N,,Y,,,,,,,16.7,1.2,Y,,,,,,N, ,N, 
57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,PARKL,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.5,9,2011,,N,,Y,,,,,,,9.0,0.5,Y,,,,,,N, ,N, 
57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,RSF1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.4,0.4,0.4,12,2010,,N,,Y,,,,,,,10.0,0.4,Y,,,,,,N, ,N, 
57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,RSF2,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.4,0.4,0.4,2,2012,,N,,Y,,,,,,,10.0,0.4,Y,,,,,,N, ,N, 
57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,STF,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.1,0.1,0.1,6,2009,,N,,Y,,,,,,,10.0,0.1,Y,,,,,,N, ,N, 
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,129.8,129.8,129.8,4,2013,,,,Y,,,,,,,25.0,166.0,,Y,,,,,N, ,N, 
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,151.2,151.2,151.2,6,2013,,,,Y,,,,,,,25.0,191.9,,Y,,,,,N, ,N, 
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,102.1,102.1,102.1,1,2014,,,,Y,,,,,,,25.0,131.4,,Y,,,,,N, ,N, 
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,90.3,90.3,90.3,11,2014,,,,Y,,,,,,,25.0,116.1,,Y,,,,,N, ,N, 
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,112.5,112.5,112.5,10,2014,,,,Y,,,,,,,25.0,146.7,,Y,,,,,N, ,N, 
57022,Solar Power Inc.,57697,Aerojet I,CA,Sacramento,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.0,3.0,3.0,12,2009,,Y,,,,,,,,,45.0,3.0,Y,,,,,,N, ,N, 
57022,Solar Power Inc.,57698,Aerojet II,CA,Sacramento,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.7,2.7,2.7,6,2010,,Y,,,,,,,,,45.0,2.7,Y,,,,,,N, ,N, 
57021,FRV AE Solar LLC,57699,Webberville Solar Project,TX,Travis,AES1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,30.0,30.0,30.0,12,2011,,Y,,,,,,,,,0.0,35.0,Y,,,,,,N, ,N, 
57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,11,2011,,,,Y,,,,,,,20.0,22.5,Y,,,,,,N, ,, 
57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,10,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,12.0,12.0,12.0,10,2012,,,,Y,,,,,,,20.0,15.2,Y,,,,,,N, ,, 
57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,11,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,10,2012,,,,Y,,,,,,,20.0,22.5,Y,,,,,,N, ,, 
