plant_id,c2,c1,c0
BARRY-NG-ST,2.469190674020474e-22,10.986394397351058,179.82398694636348
BARRY-BIT-ST,1.4963848774689816e-18,9.731777657226363,195.12116644508754
BARRY-NG-CT,0.0032554633702336563,4.727900423940016,375.26462936263476
BARRY-NG-CA,0.0032554633702336563,4.727900423940016,375.26462936263476
GORGAS-BIT-ST,4.967997645144614e-20,9.955930952261818,217.64469058291647
COPPER-NG-GT,0.00903868258659373,10.088314525751356,240.65742985803809
GREENE COUNTY-NG-ST,9.6448171745801e-18,9.409171005435134,71.39527351350505
GREENE COUNTY-NG-GT,4.183158986431498e-24,10.804428745149075,162.07256845869293
E C GASTON-NG-ST,0.004438817115461595,7.472710271699257,178.98649208175135
E C GASTON-BIT-ST,0.0020470927401419307,7.811855503311431,1171.925135822442
E C GASTON-DFO-GT,0.004438817115461595,7.472710271699257,178.98649208175135
COLBERT-NG-GT,0.0019586670485920465,14.311018807751449,1.6493986386363515
DOLET HILLS-LIG-ST,0.001212684850589502,8.201579235111163,221.6994702633152
CHARLES R LOWMAN-BIT-ST,0.004016629769924317,7.827087957766878,225.51385431424245
PLATTE-SUB-ST,0.008563752636440703,9.845907433469105,43.724011577261265
WHELAN ENERGY CENTER-RC-ST,0.0015174051186019094,8.67269274667713,158.87956845922136
WHELAN ENERGY CENTER-SUB-ST,0.0015174051186019094,8.67269274667713,158.87956845922136
ESCALANTE-SUB-ST,1.2648264873997209e-14,9.459391956690306,105.45693231633477
PETERSBURG-WAT-HY,0.0032272957492575486,6.855053343638689,594.1428178510237
PETERSBURG-DFO-IC,0.0032272957492575486,6.855053343638689,594.1428178510237
FREDERICKSON-NG-GT,0.0045866560331894665,3.9218755203849547,474.1768073517195
HOLCOMB-SUB-ST,2.326417037179364e-17,9.136025784149696,263.71757847867326
CHOLLA-SUB-ST,0.00036291137560224657,10.444511408139993,47.10043017567704
OCOTILLO-NG-ST,0.006628943956535007,9.146230458516815,149.51490433999177
OCOTILLO-NG-GT,0.006628943956535007,9.146230458516815,149.51490433999177
WEST PHOENIX-NG-CS,0.002141454571902254,6.075680203535571,211.63735019978452
WEST PHOENIX-NG-CT,0.002141454571902254,6.075680203535571,211.63735019978452
WEST PHOENIX-NG-CA,0.002141454571902254,6.075680203535571,211.63735019978452
WEST PHOENIX-NG-GT,0.002141454571902254,6.075680203535571,211.63735019978452
SAGUARO-NG-GT,6.3547771401280866e-21,9.166423522686774,132.29303443205896
YUCCA-NG-GT,0.040989035643117726,7.140678545632317,92.6312544958384
YUCCA-DFO-GT,0.040989035643117726,7.140678545632317,92.6312544958384
YUCCA-NG-ST,0.040989035643117726,7.140678545632317,92.6312544958384
OKLAUNION-SUB-ST,0.0020022078350011544,8.759121906382896,406.3994231145209
CROSS-RC-ST,1.9045868241230703e-05,9.938714185251543,146.42605357341137
AGUA FRIA-NG-ST,0.007512163758522706,7.998728432486008,99.88148130374627
AGUA FRIA-NG-GT,0.007512163758522706,7.998728432486008,99.88148130374627
AGUA FRIA-SUN-PV,0.007512163758522706,7.998728432486008,99.88148130374627
KYRENE-NG-GT,0.0071617994676166676,3.264141562972547,440.1694179044992
KYRENE-NG-CT,0.0071617994676166676,3.264141562972547,440.1694179044992
KYRENE-NG-CA,0.0071617994676166676,3.264141562972547,440.1694179044992
APACHE STATION-NG-ST,0.004786349840624214,8.889548717176032,107.18429284661421
APACHE STATION-SUB-ST,0.004786349840624214,8.889548717176032,107.18429284661421
LAKE CATHERINE-NG-ST,0.00019677952494804972,9.10440617616619,294.42095506385766
THOMAS FITZHUGH-NG-CA,1.5084598791052717e-18,6.4130887787903035,296.5009366062228
THOMAS FITZHUGH-NG-CT,1.5084598791052717e-18,6.4130887787903035,296.5009366062228
PHOENIX-WAT-HY,0.002141454571902254,6.075680203535571,211.63735019978452
SOUTH-WAT-HY,0.0034639817032239614,4.329801147060125,346.63801999712877
WISE-WAT-HY,0.0018869222034773485,5.385294492557925,441.16155539454405
LIMESTONE-SUB-ST,1.0146688014571387e-20,9.044089969179996,550.7359979998541
ORMOND BEACH-NG-ST,0.000268560069149496,8.325391068521707,574.3996808940111
MOUNTAINVIEW GENERATING STATION-NG-CT,0.003954978977895127,4.100687699687952,440.1174683389459
MOUNTAINVIEW GENERATING STATION-NG-CA,0.003954978977895127,4.100687699687952,440.1174683389459
GRAYSON-NG-CA,4.6006157158368436e-20,9.32855691458197,57.00935725347736
GRAYSON-LFG-ST,4.6006157158368436e-20,9.32855691458197,57.00935725347736
GRAYSON-NG-ST,4.6006157158368436e-20,9.32855691458197,57.00935725347736
GRAYSON-NG-CT,4.6006157158368436e-20,9.32855691458197,57.00935725347736
GRAYSON-NG-GT,4.6006157158368436e-20,9.32855691458197,57.00935725347736
JOLIET 29-NG-ST,1.4929645551063216e-18,8.875827497337607,207.5070432633129
EL CENTRO-NG-CA,0.09655794509649877,-1.8231607332818653,232.57819875029205
EL CENTRO-NG-CT,0.09655794509649877,-1.8231607332818653,232.57819875029205
EL CENTRO-NG-ST,0.01481199429806397,8.609264113522203,43.94954386621731
EL CENTRO-MWH-BA,0.09655794509649877,-1.8231607332818653,232.57819875029205
COTTONWOOD-WAT-HY,0.011223573517417764,2.2673198047143717,506.27685427065404
HARBOR-NG-CT,6.580037242516386e-22,6.674878206543373,239.25967388321655
HARBOR-NG-CA,6.580037242516386e-22,6.674878206543373,239.25967388321655
HARBOR-NG-GT,6.580037242516386e-22,6.674878206543373,239.25967388321655
HAYNES-NG-ST,0.005240272725595938,3.8054943938798695,460.86163330753527
