plant_id,type,n,c2,c1,c0
AGUA FRIA-NG-GT,ng,1,0.007512163758522706,7.998728432486009,99.88148130374628
AGUA FRIA-SUN-PV,solar,1,0.007512163758522706,7.998728432486009,99.88148130374628
HORSE MESA-WAT-HY,hydro,1,,4013.0,
KYRENE-NG-GT,ng,1,0.007161799467616668,3.2641415629725468,440.1694179044992
KYRENE-NG-CT,ng,1,0.007161799467616668,3.2641415629725468,440.1694179044992
KYRENE-NG-CA,ng,1,0.007161799467616668,3.2641415629725468,440.1694179044992
MORMON FLAT-WAT-HY,hydro,1,,4013.0,
ROOSEVELT-WAT-HY,hydro,1,,4013.0,
STEWART MOUNTAIN-WAT-HY,hydro,1,,4013.0,
MCCLURE-DFO-GT,dfo,1,,6099.0,
MCCLURE-NG-GT,ng,1,,6099.0,
DAVIS DAM-WAT-HY,hydro,1,,4015.0,
GLEN CANYON DAM-WAT-HY,hydro,1,,4005.0,
HOOVER DAM (NV)-WAT-HY,hydro,1,,32003.0,
LAKE CREEK DAM-WAT-HY,hydro,1,,49051.0,
APACHE STATION-NG-ST,ng,1,0.004786349840624214,8.889548717176034,107.18429284661421
APACHE STATION-SUB-ST,coal,1,0.004786349840624214,8.889548717176034,107.18429284661421
TURLOCK LAKE-WAT-HY,hydro,1,,6099.0,
HICKMAN-WAT-HY,hydro,1,,6099.0,
GREC-NG-ST,ng,1,,0.0,
GREC-SUB-ST,coal,1,,40097.0,
GREC-NG-CT,ng,1,,40097.0,
GREC-NG-CA,ng,1,,40097.0,
CARPENTER-WAT-HY,hydro,1,,5051.0,
LAKE CATHERINE-NG-ST,ng,1,0.0001967795249480497,9.10440617616619,294.42095506385766
REMMEL-WAT-HY,hydro,1,,5059.0,
VOLTA 2-WAT-HY,hydro,1,,6089.0,
BEAVER DAM-WAT-HY,hydro,1,,5015.0,
DEGRAY-WAT-HY,hydro,1,,5019.0,
GREERS FERRY LAKE-WAT-HY,hydro,1,,5023.0,
MUNICIPAL LIGHT-DFO-IC,dfo,1,,5021.0,
NARROWS (AR)-WAT-HY,hydro,1,,5109.0,
NORFORK-WAT-HY,hydro,1,,5005.0,
BLAKELY MOUNTAIN-WAT-HY,hydro,1,,5051.0,
BULL SHOALS-WAT-HY,hydro,1,,5089.0,
DARDANELLE-WAT-HY,hydro,1,,5115.0,
THOMAS FITZHUGH-NG-CA,ng,1,1.5084598791052715e-18,6.413088778790304,296.5009366062228
THOMAS FITZHUGH-NG-CT,ng,1,1.5084598791052715e-18,6.413088778790304,296.5009366062228
CARL BAILEY-NG-ST,ng,1,,5147.0,
MCCLELLAN (AR)-NG-ST,ng,1,,5103.0,
CLINTON POWER STATION-NUC-ST,nuclear,1,,17039.0,
WOLF CREEK GENERATING STATION-NUC-ST,nuclear,1,,20031.0,
ALTA POWERHOUSE-WAT-HY,hydro,1,,6061.0,
ANGELS-WAT-HY,hydro,1,,6009.0,
BALCH 1-WAT-HY,hydro,1,,6019.0,
BALCH 2-WAT-HY,hydro,1,,6019.0,
BELDEN-WAT-HY,hydro,1,,6063.0,
BUCKS CREEK-WAT-HY,hydro,1,,6063.0,
BUTT VALLEY-WAT-HY,hydro,1,,6063.0,
CARIBOU 1-WAT-HY,hydro,1,,6063.0,
CARIBOU 2-WAT-HY,hydro,1,,6063.0,
CHILI BAR-WAT-HY,hydro,1,,6017.0,
COLEMAN PH-WAT-HY,hydro,1,,6089.0,
COW CREEK-WAT-HY,hydro,1,,0.0,
CRESTA-WAT-HY,hydro,1,,6007.0,
DE SABLA-WAT-HY,hydro,1,,6007.0,
DEER CREEK PH-WAT-HY,hydro,1,,6057.0,
DRUM 1-WAT-HY,hydro,1,,6061.0,
DRUM 2-WAT-HY,hydro,1,,6061.0,
DUTCH FLAT-WAT-HY,hydro,1,,6061.0,
EL DORADO-WAT-HY,hydro,1,,6017.0,
ELECTRA-WAT-HY,hydro,1,,6005.0,
HAAS-WAT-HY,hydro,1,,6019.0,
HALSEY-WAT-HY,hydro,1,,6061.0,
HAT CREEK 1-WAT-HY,hydro,1,,6089.0,
HAT CREEK 2-WAT-HY,hydro,1,,6089.0,
HUMBOLDT BAY-NG-IC,ng,1,,6023.0,
JAMES B BLACK-WAT-HY,hydro,1,,6089.0,
KILARC-WAT-HY,hydro,1,,0.0,
KINGS RIVER PH-WAT-HY,hydro,1,,6019.0,
MERCED FALLS-WAT-HY,hydro,1,,6047.0,
DYNEGY MOSS LANDING POWER PLANT-NG-CT,ng,1,,6053.0,
DYNEGY MOSS LANDING POWER PLANT-NG-CA,ng,1,,6053.0,
MURPHYS-WAT-HY,hydro,1,,6009.0,
NARROWS PH-WAT-HY,hydro,1,,6057.0,
PHOENIX-WAT-HY,hydro,1,0.002141454571902254,6.075680203535571,211.63735019978446
PIT 1-WAT-HY,hydro,1,,6089.0,
PIT 3-WAT-HY,hydro,1,,6089.0,
PIT 4-WAT-HY,hydro,1,,6089.0,
PIT 5-WAT-HY,hydro,1,,6089.0,
PIT 6-WAT-HY,hydro,1,,6089.0,
PIT 7-WAT-HY,hydro,1,,6089.0,
POE-WAT-HY,hydro,1,,6007.0,
POTTER VALLEY-WAT-HY,hydro,1,,6045.0,
ROCK CREEK-WAT-HY,hydro,1,,6063.0,
SAN JOAQUIN 2-WAT-HY,hydro,1,,6039.0,
SALT SPRINGS-WAT-HY,hydro,1,,6005.0,
SOUTH-WAT-HY,hydro,1,0.003463981703223961,4.329801147060125,346.6380199971288
SPAULDING 1-WAT-HY,hydro,1,,6057.0,
SPAULDING 2-WAT-HY,hydro,1,,6057.0,
SPAULDING 3-WAT-HY,hydro,1,,6057.0,
SPRING GAP-WAT-HY,hydro,1,,6109.0,
STANISLAUS-WAT-HY,hydro,1,,6109.0,
GEYSERS UNIT 5-20-GEO-ST,geothermal,1,,6097.0,
TIGER CREEK-WAT-HY,hydro,1,,6005.0,
VOLTA 1-WAT-HY,hydro,1,,6089.0,
WEST POINT PH-WAT-HY,hydro,1,,6005.0,
WISE-WAT-HY,hydro,1,0.0018869222034773483,5.385294492557925,441.16155539454405
A G WISHON-WAT-HY,hydro,1,,6039.0,
COPCO 1-WAT-HY,hydro,1,,6093.0,
COPCO 2-WAT-HY,hydro,1,,6093.0,
FALL CREEK-WAT-HY,hydro,1,,6093.0,
IRON GATE-WAT-HY,hydro,1,,6093.0,
LIMESTONE-SUB-ST,coal,1,1.0146688014571387e-20,9.044089969179996,550.7359979998541
BLUNDELL-GEO-ST,geothermal,1,,49001.0,
GREEN LAKE-WAT-HY,hydro,1,,0.0,
DROP 5-WAT-HY,hydro,1,,7055.0,
AES ALAMITOS LLC-NG-ST,ng,1,,0.0,
BIG CREEK 1-WAT-HY,hydro,1,,6019.0,
BIG CREEK 2-WAT-HY,hydro,1,,6019.0,
BIG CREEK 3-WAT-HY,hydro,1,,6019.0,
BIG CREEK 4-WAT-HY,hydro,1,,0.0,
BIG CREEK 8-WAT-HY,hydro,1,,6019.0,
BIG CREEK 2A-WAT-HY,hydro,1,,6019.0,
BISHOP CREEK 2-WAT-HY,hydro,1,,6027.0,
BISHOP CREEK 3-WAT-HY,hydro,1,,6027.0,
BISHOP CREEK 4-WAT-HY,hydro,1,,6027.0,
BISHOP CREEK 5-WAT-HY,hydro,1,,6027.0,
BISHOP CREEK 6-WAT-HY,hydro,1,,6027.0,
BOREL-WAT-HY,hydro,1,,6029.0,
FONTANA-WAT-HY,hydro,1,,6071.0,
AES HUNTINGTON BEACH LLC-NG-ST,ng,1,,0.0,
KAWEAH 2-WAT-HY,hydro,1,,6107.0,
KAWEAH 1-WAT-HY,hydro,1,,6107.0,
KAWEAH 3-WAT-HY,hydro,1,,6107.0,
KERN RIVER 3-WAT-HY,hydro,1,,6029.0,
KERN RIVER 1-WAT-HY,hydro,1,,6029.0,
LONG BEACH GENERATION LLC-NG-GT,ng,1,,6037.0,
LUNDY-WAT-HY,hydro,1,,6051.0,
MAMMOTH POOL-WAT-HY,hydro,1,,6039.0,
ORMOND BEACH-NG-ST,ng,1,0.000268560069149496,8.325391068521707,574.3996808940111
POOLE-WAT-HY,hydro,1,,6051.0,
PORTAL-WAT-HY,hydro,1,,6019.0,
AES REDONDO BEACH LLC-NG-ST,ng,1,,0.0,
RUSH CREEK-WAT-HY,hydro,1,,6051.0,
MOUNTAINVIEW GENERATING STATION-NG-CT,ng,1,0.003954978977895127,4.100687699687952,440.11746833894586
