sub_id,sub_name,lat,lon,zone_id,type
107655,UNKNOWN107655,45.7684233620001,-91.86474436700001,46,SUBSTATION
107656,UNKNOWN107656,45.53850181399999,-90.311812305,46,SUBSTATION
107657,UNKNOWN107657,45.2235531420001,-91.127582365,46,SUBSTATION
107658,SOUTH SHEBOYGAN FALLS,43.7109933770001,-87.83839599,46,SUBSTATION
107659,CHALK HILLS HY,45.5137806380001,-87.80092075,20,SUBSTATION
107660,MEADOWS,44.2161981780001,-88.40182330299999,46,SUBSTATION
107662,HUSTISFORD,43.344639,-88.59563100000001,46,SUBSTATION
107663,UNKNOWN107663,43.287783000000005,-91.006561,46,SUBSTATION
107664,SCOTTSBORO,34.676680214,-86.017151558,1,SUBSTATION
107666,UNKNOWN107666,30.839636389000102,-84.4888666539999,9,SUBSTATION
107668,UNKNOWN107668,30.052996759000102,-83.550481668,8,SUBSTATION
107669,UNKNOWN107669,30.061611300000003,-83.545343966,8,SUBSTATION
107670,UNKNOWN107670,30.1254002360001,-83.169863482,8,SUBSTATION
107671,UNKNOWN107671,30.1248128030001,-83.16996646,8,SUBSTATION
107672,UNKNOWN107672,29.9991755300001,-82.93498639099991,8,SUBSTATION
107673,UNKNOWN107673,29.998869175,-82.93542956499991,8,SUBSTATION
107674,UNKNOWN107674,30.371626549000002,-83.18291211,8,SUBSTATION
107675,UNKNOWN107675,30.261517036,-83.077667678,8,SUBSTATION
107677,UNKNOWN107677,30.293011275,-82.72824094399991,8,SUBSTATION
107678,UNKNOWN107678,30.394971122000104,-84.7914975369999,8,SUBSTATION
107679,UNKNOWN107679,30.435103517000105,-84.372894327,8,SUBSTATION
107680,UNKNOWN107680,29.691736104,-85.254548058,8,SUBSTATION
107685,UNKNOWN107685,30.4296706260001,-84.3150969439999,8,SUBSTATION
107686,UNKNOWN107686,30.476715462000104,-84.34595355100001,8,SUBSTATION
107687,UNKNOWN107687,30.597811464000102,-84.5804909089999,8,SUBSTATION
107688,UNKNOWN107688,30.6510261330001,-84.421366002,8,SUBSTATION
107689,UNKNOWN107689,30.7282658770001,-83.21808326899999,9,SUBSTATION
107690,UNKNOWN107690,30.525098339000102,-83.3935959459999,8,SUBSTATION
107692,UNKNOWN107692,30.517474832000104,-83.1786290479999,8,SUBSTATION
107693,UNKNOWN107693,30.063541472000104,-84.48910633299991,8,SUBSTATION
107694,UNKNOWN107694,30.3888573900001,-84.778272262,8,SUBSTATION
107695,UNKNOWN107695,30.315145668000103,-85.48553903399991,8,SUBSTATION
107698,UNKNOWN107698,30.5644466680001,-87.224391662,8,SUBSTATION
107700,UNKNOWN107700,30.0761402030001,-85.60414439399992,8,SUBSTATION
107701,UNKNOWN107701,30.242415872,-85.46816664499991,8,SUBSTATION
107702,UNKNOWN107702,30.23651821,-85.213978809,8,SUBSTATION
107703,UNKNOWN107703,30.247957809000102,-85.53527830899999,8,SUBSTATION
107704,UNKNOWN107704,35.9358019050001,-89.87628895799999,2,SUBSTATION
107706,UNKNOWN107706,35.86867041,-90.01721586699992,2,SUBSTATION
107708,UNKNOWN107708,35.908015987000105,-89.910963415,2,SUBSTATION
107709,UNKNOWN107709,34.897225314,-91.2024250109999,2,SUBSTATION
107711,UNKNOWN107711,34.765817406000096,-91.24534388099991,2,SUBSTATION
107712,UNKNOWN107712,34.501627511,-91.13712121,2,SUBSTATION
107713,UNKNOWN107713,34.3550983700001,-93.56147484699991,2,SUBSTATION
107714,UNKNOWN107714,34.495984187,-93.68613914199992,2,SUBSTATION
107715,UNKNOWN107715,33.604773654,-93.36985993199991,2,SUBSTATION
107716,UNKNOWN107716,36.0136599950001,-93.1789099649999,2,SUBSTATION
107717,UNKNOWN107717,36.109545426000096,-93.12381956899999,2,SUBSTATION
107718,BEARDEN,33.735412104,-92.61756611700001,2,SUBSTATION
107719,UNKNOWN107719,33.7839730970001,-92.697859479,2,SUBSTATION
107720,UNKNOWN107720,33.654422783,-92.78764222099991,2,SUBSTATION
107721,UNKNOWN107721,33.595106490999996,-92.8300888379999,2,SUBSTATION
107722,UNKNOWN107722,33.563939065999996,-92.792261751,2,SUBSTATION
107723,UNKNOWN107723,33.5422814400001,-92.82240350299999,2,SUBSTATION
107724,UNKNOWN107724,33.504016984,-92.89547289099991,2,SUBSTATION
