bus_id,Pd,zone_id,baseKV,interconnect
107884,0,2,69.0,Eastern
107885,0,2,92.0,Eastern
107886,0,2,115.0,Eastern
107887,0,2,69.0,Eastern
107888,0,2,69.0,Eastern
107889,0,2,115.0,Eastern
107890,0,2,115.0,Eastern
107891,0,2,115.0,Eastern
107892,0,2,115.0,Eastern
107893,0,2,115.0,Eastern
107894,0,2,69.0,Eastern
107895,0,2,115.0,Eastern
107896,0,2,69.0,Eastern
107897,0,2,69.0,Eastern
107898,0,2,69.0,Eastern
107899,0,2,161.0,Eastern
107900,0,2,69.0,Eastern
107901,0,2,69.0,Eastern
107902,0,2,69.0,Eastern
107903,0,2,115.0,Eastern
107904,0,2,69.0,Eastern
107905,0,2,161.0,Eastern
107906,0,2,69.0,Eastern
107907,0,2,161.0,Eastern
107908,0,2,69.0,Eastern
107909,0,2,69.0,Eastern
107912,0,2,115.0,Eastern
107913,0,2,161.0,Eastern
107914,0,2,161.0,Eastern
107915,0,2,161.0,Eastern
107916,0,2,69.0,Eastern
107917,0,2,69.0,Eastern
107918,0,2,161.0,Eastern
107919,0,2,69.0,Eastern
107920,0,2,69.0,Eastern
107921,0,2,161.0,Eastern
107922,0,2,69.0,Eastern
107924,0,2,69.0,Eastern
107925,0,2,69.0,Eastern
107926,0,2,69.0,Eastern
107927,0,2,161.0,Eastern
107928,0,2,253.0,Eastern
107930,0,2,161.0,Eastern
107931,0,2,161.0,Eastern
107932,0,2,161.0,Eastern
107933,0,2,161.0,Eastern
107934,0,2,115.0,Eastern
107935,0,2,115.0,Eastern
107936,0,2,115.0,Eastern
107937,0,2,115.0,Eastern
107938,0,2,115.0,Eastern
107939,0,2,161.0,Eastern
107940,0,2,69.0,Eastern
107941,0,2,161.0,Eastern
107942,0,2,69.0,Eastern
107943,0,2,115.0,Eastern
107944,0,2,69.0,Eastern
107945,0,2,161.0,Eastern
107946,0,2,161.0,Eastern
107947,0,2,161.0,Eastern
107949,0,2,115.0,Eastern
107950,0,2,115.0,Eastern
107951,0,2,115.0,Eastern
107952,0,2,115.0,Eastern
107953,0,2,115.0,Eastern
107956,0,2,161.0,Eastern
107958,0,2,161.0,Eastern
107959,0,2,161.0,Eastern
107962,0,2,161.0,Eastern
107963,0,2,161.0,Eastern
107964,0,2,161.0,Eastern
107965,0,2,161.0,Eastern
107966,0,2,161.0,Eastern
107967,0,2,115.0,Eastern
107968,0,2,115.0,Eastern
107969,0,2,115.0,Eastern
107970,0,2,307.5,Eastern
107971,0,2,115.0,Eastern
107972,0,2,115.0,Eastern
107973,0,2,115.0,Eastern
107974,0,2,115.0,Eastern
107975,0,2,115.0,Eastern
107976,0,2,161.0,Eastern
107977,0,2,161.0,Eastern
107978,0,2,161.0,Eastern
107979,0,2,161.0,Eastern
107981,0,2,69.0,Eastern
107982,0,2,161.0,Eastern
107983,0,2,69.0,Eastern
107984,0,2,69.0,Eastern
107985,0,2,161.0,Eastern
107988,0,2,161.0,Eastern
107989,0,2,161.0,Eastern
107990,0,2,69.0,Eastern
107991,0,2,161.0,Eastern
107993,0,2,161.0,Eastern
107994,0,2,161.0,Eastern
107995,0,2,161.0,Eastern
107997,0,2,161.0,Eastern
107998,0,2,69.0,Eastern
107999,0,2,69.0,Eastern
108000,0,2,69.0,Eastern
108001,0,2,69.0,Eastern
108002,0,2,161.0,Eastern
108003,0,2,69.0,Eastern
108004,0,2,69.0,Eastern
108005,0,2,69.0,Eastern
108006,0,2,115.0,Eastern
108007,0,2,115.0,Eastern
108008,0,2,115.0,Eastern
108009,0,2,115.0,Eastern
108010,0,2,115.0,Eastern
108011,0,2,115.0,Eastern
108012,0,2,138.0,Eastern
108013,0,2,161.0,Eastern
108014,0,2,161.0,Eastern
108016,0,2,161.0,Eastern
108017,0,2,115.0,Eastern
108019,0,2,161.0,Eastern
108020,0,2,161.0,Eastern
108021,0,2,161.0,Eastern
108022,0,2,69.0,Eastern
108023,0,2,69.0,Eastern
108024,0,2,161.0,Eastern
108025,0,2,161.0,Eastern
108027,0,2,69.0,Eastern
108028,0,2,69.0,Eastern
108029,0,2,115.0,Eastern
108030,0,2,115.0,Eastern
108031,0,2,115.0,Eastern
108032,0,2,115.0,Eastern
108033,0,2,115.0,Eastern
108034,0,2,115.0,Eastern
108035,0,2,115.0,Eastern
108036,0,2,115.0,Eastern
108037,0,2,115.0,Eastern
108038,0,2,115.0,Eastern
108039,0,2,115.0,Eastern
108041,0,2,115.0,Eastern
108042,0,2,115.0,Eastern
108043,0,2,161.0,Eastern
108045,0,2,115.0,Eastern
108046,0,2,115.0,Eastern
108047,0,2,69.0,Eastern
108048,0,2,115.0,Eastern
108049,0,2,115.0,Eastern
108050,0,2,115.0,Eastern
108051,0,2,115.0,Eastern
108052,0,2,115.0,Eastern
108053,0,2,115.0,Eastern
108054,0,2,115.0,Eastern
108055,0,2,115.0,Eastern
108057,0,2,138.0,Eastern
108059,0,2,69.0,Eastern
108060,0,2,161.0,Eastern
108062,0,2,161.0,Eastern
108063,0,2,161.0,Eastern
108064,0,2,69.0,Eastern
108065,0,2,69.0,Eastern
108066,0,2,161.0,Eastern
108067,0,2,69.0,Eastern
108068,0,2,161.0,Eastern
108069,0,2,161.0,Eastern
108070,0,2,115.0,Eastern
108071,0,2,161.0,Eastern
108072,0,2,161.0,Eastern
108073,0,2,115.0,Eastern
108074,0,2,115.0,Eastern
108075,0,2,115.0,Eastern
108076,0,2,115.0,Eastern
108077,0,2,115.0,Eastern
108078,0,2,115.0,Eastern
108079,0,2,161.0,Eastern
108081,0,2,69.0,Eastern
108083,0,2,115.0,Eastern
108084,0,2,115.0,Eastern
108085,0,2,92.0,Eastern
108086,0,2,69.0,Eastern
108087,0,2,69.0,Eastern
108089,0,2,161.0,Eastern
108090,0,2,161.0,Eastern
108093,0,2,161.0,Eastern
108094,0,2,115.0,Eastern
108095,0,2,115.0,Eastern
108096,0,2,115.0,Eastern
108097,0,2,69.0,Eastern
108099,0,2,115.0,Eastern
108100,0,2,115.0,Eastern
108101,0,2,115.0,Eastern
108102,0,2,115.0,Eastern
108103,0,2,115.0,Eastern
108104,0,2,69.0,Eastern
108105,0,2,69.0,Eastern
108106,0,2,69.0,Eastern
108107,0,2,103.5,Eastern
108110,0,2,161.0,Eastern
108112,0,2,69.0,Eastern
108114,0,2,115.0,Eastern
108115,0,2,115.0,Eastern
108116,0,2,115.0,Eastern
108117,0,2,115.0,Eastern
108118,0,2,115.0,Eastern
108119,0,2,115.0,Eastern
108120,0,2,115.0,Eastern
108121,0,2,115.0,Eastern
108123,0,2,115.0,Eastern
108124,0,2,115.0,Eastern
108125,0,2,115.0,Eastern
108126,0,2,69.0,Eastern
108127,0,2,69.0,Eastern
108128,0,2,69.0,Eastern
108129,0,2,69.0,Eastern
108130,0,2,69.0,Eastern
108131,0,2,161.0,Eastern
108132,0,2,69.0,Eastern
108133,0,2,69.0,Eastern
108134,0,2,69.0,Eastern
108135,0,2,69.0,Eastern
108136,0,2,161.0,Eastern
108138,0,2,161.0,Eastern
108139,0,2,161.0,Eastern
108140,0,2,161.0,Eastern
108142,0,2,161.0,Eastern
108143,0,8,230.0,Eastern
108144,0,8,115.0,Eastern
108146,0,8,115.0,Eastern
108147,0,8,115.0,Eastern
108149,0,8,115.0,Eastern
108150,0,8,115.0,Eastern
108151,0,8,115.0,Eastern
108152,0,8,115.0,Eastern
108153,0,8,69.0,Eastern
108154,0,8,69.0,Eastern
108155,0,8,115.0,Eastern
108156,0,8,69.0,Eastern
108157,0,8,69.0,Eastern
108158,0,8,69.0,Eastern
108159,0,8,69.0,Eastern
108160,0,8,69.0,Eastern
108161,0,8,69.0,Eastern
108162,0,8,230.0,Eastern
108163,0,8,69.0,Eastern
108164,0,8,69.0,Eastern
108165,0,8,69.0,Eastern
108166,0,8,69.0,Eastern
108168,0,8,69.0,Eastern
108169,0,8,230.0,Eastern
108171,0,8,115.0,Eastern
108172,0,8,230.0,Eastern
108173,0,8,230.0,Eastern
108174,0,8,115.0,Eastern
108175,0,8,230.0,Eastern
108176,0,8,69.0,Eastern
108177,0,8,69.0,Eastern
108178,0,8,69.0,Eastern
108179,0,8,69.0,Eastern
108180,0,8,115.0,Eastern
108185,0,8,115.0,Eastern
108186,0,8,69.0,Eastern
108187,0,8,69.0,Eastern
108189,0,8,115.0,Eastern
108191,0,8,115.0,Eastern
108195,0,8,69.0,Eastern
108197,0,8,115.0,Eastern
108199,0,8,115.0,Eastern
108200,0,8,115.0,Eastern
108201,0,8,115.0,Eastern
108202,0,8,115.0,Eastern
108203,0,8,115.0,Eastern
108204,0,8,69.0,Eastern
108205,0,8,69.0,Eastern
108209,0,8,138.0,Eastern
108211,0,8,69.0,Eastern
108212,0,8,115.0,Eastern
108214,0,8,69.0,Eastern
108215,0,8,230.0,Eastern
108216,0,8,69.0,Eastern
108217,0,8,69.0,Eastern
108218,0,8,69.0,Eastern
108219,0,8,69.0,Eastern
108221,0,8,115.0,Eastern
108222,0,8,115.0,Eastern
108223,0,8,115.0,Eastern
108224,0,8,115.0,Eastern
108226,0,8,172.5,Eastern
108227,0,8,115.0,Eastern
108228,0,8,115.0,Eastern
108229,0,8,69.0,Eastern
108230,0,8,115.0,Eastern
108231,0,8,115.0,Eastern
108232,0,8,115.0,Eastern
108233,0,8,69.0,Eastern
108234,0,8,69.0,Eastern
108235,0,8,69.0,Eastern
108236,0,8,149.5,Eastern
108237,0,8,69.0,Eastern
108238,0,8,69.0,Eastern
108240,0,8,115.0,Eastern
108242,0,8,115.0,Eastern
108243,0,8,92.0,Eastern
108244,0,8,69.0,Eastern
108245,0,8,69.0,Eastern
108246,0,8,69.0,Eastern
108247,0,8,69.0,Eastern
108248,0,8,69.0,Eastern
108250,0,8,230.0,Eastern
108251,0,8,115.0,Eastern
108252,0,8,115.0,Eastern
108257,0,8,115.0,Eastern
108258,0,8,115.0,Eastern
108259,0,8,115.0,Eastern
108260,0,8,115.0,Eastern
108262,0,8,230.0,Eastern
108264,0,8,69.0,Eastern
108265,0,8,115.0,Eastern
108266,0,8,115.0,Eastern
108267,0,8,115.0,Eastern
108268,0,8,115.0,Eastern
108270,0,8,69.0,Eastern
108274,0,8,69.0,Eastern
108276,0,8,115.0,Eastern
108277,0,8,115.0,Eastern
108278,0,8,230.0,Eastern
108281,0,8,230.0,Eastern
108283,0,8,230.0,Eastern
108284,0,8,115.0,Eastern
108286,0,8,115.0,Eastern
108290,0,8,115.0,Eastern
108291,0,8,115.0,Eastern
108293,0,8,69.0,Eastern
108294,0,8,69.0,Eastern
108295,0,8,115.0,Eastern
108296,0,8,115.0,Eastern
108297,0,8,115.0,Eastern
108298,0,8,115.0,Eastern
108299,0,8,230.0,Eastern
108300,0,8,115.0,Eastern
108301,0,8,69.0,Eastern
108302,0,8,115.0,Eastern
108303,0,8,69.0,Eastern
108304,0,8,69.0,Eastern
108305,0,8,69.0,Eastern
108306,0,8,69.0,Eastern
108307,0,8,69.0,Eastern
108309,0,8,69.0,Eastern
108311,0,8,69.0,Eastern
108312,0,8,69.0,Eastern
108315,0,8,115.0,Eastern
108318,0,8,230.0,Eastern
108330,0,8,69.0,Eastern
108331,0,8,69.0,Eastern
108332,0,8,69.0,Eastern
108333,0,8,69.0,Eastern
108334,0,8,69.0,Eastern
108336,0,8,230.0,Eastern
108337,0,8,230.0,Eastern
108343,0,8,69.0,Eastern
108344,0,8,69.0,Eastern
108346,0,8,69.0,Eastern
108347,0,8,69.0,Eastern
108348,0,8,69.0,Eastern
108351,0,8,115.0,Eastern
108353,0,8,69.0,Eastern
108354,0,8,69.0,Eastern
108355,0,8,69.0,Eastern
108356,0,8,115.0,Eastern
108357,0,8,115.0,Eastern
108362,0,8,138.0,Eastern
108364,0,8,115.0,Eastern
108365,0,8,115.0,Eastern
108366,0,8,115.0,Eastern
108367,0,8,115.0,Eastern
108369,0,8,69.0,Eastern
108370,0,8,69.0,Eastern
108371,0,8,69.0,Eastern
108377,0,8,69.0,Eastern
108379,0,8,69.0,Eastern
108380,0,8,69.0,Eastern
108381,0,8,69.0,Eastern
108383,0,8,69.0,Eastern
108384,0,8,69.0,Eastern
108385,0,8,69.0,Eastern
108388,0,8,69.0,Eastern
108390,0,8,115.0,Eastern
108391,0,8,230.0,Eastern
108392,0,8,69.0,Eastern
108393,0,8,69.0,Eastern
108395,0,8,115.0,Eastern
108398,0,8,69.0,Eastern
108399,0,8,69.0,Eastern
108402,0,8,149.5,Eastern
108403,0,8,69.0,Eastern
108404,0,8,69.0,Eastern
108405,0,8,69.0,Eastern
108406,0,8,230.0,Eastern
108407,0,8,69.0,Eastern
108409,0,8,69.0,Eastern
108416,0,8,230.0,Eastern
108418,0,8,230.0,Eastern
108419,0,8,230.0,Eastern
108421,0,8,69.0,Eastern
108424,0,8,230.0,Eastern
108426,0,8,230.0,Eastern
108428,0,8,138.0,Eastern
108432,0,8,138.0,Eastern
108459,0,8,138.0,Eastern
108461,0,8,138.0,Eastern
108465,0,8,230.0,Eastern
108467,0,8,230.0,Eastern
108468,0,8,230.0,Eastern
108472,0,8,69.0,Eastern
