plant_id,bus_id,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin,type,interconnect,GenFuelCost,GenIOB,GenIOC,GenIOD,distance,lat,lon,zip,state
59,109165,7.0,0.0,0.0,0.0,0.0,0.0,1,91.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,48.24961689307839,32.534724648,-85.889264251,36078,AL
62,149955,22.3,0.0,0.0,0.0,0.0,0.0,1,87.6,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,20.440369647123,34.132378808,-85.793882802,35983,AL
65,109168,21.0,0.0,0.0,0.0,0.0,0.0,1,50.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,88.13160757067381,32.574071668,-85.890770257,36078,AL
71,111678,16.0,0.0,0.0,0.0,0.0,0.0,1,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,9349.342349695557,33.24421,-86.45806,35186,AL
73,130035,0.7,0.0,0.0,0.0,0.0,0.0,1,11.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,21.45639869213528,44.050019625,-94.417850304,56062,MN
78,309468,0.5,0.0,0.0,0.0,0.0,0.0,1,12.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Western,0.0,0.0,0.0,0.0,12.943508686519111,39.134259,-120.953341,95713,CA
79,133844,24.0,0.0,0.0,0.0,0.0,0.0,1,101.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,103.98788372342226,32.090736845,-87.397911345,36726,AL
82,153052,1259.9,0.0,0.0,0.0,0.0,0.0,1,3494.0,1259.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.9,0.0,0.0,0.0,0.0,0.0,0.0,nuclear,Eastern,0.0,0.0,0.0,0.0,178.25346275689833,34.7042,-87.118572002,35609,AL
85,149528,10.0,0.0,0.0,0.0,0.0,0.0,1,476.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,184.2560996333275,34.7440289,-87.8493273,35674,AL
93,155340,14.6,0.0,0.0,0.0,0.0,0.0,1,115.2,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,207.56052165108525,34.422575769,-86.392917484,35976,AL
97,114930,28.0,0.0,0.0,0.0,0.0,0.0,1,404.00000000000006,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,268.62649912542093,34.798468908,-87.381500698,35672,AL
108,111872,244.0,0.0,0.0,0.0,0.0,0.0,1,720.7,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,367.8833677838971,32.031560635,-93.56899371,71052,LA
109,109042,0.1,0.0,0.0,0.0,0.0,0.0,1,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,356.7507563897327,31.403385203,-86.479773042,36421,AL
111,109447,0.0,0.0,0.0,0.0,0.0,0.0,1,1055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,136.2978140046633,37.882986167,-84.101159326,40391,KY
120,109054,0.1,0.0,0.0,0.0,0.0,0.0,1,5.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,4508.175093985524,31.361344837,-86.518728316,36421,AL
123,109067,140.0,0.0,0.0,0.0,0.0,0.0,1,538.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,191.54254488048824,31.48802,-87.91075,36548,AL
126,131925,40.0,0.0,0.0,0.0,0.0,0.0,1,109.8,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,194.00628209834807,40.85477,-98.34822,68801,NE
127,131726,38.0,0.0,0.0,0.0,0.0,0.0,1,76.3,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,127.2170516221852,40.580559379,-98.312783901,68902,NE
128,131726,125.0,0.0,0.0,0.0,0.0,0.0,1,250.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,127.2170516221852,40.580559379,-98.312783901,68902,NE
188,306537,90.0,0.0,0.0,0.0,0.0,0.0,1,257.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Western,0.0,0.0,0.0,0.0,21397.9027673947,35.416019155,-108.083286885,87045,NM
189,129010,1.0,0.0,0.0,0.0,0.0,0.0,1,4.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,15903.245384138289,41.949,-74.2063,12401,NY
226,200892,5.0,0.0,0.0,0.0,0.0,0.0,1,177.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,116.105973816834,47.079602179,-122.364714536,98446,WA
228,303752,0.1,0.0,0.0,0.0,0.0,0.0,1,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Western,0.0,0.0,0.0,0.0,17535.447177555812,33.466477,-111.781064,85072,AZ
229,301470,0.0,0.0,0.0,0.0,0.0,0.0,1,199.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Western,0.0,0.0,0.0,0.0,6.006387376651124,37.147926,-119.2567,93664,CA
230,118031,95.0,0.0,0.0,0.0,0.0,0.0,1,348.7,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,7135.737239497763,37.928474567,-100.972206836,67851,KS
238,306857,95.0,0.0,0.0,0.0,0.0,0.0,1,839.9,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Western,0.0,0.0,0.0,0.0,120.3681375625596,34.9394,-110.3033,86032,AZ
241,307626,2.0,0.0,0.0,0.0,0.0,0.0,1,26.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Western,0.0,0.0,0.0,0.0,64093.31232870902,31.364122,-109.5538,85607,AZ
242,303830,45.0,0.0,0.0,0.0,0.0,0.0,1,227.2,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,184.88664308143,33.425266572,-111.912393177,85281,AZ
244,303830,45.0,0.0,0.0,0.0,0.0,0.0,1,106.2,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,184.88664308143,33.425266572,-111.912393177,85281,AZ
246,307289,4.0,0.0,0.0,0.0,0.0,0.0,1,396.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,457.31394935590697,33.4417,-112.1583,85043,AZ
249,307289,4.0,0.0,0.0,0.0,0.0,0.0,1,460.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,457.31394935590697,33.4417,-112.1583,85043,AZ
250,307289,4.0,0.0,0.0,0.0,0.0,0.0,1,245.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,457.31394935590697,33.4417,-112.1583,85043,AZ
254,307289,4.0,0.0,0.0,0.0,0.0,0.0,1,106.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,457.31394935590697,33.4417,-112.1583,85043,AZ
256,310248,4.0,0.0,0.0,0.0,0.0,0.0,1,184.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,43010.348290801776,32.5517,-111.3,85245,AZ
259,304284,2.0,0.0,0.0,0.0,0.0,0.0,1,240.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,171.5458086084983,32.7214,-114.7106,85364,AZ
261,304284,5.0,0.0,0.0,0.0,0.0,0.0,1,97.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Western,0.0,0.0,0.0,0.0,171.5458086084983,32.7214,-114.7106,85364,AZ
266,304284,2.0,0.0,0.0,0.0,0.0,0.0,1,86.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,171.5458086084983,32.7214,-114.7106,85364,AZ
267,309245,40.0,0.0,0.0,0.0,0.0,0.0,1,85.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,230.7405991566346,32.252273,-110.992148,85705,AZ
268,301595,20.0,0.0,0.0,0.0,0.0,0.0,1,504.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,186.75081625971603,32.16,-110.9047,85714,AZ
