bus_id,Pd,zone_id,baseKV,interconnect
107859,0.0,2,69.0,Eastern
107860,0.0,2,69.0,Eastern
107861,0.0,2,69.0,Eastern
107863,0.0,2,161.0,Eastern
107864,0.0,2,69.0,Eastern
107865,0.0,2,69.0,Eastern
107866,0.0,2,69.0,Eastern
107867,0.0,2,69.0,Eastern
107868,0.0,2,69.0,Eastern
107869,0.0,2,161.0,Eastern
107870,0.0,2,115.0,Eastern
107871,0.0,2,115.0,Eastern
107872,0.0,2,138.0,Eastern
107873,0.0,2,161.0,Eastern
107874,0.0,2,69.0,Eastern
107875,0.0,2,115.0,Eastern
107876,0.0,2,69.0,Eastern
107877,0.0,2,115.0,Eastern
107878,0.0,2,115.0,Eastern
107879,0.0,2,115.0,Eastern
107880,0.0,2,115.0,Eastern
107881,0.0,2,115.0,Eastern
107882,0.0,2,172.5,Eastern
107883,0.0,2,115.0,Eastern
107884,0.0,2,69.0,Eastern
107885,0.0,2,92.0,Eastern
107886,0.0,2,115.0,Eastern
107887,0.0,2,69.0,Eastern
107888,0.0,2,69.0,Eastern
107889,0.0,2,115.0,Eastern
107890,0.0,2,115.0,Eastern
107891,0.0,2,115.0,Eastern
107892,0.0,2,115.0,Eastern
107893,0.0,2,115.0,Eastern
107894,0.0,2,69.0,Eastern
107895,0.0,2,115.0,Eastern
107896,0.0,2,69.0,Eastern
107897,0.0,2,69.0,Eastern
107898,0.0,2,69.0,Eastern
107899,0.0,2,161.0,Eastern
107900,0.0,2,69.0,Eastern
107901,0.0,2,69.0,Eastern
107902,0.0,2,69.0,Eastern
107903,0.0,2,115.0,Eastern
107904,0.0,2,69.0,Eastern
107905,0.0,2,161.0,Eastern
107906,0.0,2,69.0,Eastern
107907,0.0,2,161.0,Eastern
107908,0.0,2,69.0,Eastern
107909,0.0,2,69.0,Eastern
107912,0.0,2,115.0,Eastern
107913,0.0,2,161.0,Eastern
107914,0.0,2,161.0,Eastern
107915,0.0,2,125.22222222222223,Eastern
107916,0.0,2,69.0,Eastern
107917,0.0,2,69.0,Eastern
107918,0.0,2,161.0,Eastern
107919,0.0,2,69.0,Eastern
107920,0.0,2,69.0,Eastern
107921,0.0,2,161.0,Eastern
107922,0.0,2,69.0,Eastern
107924,0.0,2,69.0,Eastern
107925,0.0,2,69.0,Eastern
107926,0.0,2,69.0,Eastern
107927,0.0,2,161.0,Eastern
107928,0.0,2,253.0,Eastern
107930,0.0,2,161.0,Eastern
107931,0.0,2,161.0,Eastern
107932,0.0,2,161.0,Eastern
107933,0.0,2,161.0,Eastern
107934,0.0,2,115.0,Eastern
107935,0.0,2,115.0,Eastern
107936,0.0,2,140.66666666666666,Eastern
107937,0.0,2,120.13333333333333,Eastern
107938,0.0,2,123.06666666666665,Eastern
107939,0.0,2,161.0,Eastern
107940,0.0,2,69.0,Eastern
107941,0.0,2,161.0,Eastern
107942,0.0,2,69.0,Eastern
107943,0.0,2,115.0,Eastern
107944,0.0,2,69.0,Eastern
107945,0.0,2,161.0,Eastern
107946,0.0,2,161.0,Eastern
107947,0.0,2,161.0,Eastern
107949,0.0,2,115.0,Eastern
107950,0.0,2,115.0,Eastern
107951,0.0,2,115.0,Eastern
107952,0.0,2,115.0,Eastern
107953,0.0,2,115.0,Eastern
107956,0.0,2,161.0,Eastern
107958,0.0,2,161.0,Eastern
107959,0.0,2,161.0,Eastern
107962,0.0,2,161.0,Eastern
107963,0.0,2,161.0,Eastern
107964,0.0,2,161.0,Eastern
107965,0.0,2,161.0,Eastern
107966,0.0,2,161.0,Eastern
107967,0.0,2,115.0,Eastern
107968,0.0,2,115.0,Eastern
107969,0.0,2,115.0,Eastern
107970,0.0,2,307.5,Eastern
107971,0.0,2,115.0,Eastern
107972,0.0,2,115.0,Eastern
107973,0.0,2,115.0,Eastern
107974,0.0,2,115.0,Eastern
107975,0.0,2,115.0,Eastern
107976,0.0,2,161.0,Eastern
107977,0.0,2,161.0,Eastern
107978,0.0,2,161.0,Eastern
107979,0.0,2,161.0,Eastern
107981,0.0,2,69.0,Eastern
107982,0.0,2,161.0,Eastern
107983,0.0,2,69.0,Eastern
107984,0.0,2,69.0,Eastern
107985,0.0,2,145.66666666666666,Eastern
107988,0.0,2,161.0,Eastern
107989,0.0,2,161.0,Eastern
107990,0.0,2,69.0,Eastern
107991,0.0,2,161.0,Eastern
107993,0.0,2,161.0,Eastern
107994,0.0,2,161.0,Eastern
107995,0.0,2,161.0,Eastern
107997,0.0,2,161.0,Eastern
107998,0.0,2,69.0,Eastern
107999,0.0,2,69.0,Eastern
108000,0.0,2,69.0,Eastern
108001,0.0,2,69.0,Eastern
108002,0.0,2,161.0,Eastern
108003,0.0,2,69.0,Eastern
108004,0.0,2,69.0,Eastern
108005,0.0,2,69.0,Eastern
108006,0.0,2,115.0,Eastern
108007,0.0,2,115.0,Eastern
108008,0.0,2,115.0,Eastern
108009,0.0,2,115.0,Eastern
108010,0.0,2,115.0,Eastern
108011,0.0,2,115.0,Eastern
108012,0.0,2,138.0,Eastern
108013,0.0,2,161.0,Eastern
108014,0.0,2,161.0,Eastern
108016,0.0,2,161.0,Eastern
108017,0.0,2,115.0,Eastern
108019,0.0,2,161.0,Eastern
108020,0.0,2,161.0,Eastern
108021,0.0,2,161.0,Eastern
108022,0.0,2,69.0,Eastern
108023,0.0,2,69.0,Eastern
108024,0.0,2,161.0,Eastern
108025,0.0,2,161.0,Eastern
108027,0.0,2,69.0,Eastern
108028,0.0,2,69.0,Eastern
108029,0.0,2,115.0,Eastern
108030,0.0,2,115.0,Eastern
108031,0.0,2,115.0,Eastern
108032,0.0,2,115.0,Eastern
108033,0.0,2,115.0,Eastern
108034,0.0,2,115.0,Eastern
108035,0.0,2,127.03125,Eastern
108036,0.0,2,149.8046875,Eastern
108037,0.0,2,117.46504934210526,Eastern
108038,0.0,2,125.99095394736841,Eastern
108039,0.0,2,115.0,Eastern
108041,0.0,2,115.0,Eastern
108042,0.0,2,115.0,Eastern
108043,0.0,2,167.86111111111111,Eastern
108045,0.0,2,115.0,Eastern
108046,0.0,2,115.0,Eastern
108047,0.0,2,69.0,Eastern
108048,0.0,2,115.0,Eastern
108049,0.0,2,115.0,Eastern
108050,0.0,2,115.0,Eastern
108051,0.0,2,115.0,Eastern
108052,0.0,2,115.0,Eastern
108053,0.0,2,115.0,Eastern
108054,0.0,2,115.0,Eastern
108055,0.0,2,115.0,Eastern
108057,0.0,2,138.0,Eastern
108059,0.0,2,109.88888888888889,Eastern
108060,0.0,2,161.0,Eastern
108062,0.0,2,161.0,Eastern
108063,0.0,2,161.0,Eastern
108064,0.0,2,69.0,Eastern
108065,0.0,2,69.0,Eastern
108066,0.0,2,161.0,Eastern
108067,0.0,2,69.0,Eastern
108068,0.0,2,161.0,Eastern
108069,0.0,2,161.0,Eastern
108070,0.0,2,115.0,Eastern
108071,0.0,2,161.0,Eastern
108072,0.0,2,161.0,Eastern
108073,0.0,2,115.0,Eastern
108074,0.0,2,115.0,Eastern
108075,0.0,2,115.0,Eastern
108076,0.0,2,115.0,Eastern
108077,0.0,2,115.0,Eastern
