plant_id,type,startup,shutdown,n,c2,c1,c0,interconnect
1,2,0,0,3,0.0,1125.0,0.0,Eastern
2,2,0,0,3,2.4691906740204743e-22,10.986394397351058,179.82398694636348,Eastern
4,2,0,0,3,1.496384877468982e-18,9.731777657226363,195.1211664450876,Eastern
6,2,0,0,3,0.0032554633702336,4.727900423940016,375.2646293626348,Eastern
8,2,0,0,3,0.0032554633702336,4.727900423940016,375.2646293626348,Eastern
12,2,0,0,3,0.0,1051.0,0.0,Eastern
15,2,0,0,3,0.0,1055.0,0.0,Eastern
17,2,0,0,3,4.967997645144614e-20,9.955930952261818,217.64469058291647,Eastern
20,2,0,0,3,0.0090386825865937,10.088314525751356,240.65742985803809,Western
21,2,0,0,3,9.6448171745801e-18,9.409171005435134,71.39527351350505,Eastern
23,2,0,0,3,4.1831589864314986e-24,10.804428745149076,162.07256845869293,Eastern
32,2,0,0,3,0.0,1015.0,0.0,Eastern
35,2,0,0,3,0.0,1125.0,0.0,Eastern
36,2,0,0,3,0.0,1051.0,0.0,Eastern
40,2,0,0,3,0.0,1121.0,0.0,Eastern
43,2,0,0,3,0.0,1021.0,0.0,Eastern
49,2,0,0,3,0.0,1051.0,0.0,Eastern
53,2,0,0,3,0.0,1037.0,0.0,Eastern
57,2,0,0,3,0.0,1127.0,0.0,Eastern
59,2,0,0,3,0.0,1051.0,0.0,Eastern
62,2,0,0,3,0.0,1019.0,0.0,Eastern
65,2,0,0,3,0.0,1051.0,0.0,Eastern
67,2,0,0,3,0.0044388171154615,7.472710271699257,178.98649208175135,Eastern
70,2,0,0,3,0.0020470927401419,7.811855503311431,1171.925135822442,Eastern
71,2,0,0,3,0.0044388171154615,7.472710271699257,178.98649208175135,Eastern
73,2,0,0,3,0.0,27165.0,0.0,Eastern
78,2,0,0,3,0.0,6061.0,0.0,Western
79,2,0,0,3,0.0,1131.0,0.0,Eastern
82,2,0,0,3,0.0,1083.0,0.0,Eastern
85,2,0,0,3,0.001958667048592,14.311018807751449,1.6493986386363515,Eastern
93,2,0,0,3,0.0,1095.0,0.0,Eastern
97,2,0,0,3,0.0,1079.0,0.0,Eastern
108,2,0,0,3,0.0012126848505895,8.201579235111163,221.6994702633152,Eastern
109,2,0,0,3,0.0,1039.0,0.0,Eastern
111,2,0,0,3,0.0,21049.0,0.0,Eastern
120,2,0,0,3,0.0,1039.0,0.0,Eastern
123,2,0,0,3,0.0040166297699243,7.827087957766878,225.51385431424245,Eastern
126,2,0,0,3,0.0085637526364407,9.845907433469105,43.72401157726127,Eastern
127,2,0,0,3,0.0015174051186019,8.67269274667713,158.87956845922136,Eastern
128,2,0,0,3,0.0015174051186019,8.67269274667713,158.87956845922136,Eastern
188,2,0,0,3,1.2648264873997207e-14,9.459391956690306,105.45693231633476,Western
189,2,0,0,3,0.0,36111.0,0.0,Eastern
226,2,0,0,3,0.0045866560331894,3.921875520384954,474.1768073517195,Western
228,2,0,0,3,0.0,4013.0,0.0,Western
229,2,0,0,3,0.0,0.0,0.0,Western
230,2,0,0,3,2.326417037179364e-17,9.136025784149696,263.71757847867326,Eastern
238,2,0,0,3,0.0003629113756022,10.444511408139991,47.10043017567704,Western
241,2,0,0,3,0.0,4003.0,0.0,Western
242,2,0,0,3,0.006628943956535,9.146230458516817,149.51490433999177,Western
244,2,0,0,3,0.006628943956535,9.146230458516817,149.51490433999177,Western
246,2,0,0,3,0.0021414545719022,6.075680203535571,211.6373501997845,Western
249,2,0,0,3,0.0021414545719022,6.075680203535571,211.6373501997845,Western
250,2,0,0,3,0.0021414545719022,6.075680203535571,211.6373501997845,Western
254,2,0,0,3,0.0021414545719022,6.075680203535571,211.6373501997845,Western
256,2,0,0,3,6.3547771401280866e-21,9.166423522686774,132.29303443205896,Western
259,2,0,0,3,0.0409890356431177,7.140678545632317,92.6312544958384,Western
261,2,0,0,3,0.0409890356431177,7.140678545632317,92.6312544958384,Western
266,2,0,0,3,0.0409890356431177,7.140678545632317,92.6312544958384,Western
267,2,0,0,3,0.0,4019.0,0.0,Western
268,2,0,0,3,0.0,4019.0,0.0,Western
269,2,0,0,3,0.0,4019.0,0.0,Western
275,2,0,0,3,1.9045868241230703e-05,9.938714185251545,146.42605357341137,Eastern
279,2,0,0,3,0.0,6053.5,0.0,Eastern
281,2,0,0,3,0.0075121637585227,7.998728432486008,99.88148130374628,Western
284,2,0,0,3,0.0075121637585227,7.998728432486008,99.88148130374628,Western
287,2,0,0,3,0.0075121637585227,7.998728432486008,99.88148130374628,Western
289,2,0,0,3,0.0,4013.0,0.0,Western
292,2,0,0,3,0.0,4013.0,0.0,Western
295,2,0,0,3,0.0071617994676166,3.264141562972547,440.1694179044992,Western
298,2,0,0,3,0.0071617994676166,3.264141562972547,440.1694179044992,Western
299,2,0,0,3,0.0071617994676166,3.264141562972547,440.1694179044992,Western
300,2,0,0,3,0.0,4013.0,0.0,Western
301,2,0,0,3,0.0,4013.0,0.0,Western
302,2,0,0,3,0.0,4013.0,0.0,Western
303,2,0,0,3,0.0,4013.0,0.0,Western
304,2,0,0,3,0.0,6099.0,0.0,Western
305,2,0,0,3,0.0,6099.0,0.0,Western
306,2,0,0,3,0.0,4015.0,0.0,Western
311,2,0,0,3,0.0,4005.0,0.0,Western
319,2,0,0,3,0.0,32003.0,0.0,Western
328,2,0,0,3,0.0,49051.0,0.0,Western
334,2,0,0,3,0.0047863498406242,8.889548717176032,107.1842928466142,Western
335,2,0,0,3,0.0047863498406242,8.889548717176032,107.1842928466142,Western
336,2,0,0,3,0.0,6099.0,0.0,Western
339,2,0,0,3,0.0,6099.0,0.0,Western
341,2,0,0,3,0.0,0.0,0.0,Eastern
342,2,0,0,3,0.0,40097.0,0.0,Eastern
343,2,0,0,3,0.0,40097.0,0.0,Eastern
344,2,0,0,3,0.0,40097.0,0.0,Eastern
345,2,0,0,3,0.0,5051.0,0.0,Eastern
347,2,0,0,3,0.000196779524948,9.10440617616619,294.42095506385766,Eastern
351,2,0,0,3,0.0,5059.0,0.0,Eastern
354,2,0,0,3,0.0,6089.0,0.0,Western
357,2,0,0,3,0.0,5019.0,0.0,Eastern
358,2,0,0,3,0.0,5019.0,0.0,Eastern
359,2,0,0,3,0.0,5023.0,0.0,Eastern
361,2,0,0,3,0.0,5021.0,0.0,Eastern
366,2,0,0,3,0.0,5109.0,0.0,Eastern
369,2,0,0,3,0.0,5005.0,0.0,Eastern
371,2,0,0,3,0.0,5051.0,0.0,Eastern
373,2,0,0,3,0.0,5089.0,0.0,Eastern
381,2,0,0,3,0.0,5115.0,0.0,Eastern
385,2,0,0,3,1.5084598791052717e-18,6.413088778790304,296.5009366062228,Eastern
386,2,0,0,3,1.5084598791052717e-18,6.413088778790304,296.5009366062228,Eastern
387,2,0,0,3,0.0,5147.0,0.0,Eastern
388,2,0,0,3,0.0,5103.0,0.0,Eastern
389,2,0,0,3,0.0,17039.0,0.0,Eastern
390,2,0,0,3,0.0,20031.0,0.0,Eastern
391,2,0,0,3,0.0,6061.0,0.0,Western
392,2,0,0,3,0.0,6009.0,0.0,Western
393,2,0,0,3,0.0,6019.0,0.0,Western
394,2,0,0,3,0.0,6019.0,0.0,Western
396,2,0,0,3,0.0,6063.0,0.0,Western
397,2,0,0,3,0.0,6063.0,0.0,Western
399,2,0,0,3,0.0,6063.0,0.0,Western
400,2,0,0,3,0.0,6063.0,0.0,Western
403,2,0,0,3,0.0,6063.0,0.0,Western
407,2,0,0,3,0.0,6017.0,0.0,Western
408,2,0,0,3,0.0,6089.0,0.0,Western
409,2,0,0,3,0.0,0.0,0.0,Western
411,2,0,0,3,0.0,6007.0,0.0,Western
413,2,0,0,3,0.0,6007.0,0.0,Western
414,2,0,0,3,0.0,6057.0,0.0,Western
415,2,0,0,3,0.0,6061.0,0.0,Western
419,2,0,0,3,0.0,6061.0,0.0,Western
420,2,0,0,3,0.0,6061.0,0.0,Western
421,2,0,0,3,0.0,6017.0,0.0,Western
423,2,0,0,3,0.0,6005.0,0.0,Western
426,2,0,0,3,0.0,6019.0,0.0,Western
428,2,0,0,3,0.0,6061.0,0.0,Western
431,2,0,0,3,0.0,6089.0,0.0,Western
432,2,0,0,3,0.0,6089.0,0.0,Western
433,2,0,0,3,0.0,6023.0,0.0,Western
444,2,0,0,3,0.0,6089.0,0.0,Western
448,2,0,0,3,0.0,0.0,0.0,Western
449,2,0,0,3,0.0,6019.0,0.0,Western
452,2,0,0,3,0.0,6047.0,0.0,Western
453,2,0,0,3,0.0,6053.0,0.0,Western
457,2,0,0,3,0.0,6053.0,0.0,Western
459,2,0,0,3,0.0,6009.0,0.0,Western
460,2,0,0,3,0.0,6057.0,0.0,Western
461,2,0,0,3,0.0021414545719022,6.075680203535571,211.6373501997845,Western
462,2,0,0,3,0.0,6089.0,0.0,Western
464,2,0,0,3,0.0,6089.0,0.0,Western
467,2,0,0,3,0.0,6089.0,0.0,Western
469,2,0,0,3,0.0,6089.0,0.0,Western
473,2,0,0,3,0.0,6089.0,0.0,Western
475,2,0,0,3,0.0,6089.0,0.0,Western
477,2,0,0,3,0.0,6007.0,0.0,Western
479,2,0,0,3,0.0,6045.0,0.0,Western
482,2,0,0,3,0.0,6063.0,0.0,Western
484,2,0,0,3,0.0,6039.0,0.0,Western
486,2,0,0,3,0.0,6005.0,0.0,Western
488,2,0,0,3,0.0034639817032239,4.329801147060125,346.6380199971288,Western
489,2,0,0,3,0.0,6057.0,0.0,Western
490,2,0,0,3,0.0,6057.0,0.0,Western
491,2,0,0,3,0.0,6057.0,0.0,Western
492,2,0,0,3,0.0,6109.0,0.0,Western
493,2,0,0,3,0.0,6109.0,0.0,Western
494,2,0,0,3,0.0,6097.0,0.0,Western
506,2,0,0,3,0.0,6005.0,0.0,Western
510,2,0,0,3,0.0,6089.0,0.0,Western
511,2,0,0,3,0.0,6005.0,0.0,Western
512,2,0,0,3,0.0018869222034773,5.385294492557925,441.16155539454405,Western
514,2,0,0,3,0.0,6039.0,0.0,Western
518,2,0,0,3,0.0,6093.0,0.0,Western
520,2,0,0,3,0.0,6093.0,0.0,Western
522,2,0,0,3,0.0,6093.0,0.0,Western
525,2,0,0,3,0.0,6093.0,0.0,Western
526,2,0,0,3,1.0146688014571387e-20,9.044089969179996,550.7359979998541,Eastern
528,2,0,0,3,0.0,49001.0,0.0,Western
533,2,0,0,3,0.0,7055.0,0.0,Western
534,2,0,0,3,0.0,0.0,0.0,Western
541,2,0,0,3,0.0,6019.0,0.0,Western
545,2,0,0,3,0.0,6019.0,0.0,Western
549,2,0,0,3,0.0,6019.0,0.0,Western
554,2,0,0,3,0.0,0.0,0.0,Western
556,2,0,0,3,0.0,6019.0,0.0,Western
558,2,0,0,3,0.0,6019.0,0.0,Western
560,2,0,0,3,0.0,6027.0,0.0,Western
563,2,0,0,3,0.0,6027.0,0.0,Western
566,2,0,0,3,0.0,6027.0,0.0,Western
571,2,0,0,3,0.0,6027.0,0.0,Western
573,2,0,0,3,0.0,6027.0,0.0,Western
574,2,0,0,3,0.0,6029.0,0.0,Western
577,2,0,0,3,0.0,6071.0,0.0,Western
579,2,0,0,3,0.0,0.0,0.0,Western
581,2,0,0,3,0.0,6107.0,0.0,Western
582,2,0,0,3,0.0,6107.0,0.0,Western
583,2,0,0,3,0.0,6107.0,0.0,Western
585,2,0,0,3,0.0,6029.0,0.0,Western
587,2,0,0,3,0.0,6029.0,0.0,Western
591,2,0,0,3,0.0,6037.0,0.0,Western
595,2,0,0,3,0.0,6051.0,0.0,Western
597,2,0,0,3,0.0,6039.0,0.0,Western
599,2,0,0,3,0.0002685600691494,8.325391068521707,574.3996808940111,Western
601,2,0,0,3,0.0,6051.0,0.0,Western
602,2,0,0,3,0.0,6019.0,0.0,Western
603,2,0,0,3,0.0,0.0,0.0,Western
607,2,0,0,3,0.0,6051.0,0.0,Western
609,2,0,0,3,0.0039549789778951,4.100687699687952,440.1174683389459,Western
611,2,0,0,3,0.0039549789778951,4.100687699687952,440.1174683389459,Western
615,2,0,0,3,0.0,6071.0,0.0,Western
619,2,0,0,3,0.0,6071.0,0.0,Western
620,2,0,0,3,0.0,6107.0,0.0,Western
622,2,0,0,3,0.0,53005.0,0.0,Western
623,2,0,0,3,0.0,6009.0,0.0,Western
626,2,0,0,3,4.6006157158368436e-20,9.32855691458197,57.00935725347736,Western
628,2,0,0,3,4.6006157158368436e-20,9.32855691458197,57.00935725347736,Western
629,2,0,0,3,4.6006157158368436e-20,9.32855691458197,57.00935725347736,Western
631,2,0,0,3,4.6006157158368436e-20,9.32855691458197,57.00935725347736,Western
633,2,0,0,3,4.6006157158368436e-20,9.32855691458197,57.00935725347736,Western
634,2,0,0,3,0.0,27061.0,0.0,Eastern
636,2,0,0,3,0.0,6109.0,0.0,Western
638,2,0,0,3,0.0,6109.0,0.0,Western
640,2,0,0,3,0.0,6109.0,0.0,Western
643,2,0,0,3,1.492964555106322e-18,8.875827497337607,207.5070432633129,Eastern
645,2,0,0,3,0.0,6025.0,0.0,Western
647,2,0,0,3,0.0,6025.0,0.0,Western
649,2,0,0,3,0.0,6025.0,0.0,Western
651,2,0,0,3,0.0,6025.0,0.0,Western
653,2,0,0,3,0.0,0.0,0.0,Western
654,2,0,0,3,0.0,0.0,0.0,Western
658,2,0,0,3,0.0148119942980639,8.609264113522203,43.94954386621731,Western
662,2,0,0,3,0.0,6027.0,0.0,Western
663,2,0,0,3,0.0,6037.0,0.0,Western
669,2,0,0,3,0.0,6037.0,0.0,Western
670,2,0,0,3,0.0,6027.0,0.0,Western
671,2,0,0,3,0.0112235735174177,2.267319804714372,506.2768542706541,Western
673,2,0,0,3,0.0,6037.0,0.0,Western
674,2,0,0,3,0.0,6037.0,0.0,Western
675,2,0,0,3,0.0,6027.0,0.0,Western
677,2,0,0,3,6.580037242516386e-22,6.674878206543373,239.2596738832165,Western
679,2,0,0,3,6.580037242516386e-22,6.674878206543373,239.2596738832165,Western
680,2,0,0,3,6.580037242516386e-22,6.674878206543373,239.2596738832165,Western
685,2,0,0,3,0.0052402727255959,3.8054943938798695,460.86163330753527,Western
686,2,0,0,3,0.0052402727255959,3.8054943938798695,460.86163330753527,Western
687,2,0,0,3,0.0052402727255959,3.8054943938798695,460.86163330753527,Western
694,2,0,0,3,0.0052402727255959,3.8054943938798695,460.86163330753527,Western
696,2,0,0,3,0.0,6051.0,0.0,Western
697,2,0,0,3,0.0,6027.0,0.0,Western
698,2,0,0,3,0.0,6037.0,0.0,Western
700,2,0,0,3,2.925754218751016e-19,9.444674966484792,163.6162977545836,Western
702,2,0,0,3,2.925754218751016e-19,9.444674966484792,163.6162977545836,Western
703,2,0,0,3,2.925754218751016e-19,9.444674966484792,163.6162977545836,Western
704,2,0,0,3,2.925754218751016e-19,9.444674966484792,163.6162977545836,Western
712,2,0,0,3,0.0,6051.0,0.0,Western
713,2,0,0,3,0.0,6037.0,0.0,Western
714,2,0,0,3,0.0,6037.0,0.0,Western
716,2,0,0,3,0.0,6037.0,0.0,Western
717,2,0,0,3,0.0,6043.0,0.0,Western
718,2,0,0,3,0.0,6043.0,0.0,Western
719,2,0,0,3,0.0,6057.0,0.0,Western
720,2,0,0,3,0.0,6057.0,0.0,Western
721,2,0,0,3,0.0,6109.0,0.0,Western
722,2,0,0,3,0.0,6109.0,0.0,Western
723,2,0,0,3,0.0,6109.0,0.0,Western
726,2,0,0,3,0.0,6007.0,0.0,Western
727,2,0,0,3,0.0,6007.0,0.0,Western
728,2,0,0,3,0.0,6007.0,0.0,Western
733,2,0,0,3,3.0119088014572737e-23,10.57068864409034,64.64286255350974,Western
737,2,0,0,3,1.0406466154400068e-18,6.295754989063711,97.49359209393288,Western
