,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.2357372990933,18.3,7688.206963242197,-264.6782283222542,0.0,-4901.817120484392,348.8837166831732,10.992747279453425,315.26948122096127,209.13802666934657,318.9535130078657,10.0,18.3,7522.494817605828,-251.54369001355818,0.0,-4761.780335780046,341.35403303380616,20.134177905228096,269.2588870553363,201.88754022702958,310.7781429886334
1,10.0,18.3,7619.212839354381,-276.66202616957264,0.0,-4723.176410229993,342.5618660036097,3.512273376446267,314.78184066737293,203.36862163776945,317.96684804142745,10.0,18.3,7445.529013328681,-267.0084867159646,0.0,-4227.17727536926,323.08443041566755,13.347790129006846,286.11440273598777,201.68561367343813,319.12493396917756
2,10.0,18.3,7592.792544104688,-280.4361901038013,0.0,-4565.56058889192,333.34856877665555,-17.76419142682787,332.9252665866861,199.91781851889024,301.3913161358433,10.0,18.3,7530.66083099147,-294.2998346299703,0.0,-3800.988764513455,313.3063186276081,4.983062825418817,242.02430366886114,193.6367218314314,428.8151462948326
3,10.0,18.3,7679.869453162022,-296.0840730240231,0.0,-4161.722964706263,321.1338984507703,-29.35491744672931,317.0017645844324,212.3315059407968,353.5093244305519,10.0,18.3,7504.9072895960135,-294.21024861630065,0.0,-3541.371923257891,298.0644179797664,-5.983464787537324,239.99078278371334,186.33902004103322,400.69249274771374
4,10.0,18.3,7509.863005642435,-281.6419533957082,0.0,-4224.305794705643,326.3485925076134,-36.94923743131254,392.13272033313484,223.10580858057574,383.4846660007912,10.0,18.3,6998.767630739534,-253.18573867705595,0.0,-4166.850589560063,315.0424966014727,-8.230720305241645,283.63623592915076,212.5429549681745,376.511293257399
5,10.0,18.3,8062.800369599996,-290.514060253119,0.0,-4627.259042716785,354.13555399447904,-79.61080582465154,409.3183449456542,260.164612093712,375.96050475647434,10.0,18.3,7361.4337111339155,-290.3928498613792,0.0,-3956.530692015695,338.53984269918067,-90.3145048214288,345.0871390959569,236.70803966630925,453.3559631706289
6,10.0,18.3,8892.559477411041,-306.5265447577965,0.0,-4007.5450970119255,322.35394080112553,-74.7584029814161,395.94759372686264,255.6222843617141,401.7195433070974,10.0,18.3,7810.677118214735,-309.95040081489805,0.0,-3264.4772497407566,307.8587625745441,-88.39110258088834,361.61070426551925,229.37502051939452,471.3099278844827
7,10.0,18.3,9120.469730327975,-297.35636767732717,0.0,-3616.173265197361,296.0697674866831,-68.97447065654764,367.48447278890916,226.77143146567468,344.115361629285,10.0,18.3,8041.503064747552,-309.3278943173169,189.57025453682007,-3421.9262057682777,309.0053383473404,-103.63152985021785,379.2975783243474,204.93356311840859,463.84832877337556
8,10.0,18.3,9013.563868547375,-291.69519180449686,0.0,-3562.3913515819495,297.80270396149234,-77.47550746462582,316.86657742886143,205.5329887479627,333.8522486466678,10.0,18.3,8280.681210939221,-282.93016943323966,0.0,-3178.168303826844,277.78612596784143,-76.38289678879948,329.6824551803675,219.92704551024772,282.8771456133055
9,11.033527539615804,18.3,9382.330705322702,-286.5900487419203,0.0,-4760.4999063640835,324.1155051748447,-16.46979436551096,325.90015492851626,203.20736739451579,292.0094813758662,10.0,18.3,9592.526821978185,-393.91188090117134,0.0,-2411.9424408132363,275.39383833882226,47.9304411303449,279.6053237079871,213.58800643861343,709.397656760561
10,12.509462196140317,18.3,9319.56353901002,-256.05573016513773,0.0,-4783.297177417862,290.79763373919525,53.88089637018188,309.92895848535386,237.03814994705687,407.7989493921109,12.468221512356234,18.3,9113.200530392118,-265.5667150277306,0.0,-4444.241823478022,274.5390997018583,63.958812341472274,286.0730387997275,250.14090347719122,394.274192300582
11,13.624609179397384,18.3,9095.427914018113,-232.55421862093235,0.0,-5571.732835140352,315.0105781802084,69.50447192434505,311.17383291456326,288.1265720417706,478.5762414082875,14.34953292561376,18.3,8943.95192151258,-240.82447609736542,0.0,-5003.802224423718,290.74733703168846,27.02629244940545,245.88126178219036,298.9651641700234,380.06637678054625
12,14.691002785667926,18.3,8960.45227224445,-225.77935659687608,0.0,-6206.737485026893,340.2982445890238,84.84556625728223,281.5088927507402,337.14393042688545,494.06766179793226,15.373982487132217,18.3,8710.557453713229,-222.33410059777688,0.0,-5607.389464210266,312.9373988053605,67.83523475178556,228.80008149339665,361.1594681359436,411.0047221114858
13,15.394193488368064,18.931443695970767,8807.079372466327,-213.78303992136583,0.0,-6917.922880831597,365.4197213868036,91.75178184114922,253.5772396036546,385.92587711273023,556.1215384583604,16.095726014257718,18.56133173933059,8445.560493369634,-202.51562196958486,0.0,-6171.917734995457,332.51481206585265,68.66354231799991,244.20973416367013,386.2334029066284,337.68759976035784
14,16.317194308535992,19.71170012379493,8721.845112348115,-206.51916754258906,0.0,-7692.950636561589,390.2733193102437,88.61287166474938,240.9686509346718,462.1136026232244,636.664851838268,16.914133357314753,18.627061303954633,8419.793855984939,-202.64059725299322,0.0,-6455.554125203518,346.568576753058,97.16953253539312,222.67519507917422,412.44919874155784,450.41452052073794
