,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,18.3,619.2784464821247,-8.810317107421557,0.0,-825.5247602460568,50.48458930100419,0.9748578128630631,15.909139685421893,37.87045571302738,22.077669070658942,10.0,18.3,628.8551207309592,-8.313695898102404,0.0,-650.36200667917,41.61035411582524,2.696865092331726,15.39073260091565,29.657349721446277,13.128362346362792
1,10.0,18.3,576.8921959261723,-8.608104286788599,0.0,-812.9245909343848,50.456345515003804,-4.075888160612353,15.269179598257287,34.34791889671729,21.367996683646393,10.0,18.3,586.8183505942867,-8.437790966982217,0.0,-721.489333934124,45.49001797061707,-6.3022452065554,16.276725469473423,28.612624017268143,21.391470725001426
2,10.0,18.3,554.3470341537892,-8.594167914808576,0.0,-784.8747756708085,48.553906752696115,0.3554289461124749,14.165748989751437,31.987334762695824,22.941604047490777,10.0,18.3,560.2189128797803,-8.409169131555002,0.0,-780.6268203943682,47.79034257730414,-6.820122562353799,17.339176155283734,25.35405313496057,27.909792861429693
3,10.0,18.3,540.9067799466113,-8.358397118856603,0.0,-722.79259300001,45.22566479905458,1.207277058364547,14.522355737328704,30.670608131220785,17.648293636211402,10.0,18.3,542.4530629680398,-8.491706214526628,0.0,-739.6880465940626,45.96645660319215,-9.239156825431037,16.579757408057247,20.471527265383465,24.242148421884817
4,10.0,18.3,533.305871334737,-8.24404748057804,0.0,-660.7642300862481,42.57782052358555,-3.9856624686780027,15.13192230355347,29.880666392962038,13.956752786802534,10.0,18.3,531.6671546080947,-8.501624830082589,0.0,-703.2415363143245,44.57911480891492,-12.21360593155252,16.38628771976013,17.98057570379094,20.6836962035979
5,10.0,18.3,474.26634198618433,-7.951173455889976,62.13745063085428,-637.7217591295953,42.02538546234852,-0.7092819460945441,15.2246227007335,34.90796960786505,24.104456590223222,10.0,18.3,471.94522288150904,-8.600929894856112,53.06591268122298,-686.0029872979887,45.15063330217147,-12.929104090889954,16.235750035139326,23.973649015912144,31.214436761712108
6,10.0,18.3,557.9098028436003,-8.18063719037322,14.690107680391026,-613.9279236030964,40.1089665059093,-4.883798358841041,15.671307156274354,28.004827763143897,19.011570102481453,10.0,18.3,535.3673017412139,-8.839603119448254,2.706308995159192,-522.0295224521603,35.41415992127132,-3.4437881037964426,17.356594786433995,18.831281603875897,18.155271603011684
7,10.0,18.3,639.6579096867126,-8.654176231723165,0.0,-593.0658743031561,38.07893068463696,2.2384971223787358,18.371682432678117,25.03618776953165,20.541190759305266,10.0,18.3,563.6804630366373,-8.830527686125343,0.0,-527.0125135453501,34.437408938957084,-1.538776489728108,20.127143189947212,17.176228929392206,16.74236033684522
8,10.0,18.3,699.3296152660611,-8.85474658589391,0.0,-521.8722333281906,33.85588186716237,12.687532970811331,19.159446916294467,26.78984589428455,18.709442717416117,10.0,18.3,592.9868952451894,-8.739299488016892,0.0,-551.8304370082542,34.40285635428468,4.802426939896233,23.374860712037712,18.188065077490922,19.359455250641258
9,10.0,18.3,719.4410692849204,-8.594118685123943,0.0,-553.26910589045,34.48403135973989,16.421930331231355,18.794199327387634,24.97092160852667,21.203473577937064,10.0,18.3,631.2250119347541,-8.85666512133106,0.0,-567.4926837512112,34.47550536736676,8.603855172010563,25.67510098674948,24.56634025368974,21.042459704499617
