,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,s.heat.stderr.wk,s.dark.stderr.wk,n.heat.wk,s.cool.db.stderr.wk,s.cool.wb.stderr.wk,n.cool.wk,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,r2.heat.wk,r2.cool.wk,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,s.heat.stderr.wknd,s.dark.stderr.wknd,n.heat.wknd,s.cool.db.stderr.wknd,s.cool.wb.stderr.wknd,n.cool.wknd,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw,r2.heat.wknd,r2.cool.wknd
0,10.0,18.3,1012.7607757695897,-16.08416795754105,0.0,-1069.5018433593802,73.4661853341491,-8.914501706696935,0.5896794575253866,0.0,123.0,6.009182454228532,9.873662793100248,65.0,0.026779949704972637,0.05112683623877023,0.033977107644244345,0.8601134643547265,0.7193106990226384,10.0,18.3,1016.7720135856468,-15.010922299768415,0.0,-1107.194253594727,72.12548196490013,13.560328900195493,0.9259223847822444,0.0,55.0,9.244571702744485,17.136814184110438,22.0,0.02916293513345229,0.044816427013848574,0.04242884389953432,0.8321851964630331,0.8659632213989051
1,10.0,18.3,953.8166178221871,-15.783372108175064,0.0,-944.2981764264209,66.97440603181978,-7.029889781117461,0.5613811155287852,0.0,126.0,5.762820237140723,11.069871299787339,60.0,0.028568479720000334,0.04942587253807136,0.037858237847002915,0.8644019537084139,0.7174237495313317,10.0,18.3,957.0893125181259,-15.430227402793337,0.0,-1068.7497916768384,70.07171099047484,17.648918658094196,0.8554417070987463,0.0,58.0,8.534314433255233,17.86067235854748,20.0,0.02881388196325583,0.04566595144149642,0.049872799666219575,0.853157021687668,0.8806177733027408
2,10.0,18.3,921.674370674226,-16.009748828822435,0.0,-870.9650671250645,62.46757220900609,-5.9989676394315765,0.5247124372137646,0.0,129.0,6.002751122177781,11.235632097210809,54.0,0.029214571871053824,0.04748234093432814,0.04155102189169615,0.8799565109200789,0.6870335669748384,10.0,18.3,922.016293644908,-15.718245201503738,0.0,-956.929882549218,65.14668019402785,7.071436719454958,0.8184239415046636,0.0,56.0,7.410456074530673,15.54630897693333,20.0,0.027731814575557512,0.042031392190961525,0.04508373881373711,0.8722955710982545,0.8861335417241482
3,10.0,18.3,905.5489768119231,-16.10536916580096,0.0,-778.3599936602945,57.52196723566071,-7.994466054488257,0.5167386195699168,0.0,131.0,6.28518470062185,11.641273452206745,51.0,0.030217801544032107,0.04788655018420507,0.03998666914095074,0.8827702420672565,0.6497023609841557,10.0,18.241653021613352,900.8458443873018,-15.947870313454128,0.0,-862.3007993227643,61.01743958405956,-2.866216309146978,0.7973941102524209,0.0,57.0,6.0719773612208,14.87547879321243,20.0,0.02780969909617032,0.03855489992546373,0.04180403444236368,0.8791207206434727,0.9008202054465106
4,10.0,18.090370111429795,899.457554816207,-15.905483716594006,0.0,-673.6665624077863,51.91133960883089,-7.645096789210292,0.5337302522211995,0.0,132.0,5.996630976779023,13.642322205892395,50.0,0.03234952022554071,0.04636503158210567,0.03949776470128038,0.8723081551673281,0.6295447693813444,10.0,17.94779943306508,888.3957716645021,-15.795538742124528,0.0,-727.9415334660074,53.98546445033357,-0.26392372136781717,0.7832247186209357,0.0,58.0,6.018845326065093,16.033221683315585,20.0,0.028642001333364985,0.038755102296282866,0.041464126830725694,0.8789766305272186,0.8894556470016989
5,10.0,17.437908370380622,811.949531091611,-15.566853360213324,97.45074004347178,-543.3680211592944,44.6376435793594,-0.3317118238546186,0.5497432395544922,58.460844684045625,136.0,6.170481437869479,15.77399535930147,50.0,0.03296967144915436,0.04420321315344741,0.047590998158446085,0.8708407008233129,0.569620774945276,10.0,17.213327591151753,886.5592606481124,-15.394212370995938,0.0,-739.3753705936472,52.948226945780235,4.097255714631906,0.7735769955649199,0.0,60.0,5.734367237707287,18.514305551187135,20.0,0.03155895941788393,0.04073777098460425,0.044935457072739035,0.8722499465352426,0.8874634216737717
6,10.0,17.987484341927587,916.154663394402,-15.182590945316548,57.50745291584883,-598.8783505851724,48.83950120111895,-27.7577295676153,0.5388351759482604,12.484431308871917,133.0,5.1048251240498175,11.86727490367772,50.0,0.028868583099154087,0.03870428775341619,0.039358439647416046,0.8838935721990991,0.6639214193988247,10.0,16.997588315084176,865.3404593265532,-15.227362344910642,47.78984886876967,-653.4131817158492,47.49647770702679,12.392504365780326,0.819859945444643,23.935531053461066,61.0,4.333367236249617,13.505778209507021,20.0,0.03268901515148635,0.03632056689589215,0.05664563493077027,0.8724932805167752,0.9001168966902262
7,10.0,18.09046930577455,1057.321584630049,-16.478180840276142,17.492832561676323,-592.2541651936178,43.4794249508002,2.7648138264315065,0.5575540572622263,14.640638181486342,133.0,3.924151922432573,8.796470171934788,50.0,0.029777816889024627,0.030344613593970848,0.03557413539433127,0.8778826247823422,0.7562774882302519,10.0,17.247015109795633,944.9217472057225,-16.316438826242933,21.323025588761325,-642.9756670343289,43.48971560097277,28.00606804820888,0.8968213139952124,23.57263593252142,60.0,3.1763269111913504,10.52808429064314,20.0,0.03527556173883553,0.024386094958083953,0.05409890088702277,0.8611244747336516,0.9486198217642492
8,10.0,18.3,1127.6367434132462,-16.786339206496336,0.0,-640.7507654661506,43.59793809770552,22.58529222154514,0.5518926036437273,0.0,129.0,3.27704554003463,6.258467461461599,55.0,0.026733903844279823,0.02529931146495671,0.03910617805857186,0.8792925018285471,0.8262731561781145,10.0,18.3,1000.790672269324,-16.931720480718035,0.0,-660.9137673101602,44.97492061569203,19.25287907608055,0.9455292107648334,0.0,58.0,4.96205484394744,9.710373846060863,22.0,0.03451470422335399,0.03090284503024312,0.037130715674991426,0.8513269855795644,0.9187068847673332
9,10.0,18.3,1157.3321207953054,-16.74994557642268,0.0,-590.802598062432,40.851965403690805,28.9371881299922,0.6642773607877017,0.0,124.0,3.6139321681439047,6.78160960115122,65.0,0.02968768546755683,0.033749287901570994,0.031627294716598926,0.8390099471535912,0.7634218620773164,10.0,18.3,1059.396264047437,-17.019086362081033,0.0,-848.8803744689666,52.59050689257857,18.993380610022804,1.0517313785888458,0.0,57.0,4.606787588481134,8.319020622993772,28.0,0.03572907814264553,0.034402343468247325,0.041870496766503486,0.8264196687293951,0.9223596468326543
