Speed bin (m/s),0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25
Vestas V112-3.3,0,0,0,0,0,0,0.006666667,0.022121212,0.040606061,0.063333333,0.091515152,0.125757576,0.167272727,0.216363636,0.274545455,0.34030303,0.415151515,0.499393939,0.590909091,0.687272727,0.783636364,0.869090909,0.930606061,0.97,0.98969697,0.997272727,0.999393939,0.99969697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vestas V117-3.3,0,0,0,0,0,0,0.007272727,0.024242424,0.044545455,0.069090909,0.099090909,0.136060606,0.180909091,0.233939394,0.296363636,0.367878788,0.449090909,0.54030303,0.640606061,0.746363636,0.849393939,0.928181818,0.974545455,0.994242424,0.999090909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vestas V117-3.45,0,0,0,0,0,0,0.006376812,0.022608696,0.043478261,0.068695652,0.098550725,0.135072464,0.17884058,0.230724638,0.291594203,0.361449275,0.44115942,0.530724638,0.631304348,0.737391304,0.842028986,0.927826087,0.977971014,0.995652174,0.99942029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vestas V126-3.3,0,0,0,0,0,0,0.009090909,0.029393939,0.054242424,0.084242424,0.12030303,0.163333333,0.215454545,0.276666667,0.348484848,0.43030303,0.522121212,0.624242424,0.737575758,0.84969697,0.936363636,0.981212121,0.996969697,0.99969697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Vestas V126-3.45,0,0,0,0,0,0,0.010144928,0.029275362,0.053333333,0.082028986,0.117101449,0.15942029,0.210144928,0.270144928,0.339710145,0.419130435,0.510144928,0.609855072,0.71942029,0.830434783,0.923768116,0.975652174,0.995072464,0.99942029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Vestas V136-3.45,0,0,0,0,0,0,0.01,0.03284058,0.061391304,0.095623188,0.136985507,0.186956522,0.24657971,0.317391304,0.399130435,0.492463768,0.596521739,0.710347826,0.827246377,0.925507246,0.98973913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Vestas V27-225,0,0,0,0,0,0,0,0.008888889,0.022222222,0.044444444,0.075555556,0.111111111,0.142222222,0.191111111,0.235555556,0.302222222,0.364444444,0.44,0.511111111,0.586666667,0.657777778,0.733333333,0.804444444,0.857777778,0.911111111,0.942222222,0.968888889,0.991111111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vestas V47-660,0,0,0,0,0,0,0,0,0,0.022727273,0.077272727,0.128787879,0.181818182,0.260606061,0.340909091,0.439393939,0.545454545,0.621212121,0.696969697,0.772727273,0.833333333,0.886363636,0.924242424,0.946969697,0.966666667,0.981818182,0.992424242,0.996969697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vestas V80-1.8,0,0,0,0,0,0,0,0,0.003888889,0.027777778,0.055555556,0.088888889,0.126111111,0.183333333,0.244444444,0.322222222,0.400555556,0.472222222,0.543333333,0.622222222,0.694444444,0.772222222,0.841111111,0.888888889,0.928888889,0.955,0.978333333,0.989444444,0.994444444,0.997222222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vestas V82-1.65,0,0,0,0,0,0,0,0.006060606,0.016969697,0.045454545,0.087272727,0.136969697,0.187272727,0.248484848,0.30969697,0.384242424,0.459393939,0.538181818,0.616363636,0.697575758,0.778787879,0.845454545,0.911515152,0.960606061,0.992121212,0.998787879,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Vestas V90-1.8,0,0,0,0,0,0,0.005555556,0.011111111,0.025555556,0.061111111,0.094444444,0.133333333,0.197222222,0.255555556,0.322222222,0.403888889,0.485555556,0.581666667,0.677222222,0.767777778,0.857777778,0.912222222,0.966666667,0.986111111,0.993888889,0.997222222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vestas V90-3.0,0,0,0,0,0,0,0,0.012666667,0.025666667,0.044333333,0.063333333,0.090333333,0.117666667,0.155666667,0.193666667,0.244333333,0.295333333,0.359666667,0.424,0.494666667,0.565333333,0.633666667,0.702,0.766,0.829666667,0.881,0.932333333,0.958,0.983666667,0.990666667,0.997666667,0.998666667,0.999666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vestas Vestas V-47,0,0,0,0,0,0,0,0,0,0.022727273,0.077272727,0.128787879,0.181818182,0.260606061,0.340909091,0.439393939,0.545454545,0.621212121,0.696969697,0.772727273,0.833333333,0.886363636,0.924242424,0.946969697,0.966666667,0.981818182,0.992424242,0.996969697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
