Speed bin (m/s),0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25
GE 1.5 XLE,0,0,0,0,0,0,0,0.033333333,0.078,0.12,0.162,0.219333333,0.276,0.353333333,0.434666667,0.533333333,0.628666667,0.736666667,0.842666667,0.906666667,0.951333333,0.98,0.992,0.997333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
GE 1.5-82.5,0,0,0,0,0,0,0,0.033333333,0.078,0.12,0.162,0.219333333,0.276,0.353333333,0.434666667,0.533333333,0.628666667,0.736666667,0.842666667,0.906666667,0.951333333,0.98,0.992,0.997333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
GE 1.6 82.5,0,0,0,0,0,0,0.00375,0.02375,0.046875,0.08125,0.125625,0.16875,0.216875,0.286875,0.356875,0.44375,0.530625,0.6175,0.70375,0.784375,0.864375,0.9375,0.9825,0.996875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE 1.6 XLE,0,0,0,0,0,0,0.00375,0.02375,0.046875,0.08125,0.125625,0.16875,0.216875,0.286875,0.356875,0.44375,0.530625,0.6175,0.70375,0.784375,0.864375,0.9375,0.9825,0.996875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE 1.6-100,0,0,0,0,0,0,0.000617284,0.009876543,0.05,0.100617284,0.159876543,0.233333333,0.311111111,0.39691358,0.498765432,0.607407407,0.715432099,0.809876543,0.880246914,0.937654321,0.969753086,0.983950617,0.993209877,0.999382716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE 1.6-82.5,0,0,0,0,0,0,0.00375,0.02375,0.046875,0.08125,0.125625,0.16875,0.216875,0.286875,0.356875,0.44375,0.530625,0.6175,0.70375,0.784375,0.864375,0.9375,0.9825,0.996875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE 1.7-100,0,0,0,0,0,0,0,0.023529412,0.058823529,0.114705882,0.178235294,0.249411765,0.320588235,0.404117647,0.487647059,0.597058824,0.706470588,0.805882353,0.902941176,0.968823529,0.992352941,0.998823529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
GE 1.7-103,0,0,0,0,0,0,0.003529412,0.029411765,0.069411765,0.120588235,0.176470588,0.252941176,0.330588235,0.426470588,0.525294118,0.650588235,0.773529412,0.867647059,0.951764706,0.988235294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
GE 1.85-82.5,0,0,0,0,0,0,0.003243243,0.020540541,0.040540541,0.07027027,0.108648649,0.145945946,0.187567568,0.248108108,0.308648649,0.383783784,0.458918919,0.534054054,0.608648649,0.698918919,0.788648649,0.852972973,0.917297297,0.962162162,0.985405405,0.997297297,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE 1.85-87,0,0,0,0,0,0,0.003243243,0.020540541,0.040540541,0.07027027,0.108648649,0.145945946,0.187567568,0.248108108,0.308648649,0.383783784,0.458918919,0.534054054,0.608648649,0.698918919,0.788648649,0.847027027,0.904864865,0.951351351,0.977297297,0.994594595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE 2.5-100,0,0,0,0,0,0,0.001786069,0.012820004,0.033300258,0.052232586,0.081206589,0.115380036,0.163961103,0.216352451,0.281166898,0.346695773,0.423496726,0.514070252,0.60099226,0.705536813,0.787934114,0.870450486,0.906410002,0.939154594,0.975749157,0.990752133,0.993530462,0.99230006,0.996507244,0.997062909,0.997062909,0.996983528,0.996705696,0.996308791,0.996507244,0.996666005,0.996626315,0.998134551,0.998134551,0.998174241,0.998571145,0.998650526,1,0,0,0,0,0,0,0,0
GE 2.5-103,0,0,0,0,0,0,0.006719368,0.021343874,0.040711462,0.066007905,0.098418972,0.137944664,0.18458498,0.239525692,0.303162055,0.377075099,0.460079051,0.55256917,0.651383399,0.747826087,0.835968379,0.901976285,0.950592885,0.978656126,0.994466403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
