State,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
ALABAMA,1352034356,1260902928,1761053756,2791198413,1919608569,791916853.8,3429166.008,587059202.6,531993820.2
ALASKA,80324580.6,74910411.02,104624383.2,165825484.3,114044210.9,47047889.96,148586147.6,87172410.83,16648293.43
ARIZONA,1194890185,1114350747,1556370022,2466783115,1696496381,699873973.1,8956076.04,532878060.7,520713561.5
ARKANSAS,644802963.4,601341166.6,839869634.9,1331159190,915486543.8,377675550.7,10219654.71,275366045.2,424107287.6
CALIFORNIA,5877594063,5481422795,7655684587,12133955444,8344962055,3442637318,42012053.83,2707165992,2062115882
COLORADO,1038403525,968411791.6,1352542801,2143725269,1474317761,608216227.9,8545231.138,257819075.3,298574655.6
CONNECTICUT,744129213.4,693972496,969244164.2,1536212586,1056509215,435853156,2260854.215,172945597.4,94547373.76
DELAWARE,142855413.4,133226495.8,186072220.3,294916903.6,202825070.6,83673616.78,1223154.825,68115702.81,16020129.28
DISTRICT OF COLUMBIA,342894710.7,319782496.6,446627668.3,707886694.3,486839401.3,200841115.8,102827.7688,156685179.5,126345535.3
FLORIDA,4296508609,4006910013,5596294029,8869898490,6100151486,2516561371,35441326.86,1789465136,1419985964
GEORGIA,2366376449,2206875012,3082255756,4885250049,3359763968,1386039713,36208003.59,809568567.7,849107198
HAWAII,194611684.9,181494147.8,253485637.3,401764648.6,276308147.3,113988384,1665175.688,63185309.79,3774107.614
IDAHO,300650156.4,280385370,391603259,620675220.9,426860902.1,176097537.8,6478929.184,176263187.4,127501273.3
ILLINOIS,2048692853,1910604258,2668465924,4229410160,2908719046,1199965281,19980571.69,725991425.1,1084997537
INDIANA,1639448618,1528944422,2135416622,3384548656,2327677091,960261768,13589851.1,778067808.7,776678672.7
IOWA,630079121.5,587609776.7,820691567.3,1300762685,894581762.5,369051475.5,3576087.624,207630028.2,310295646.5
KANSAS,591894214.7,551998654.6,770954907.4,1221932106,840367109.1,346685719,5162907.799,237681458.2,341459915.2
KENTUCKY,946190067.8,882413839,1232432863,1953355848,1343393793,554204749.4,2574906.724,451158290.8,355136645.4
