State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,228771355.4300377,42263270.78925796,139657943.63651174,184803175.92973253,323785248.5300176,320786501.1928671,288802804.8777756,213650610.23120427
AL,1151388024.2232342,1009292833.24903,1756799454.5024066,2324696032.556866,4072995295.6976037,4035271306.2780356,3632938628.5342097,2687576234.7506833
AR,617269151.6895971,919624886.7853595,957603796.4325976,1267155263.7618713,2220125672.0844274,2199562986.827254,1980257765.644328,1464955578.3367317
AZ,709807695.0591043,670938241.4516319,1054473102.7415856,1395338196.2192714,2444709226.4720263,2422066440.121934,2180576735.3252244,1613147595.1397614
CA,2491151143.473655,1835561980.4296818,3583268636.9592533,4741580801.468641,8307508301.764426,8230568050.4362,7409947519.18892,5481732803.550552
CO,385946071.4198768,432349849.92482525,1029846225.2298299,1362750524.9392507,2387613834.9294124,2365499863.5149674,2129650072.4959707,1575473055.9499013
CT,101371399.16801628,53607578.98687935,288967453.3885508,382377999.4747769,669947267.2267861,663742261.5043224,597564505.1320782,442066417.007298
DE,126377962.38924311,28751527.162833486,175596338.09549206,232358957.80844858,407105661.95855373,403335078.16803026,363120958.7914985,268629712.4654891
FL,1495699731.8457618,1148090227.6728585,2379203041.735977,3148295375.566576,5515986493.48255,5464897817.483765,4920025662.522614,3639737798.239203
GA,1126633811.1457045,1143042713.3470817,2181763254.0388107,2887031935.8114347,5058238590.882782,5011389543.518451,4511733976.091216,3337691673.7380495
HI,109875879.99210283,6348502.880280745,224207299.62704664,296683596.78521657,519805850.936276,514991652.57978106,463644926.4561162,342995358.06057525
IA,495330818.3990933,716063708.677056,995852293.6665215,1317767865.950876,2308801767.5266438,2287417706.0670137,2059353018.2308364,1523468683.805532
ID,429988588.5947705,300871206.2354851,485905029.67569244,642976900.8605113,1126530877.0312378,1116096998.9695053,1004817667.2629527,743344261.7452408
IL,680199015.5280824,983340789.8365422,1271674614.1469178,1682751373.936881,2948272825.696086,2920966217.30505,2629734210.679071,1945425423.0502913
IN,1286776897.824379,1242504532.9557555,1796297474.2783535,2376961849.528617,4164567705.7366624,4125995895.669639,3714617613.7478867,2748000734.5797367
KS,456164617.4203829,633923446.8150202,752601431.7795191,995884619.6118482,1744844619.0128508,1728683913.8820474,1556327218.3203933,1151340133.4668708
KY,1016065861.8793142,773676133.1768212,1411776521.15132,1868142245.3577552,3273087952.3493013,3242772686.4774833,2919455288.6521564,2159755353.5784554
LA,1151429466.392854,770896532.3109866,1064253378.7155089,1408279996.2151513,2467383960.350871,2444531182.0495186,2200801652.69368,1628109589.4994588
MA,147193527.67050263,63103389.59521113,345366963.0770916,457009005.26166224,800704890.4320629,793288816.5555291,714194750.8622357,528347168.9626301
MD,536634036.17512333,219364051.2107759,836296305.9759,1106634342.055247,1938884175.6635265,1920926367.8322911,1729402331.2411718,1279377683.1956837
ME,326176530.43159235,156122886.1179379,548147857.2849276,725340098.4337308,1270835710.7970607,1259065317.4488673,1133531472.9622586,838564192.6751902
MI,673449311.2695233,735967671.4141984,1754487582.209562,2321636648.7734637,4067634915.492677,4029960887.2457,3628157679.5045223,2684039383.098188
MN,631278235.4790606,437694478.4926439,1503654710.1859963,1989720635.4502916,3486099971.5583606,3453811804.988704,3109452963.5491095,2300311880.3802757
MO,984189673.6209424,1311457413.7970355,1493004077.7320304,1975627118.480806,3461407354.80045,3429347890.600038,3087428199.2044015,2284018394.780519
MS,785915153.7865376,927534011.1816943,1288097319.251003,1704482956.1710448,2986347877.2515993,2958688391.4074597,2663695333.2523475,1970549190.6847098
MT,186034082.20721295,321764130.39296186,480812823.05843616,636238606.2775348,1114725014.4938807,1104400481.797321,994287339.6024476,735554133.3510462
NC,1299364446.363822,854466753.0340033,2647089700.998486,3502778080.7991476,6137059671.498492,6080218659.738787,5473996557.439295,4049554523.5281615
ND,463964459.5624331,466175096.7244782,330642138.01654804,437524306.9464741,766566646.0040588,759466725.8196532,683744857.7556711,505820939.52920836
NE,255655559.2517405,512781654.5774921,555998984.452407,735729183.8081082,1289037989.0781293,1277098953.0075822,1149767082.9774346,850574976.2570405
NH,237367196.77849457,57308301.838950865,385120626.09951764,509613289.7928695,892870487.6016442,884600782.2740579,796402548.6353697,589162873.8773613
NJ,549506161.8708022,210759311.58186632,1219273888.1724563,1613411835.966069,2826786193.45579,2800604697.181542,2521373215.182808,1865262099.07276
NM,824570951.458862,729574412.3813028,669132311.2233982,885433558.9471143,1551328270.70249,1536959938.382221,1383718889.4762278,1023647901.3773953
NV,199292249.98169753,249308015.12240568,474308929.0864869,627632287.4822748,1099646270.844677,1089461396.7902095,980837741.0803223,725604386.0387477
NY,752290266.6482368,489907636.8394405,1126230979.3422217,1490292222.058468,2611073864.4773536,2586890280.7267113,2328966980.240074,1722923767.126155
OH,1002084402.7716519,1575169146.8624122,2049509722.9326506,2712026538.7034526,4751619443.292711,4707610418.676547,4238242844.1657157,3135368336.700395
OK,1481332383.308186,1008935144.0464209,1128337297.7258744,1493079446.2580483,2615957257.8803,2591728401.641948,2333322721.1626587,1726146058.2202907
OR,1126426750.5343413,584445446.241157,780128825.6014487,1032309948.5175918,1808663360.676596,1791912367.6611495,1613251542.540977,1193451624.0802448
PA,1293185257.503791,866199663.7722045,1760681309.0904615,2329832608.5771055,4081994754.330879,4044187604.0414686,3640965935.7732306,2693514678.080052
RI,18160323.82649857,4166270.277512769,20909129.25118375,27668136.740218632,48476095.967412576,48027113.685380705,43238618.49218665,31987075.853780262
SC,621051914.3040179,505491761.1403792,1385896639.6765933,1833896437.2386956,3213087328.705285,3183327941.570092,2865937422.4057302,2120163893.285472
SD,193401431.32034734,283609193.1581507,336487107.63989913,445258700.0849912,780117728.1106697,772892298.158952,695831846.8722984,514762655.3193934
TN,487799551.7535585,938781061.1425256,1659047579.2829053,2195345243.020029,3846365598.782413,3810740648.4404583,3430794574.705843,2538034056.746844
TX,3610580830.3310127,3990475900.1005173,3938001987.5097456,5210985969.110993,9129933842.952621,9045372883.907814,8143513054.083706,6024410095.902956
UT,1069151344.8733716,347014307.3727717,405737389.99797666,536894565.0927935,940668793.0434724,931956361.2023159,839036587.0697644,620702693.3468573
VA,367366816.456083,668620184.5814885,1603444919.3494122,2121768565.3596556,3717455115.441157,3683024309.608474,3315812065.322691,2452972267.5927477
VT,260434660.35574108,49246753.28519786,286056858.00272936,378526535.8311725,663199291.2804706,657056784.8492354,591545597.2205721,437613747.82784575
WA,605796417.3615465,366148975.2013183,933505715.1704792,1235266798.4362273,2164254836.6410637,2144210521.905424,1930424162.7125392,1428089663.2674434
WI,1243465780.7526994,742732723.9415042,1664800677.9795856,2202957892.715742,3859703216.9115667,3823955031.285311,3442691430.7647195,2546835115.8566675
WV,494646825.97776157,293036796.417608,580999314.1825858,768810993.4130498,1346999105.8078876,1334523295.5482757,1201465989.0484335,888820805.7427655
WY,158446376.34511128,344752445.3978191,362724985.7390042,479978129.3698453,840948068.7582705,833159245.7578778,750089938.9156635,554901720.0350279
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
