State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,291098442.7582557,51989366.8226755,115831253.84380642,231630686.442338,513788178.67668205,301595097.83585364,388912036.42525893,443303115.23096013
AL,1465075294.2030299,1241562575.7157018,1457076907.2824259,2913752818.90093,6463096749.527998,3793856786.010538,4892243206.672378,5576445187.759462
AR,785439630.2447157,1131259239.6539626,794229720.5992247,1588240891.2491717,3522932548.5644326,2067971724.9369044,2666684904.9807625,3039632654.6826596
AZ,903189624.8598362,825342045.2033627,874572434.9480734,1748904203.9909384,3879305439.0564413,2277163665.7314396,2936441490.1572037,3347115898.6109157
CA,3169847104.229787,2257982010.00976,2971936205.4939137,5943055958.538268,13182501608.961514,7738165313.020821,9978496506.333017,11374033643.2832
CO,491094263.82426065,531847027.54202276,854147079.2186321,1708059113.2062619,3788705517.9869084,2223981246.4507723,2867861850.9890504,3268945091.7516117
CT,128989297.55678901,65944353.95976971,239667530.08619896,479269114.2379971,1063083553.3956646,624033154.6115508,804701424.8518906,917242499.7347475
DE,160808716.5515818,35368149.80161442,145638341.1335072,291236609.3996467,646002090.7758867,379205115.8897818,488991481.9631366,557379116.5430319
FL,1903192215.4580824,1412301577.1695611,1973293907.9275587,3946044857.5624423,8752859860.357464,5137954327.249001,6625479972.349981,7552082827.365853
GA,1433576976.308162,1406092472.4570081,1809538766.642494,3618579632.7566786,8026497812.958985,4711577681.88728,6075659996.423024,6925368081.314348
HI,139810762.15713376,7809491.287683691,185955857.29321334,371860628.6597112,824837149.4085296,484181713.5910724,624360599.9692404,711680208.0437217
IA,630280087.3610432,880852289.0821565,825952770.0056351,1651678236.2505076,3663645104.850482,2150570439.489816,2773197359.9688897,3161041350.4410625
ID,547135843.5957549,370111049.5057385,403006149.5661769,805901399.4104851,1787598014.197746,1049325275.0561655,1353122887.3511019,1542363144.0327852
IL,865514276.5304667,1209638158.1405058,1054717760.4577051,2109145345.186336,4678368967.544767,2746216217.9750953,3541292777.835726,4036558330.230993
IN,1637349879.0084677,1528443557.1676698,1489836179.8766022,2979262473.5107365,6608406165.110407,3879153677.593976,5002235007.0845785,5701819830.8812685
KS,580443340.5697862,779808992.5008279,624202244.8930144,1248232708.1504524,2768748507.1614594,1625263507.6469827,2095805087.7559896,2388912754.8194976
KY,1292885595.6503103,951723128.3458154,1170917353.1111717,2341512463.258322,5193790458.853163,3048770263.0903497,3931441393.177325,4481270965.442052
LA,1465128026.9895184,948303854.6754202,882684119.2285259,1765125348.3152163,3915286135.8360705,2298284429.8979874,2963677076.7493343,3378160503.176026
MA,187295330.78314564,77625446.5911685,286444878.2844746,572810939.5713106,1270571941.677397,745829445.2898672,961759824.5959315,1096266215.5335333
MD,682836065.5905136,269846557.38012373,693618147.2769381,1387045443.2450573,3076653921.306639,1806004846.4867651,2328874135.160285,2654577545.5724907
ME,415040947.30060965,192051628.85460567,454629895.29438096,909134696.4917808,2016583407.8384416,1183740357.4828627,1526453434.8565094,1739934739.8622746
MI,856925664.573118,905336774.0886785,1455159356.704068,2909918367.5117435,6454591581.241999,3788864068.606125,4885805012.195811,5569106583.137814
MN,803265386.7425822,538421621.7453161,1247120462.4508612,2493897714.9973135,5531801506.5023575,3247183735.4712105,4187298959.005022,4772911350.320258
MO,1252324972.3780553,1613264645.280156,1238286904.06714,2476233029.2418065,5492618850.900016,3224183401.52305,4157639635.0358076,4739104037.921161
