State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,34907831.21045707,8099052.660749515,125997631.31058684,62655475.77666815,64717107.54181535,168131216.71393245,70279265.4298239,976428.7708627454
AL,175688336.20701233,193414178.64607587,1584962202.5081007,788115399.9976804,814097002.3339834,2114973890.6483376,884064329.8913616,12282795.526105449
AR,94188047.79163925,176230808.62221277,863938010.8035038,429591080.61513317,443751456.5999537,1152839037.300554,481889575.79579824,6695158.853868518
AZ,108308346.40302828,128574150.74955857,951332270.8302737,473047144.0639492,488640487.0920379,1269457960.4359577,530636574.79669285,7372427.917888809
CA,380120507.1004164,351754913.0472956,3232779667.5959845,1607580603.2819154,1660476845.7200694,4313820610.969734,1803187710.5298104,25052685.867719125
CO,58890853.23701815,82852655.2019332,929114214.0151643,461999281.350467,477228446.9066479,1239810181.2591362,518243729.59580535,7200247.253606288
CT,15468089.023090862,10273000.577616917,260702775.0951215,129634081.09560195,133906866.01500733,347881826.6859803,145415466.0492029,2020337.6331620289
DE,19283797.884190667,5509751.806240835,158420791.37344015,78774536.54442364,81370946.42571652,211396730.17297116,88364357.32277653,1227694.9720669736
FL,228226272.83320466,220012389.94445762,2146486839.06459,1067337844.2317657,1102517315.2512925,2864272392.5544357,1197272961.4046085,16634376.568133544
GA,171911133.0242373,219045117.80562574,1968359164.223332,978764085.0066972,1011024163.621477,2626578793.8272843,1097916447.8290358,15253961.479352105
HI,16765773.257123232,1216584.949155951,202276991.48339325,100587296.82642975,103897046.9119104,269918381.302769,112826552.5862561,1567561.8034523195
IA,75581685.3447852,137221695.7354172,898445318.3486856,446748135.6840915,461475757.9335114,1198885615.8969538,501137159.81119084,6962576.2021758
ID,65611225.8673015,57656960.71075945,438377360.3019164,217981839.43884286,225167308.45375374,584970831.7205343,244519257.9623171,3397241.519873607
IL,103790408.45799772,188440901.32213473,1147288727.105395,570490059.6732242,589291098.3884325,1530942238.1228023,639937651.1610364,8891008.326999363
IN,196347093.67495927,238105320.66501665,1620596825.5094488,805842816.9373889,832400128.0468771,2162524630.918145,903940657.2154683,12558948.353538206
KS,69605381.49175423,121480881.21811134,678987473.609469,337623650.31341517,348753844.6827147,906041023.1540452,378727394.0025904,5261869.508116259
KY,155039758.09610337,148262158.32203877,1273686884.7941434,633335133.8554747,654214134.0545453,1699608042.3482924,710440375.4960803,9870541.736233434
LA,175694659.79704103,147729494.06373963,960155912.5221175,477435198.8932221,493172634.39824957,1281232222.6926422,535558245.6116126,7440807.417233485
MA,22460009.51270757,12092714.687224606,311585698.12810457,154935541.6129757,160042271.57232654,415780007.6906805,173797074.04738098,2414659.037110695
MD,81884072.94861853,42037470.58505004,754495931.1357527,375172139.8725244,387537819.1120524,1006799495.1175941,420844685.09124124,5847028.367108947
ME,49770720.84796308,29918353.516045593,494532051.55417395,245905353.5281981,254010480.4923138,659903652.2977569,275841362.74261045,3832416.87471557
MI,102760482.58928324,141035959.0272846,1582876470.539403,787086346.0949979,813025519.9933478,2112190583.963526,882900900.7965295,12266631.361125859
MN,96325670.0101924,83876864.34179734,1356578222.8664,674552785.3482511,696790278.5046363,1810218257.0474274,756675719.4733788,10512914.985499233
