State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,214463927.76514694,39798824.78394731,144380474.26389268,174576442.98062956,289685332.06325805,323092544.6807485,270935521.49156284,177963022.7886606
AL,1079379879.4979947,950439184.5692533,1816205462.2098079,2196050947.5958557,3644042531.854095,4064279731.143402,3408180617.5162363,2238651180.043962
AR,578664957.9042076,865999934.5206972,989985083.3354928,1197032845.093912,1986310241.737872,2215375023.440692,1857745705.23865,1220253584.5312464
AZ,665416113.6307787,631814646.9432789,1090130015.1262908,1318122333.2168124,2187241493.8684273,2439477991.171276,2045671596.5336287,1343692030.2949893
CA,2335353820.3316875,1728527117.6352997,3704436795.701565,4479188770.76214,7432590928.526481,8289735277.809218,6951518342.026513,4566079819.682787
CO,361808890.91924655,407138766.1481595,1064670381.9838204,1287338013.3880355,2136159177.763748,2382504773.4334273,1997895599.491949,1312310538.4792545
CT,95031602.13285504,50481626.32345774,298738862.75971544,361217789.7566342,599390893.326512,668513717.0178254,560595146.8903693,368224905.88178575
DE,118474247.5560575,27074974.80567341,181534113.10778677,219500570.7881449,364230795.5994442,406234540.04371685,340655854.6975584,223758572.8843612
FL,1402158231.9427109,1081143057.6482482,2459655587.179795,2974073556.1235747,4935063146.435624,5504183423.259207,4615639793.358577,3031766396.697087
GA,1056173802.1664909,1076389872.8025286,2255539390.107942,2727268032.922683,4525523564.14196,5047415006.494899,4232607775.9556513,2780173193.7586284
HI,103004210.23192608,5978310.458567152,231788865.07044813,280265567.71489686,465061738.3606326,518693782.0095693,434960733.81097525,285702393.5334575
IA,464352683.7409569,674308768.431266,1029526945.5298569,1244844628.6488059,2065647322.3479974,2303861305.425234,1931947593.6728752,1268992828.0593162
ID,403096976.1528029,283326874.5149855,502335864.2084909,607395551.1740234,1007888812.1686841,1124120304.834144,942652890.088926,619178160.3133811
IL,637659169.6015491,926000450.6693321,1314676187.6312127,1589630496.9699862,2637771576.570011,2941964217.840267,2467041170.3794556,1620467119.2901342
IN,1206301493.2359524,1170051897.9457479,1857039127.0411937,2245424430.8860083,3725970753.8429527,4155656513.9651513,3484806391.5046,2288982544.0800147
KS,427635948.45850056,596958250.3926666,778050578.5738825,940773903.743061,1561084050.5542076,1741110933.9324207,1460042352.0318716,959023567.4400077
KY,952520804.8756679,728561710.6485859,1459515610.9385476,1764762141.2462633,2928378464.237149,3266084062.7620964,2738838154.41829,1798995990.654454
LA,1079418729.8621714,725944193.2212131,1100241011.724009,1330347952.4313927,2207528200.934344,2462104225.778994,2064645264.5236776,1356154815.8696115
MA,137988001.2796347,59423719.43468471,357045516.97625476,431718830.59758776,716377606.1863035,798991545.6374099,670009861.4114512,440093567.5712293
MD,503072786.16346276,206572545.73523265,864575593.3594309,1045394901.173282,1734688047.5197,1934735364.5474505,1622409874.7304404,1065674090.719745
ME,305777354.5541637,147019084.73565778,566683429.5324206,685200894.2407122,1136995983.4585419,1268116382.1455538,1063403594.3110127,698492826.0645503
MI,631331593.8269398,693052095.927894,1813815436.8780124,2193160841.782157,3639246568.511551,4058931137.009616,3403695450.140074,2235705113.9852147
MN,591797909.4847574,412171739.9794218,1554500653.113687,1879612570.2797492,3118956842.8827286,3478640281.846816,2917081295.6238484,1916074356.8489556
MO,922638162.7799346,1234984014.455008,1543489870.5227036,1866298966.7600749,3096864761.004953,3454000503.2922535,2896419131.2934575,1902502488.5263774
