State,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
ALABAMA,1025427998,480911126.8,535201681.6,1259019573,507787112.5,2458244.48,1547567.362,97142592.78,109330058.2
ALASKA,60920828.26,28580392.59,31796369.43,74798527.18,30167702.68,146044.645,63914801.74,14424701.92,3421391.038
ARIZONA,906244600.3,425022820,472996254.5,1112686296,448768052.1,2172527.738,3735078.814,88177063.28,107011852
ARKANSAS,489040088,229358017.7,255244692.5,600442973.5,242170344.5,1172369.085,4196084.246,45565713.78,87158295.19
CALIFORNIA,4457762441,2091314322,2326637137,5473235913,2207462633,10686531.22,18071617.94,447963548.6,423785466.7
COLORADO,787559894.4,369360465.3,411051144.6,966965321.8,389995945.5,1888006.522,3563738.365,42662159.68,61360082.08
CONNECTICUT,564372426.1,264691535.3,294562886.8,692935946.1,279474561.6,1352962.258,1027895.486,28617869.67,19430432.24
DELAWARE,108346312.3,50814677.07,56549187.75,133027502.5,53652582.4,259737.1246,517648.2899,11271326.56,3292297.014
DISTRICT OF COLUMBIA,260062790.2,121970064.6,135734564.9,319304854.5,128781866.1,623444.9512,43517.4825,25927205.51,25965272.9
FLORIDA,3258615494,1528298385,1700769095,4000925106,1613651011,7811834.119,14999035.17,296108607.5,291821337.4
GEORGIA,1794738860,841736776.3,936728003.5,2203578721,888746211.8,4302502.792,15323498.51,133961940.1,174500033.3
HAWAII,147599961.9,69245034.53,77036754.92,181223073.9,73090794.92,353839.3132,716280.5932,10455478.41,775616.9139
IDAHO,228023114,106941356.6,119012106.5,279966571.9,112915970.7,546636.6806,2701999.293,29166842.04,26202788.64
ILLINOIS,1553796994,728750070.9,810973153.4,1907750501,769432929.7,3724896.133,9303100.447,120132158.8,222977860.5
INDIANA,1243412516,583175899.2,648974205.1,1526660728,615732002.7,2980815.699,6327534.158,128749407.2,159615246
IOWA,477873042.4,224116208.3,249416296.2,586732090.3,236640478.3,1145598.491,1601047.413,34357215.06,63768863.09
KANSAS,448912334.2,210534014.8,234300832.6,551174158.9,222299272.1,1076171.382,2311481.441,39329922.78,70173432.42
KENTUCKY,717622139.5,336554562.8,374548555.7,881095816.4,355363101.7,1720345.715,1162043.948,74654627.56,72984137.46
LOUISIANA,704187135.1,330261198.1,367536390.5,864600321.5,348710147.3,1688138.146,3638176.854,110124865.5,94662626.61
MAINE,245500979.8,115140336.8,128134320.5,301425877.3,121570926.4,588536.1237,6858145.221,21116076.27,12976617.13
MARYLAND,974735554.7,457153283.9,508743701.1,1196779417,482684445.7,2336720.143,2798267.963,90408621.68,47449484.53
MASSACHUSETTS,1014271316,475694806,529378603.5,1245321389,502262368.3,2431498.681,1685717.748,62483747.66,34392635.02
