State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,27600500.91233685,6546555.138191015,116567079.52998619,54686270.53901767,60839782.22804567,143120934.4235998,57723460.06420974,279444.62072437664
AL,138911124.39881328,156338850.7338443,1466332657.7808235,687689132.5408633,765323070.4596739,1800361916.28906,726121022.0193988,3515219.1738419076
AR,74471464.10589993,142449339.94373327,799274900.7177316,374857013.3915648,417165547.92375106,981348993.2639376,395797160.28169376,1916090.7405008595
AZ,85635930.67950247,103927928.67087907,880127970.7949762,412774290.71470034,459365201.74414784,1080620321.794267,435835220.33922124,2109918.700482293
CA,300549075.6435227,284327442.9556064,2990815626.4197974,1403111008.1696832,1560994511.7378378,3672120197.811017,1481037588.5470042,7169840.247789884
CO,46563106.103529565,66970730.81813866,859572867.3266332,403134080.9540119,448636876.3586035,1055382784.4570413,425656430.04225016,2060642.2331533055
CT,12230121.161638798,8303781.631395576,241189970.8894629,113118467.0536226,125884275.71119294,296132824.5723711,119436135.19397357,578201.4013529192
DE,15247079.599046633,4453594.205172775,146563480.25502777,68738619.3878678,76495873.19274555,179950506.2044916,72577543.60159123,351354.6159965673
FL,180451183.391339,177838483.36198905,1985828872.1291106,931358444.6357265,1036463608.2641749,2438198862.0447574,983373083.8095671,4760600.250401637
GA,135924611.1644696,177056626.43924215,1821033508.287446,854069028.661935,950451968.5757008,2235863265.9476957,901767197.515473,4365538.590567602
HI,13256158.404382385,983379.2646565522,187137154.1518006,87793509.80663994,97672376.72316346,229766795.8704339,92669423.37208103,448621.26833963266
IA,59760010.94819619,110917836.30961685,831199449.43185,389821673.19792616,433827962.0135579,1020545934.1088929,411606049.8659832,1992623.040349849
ID,51876688.88657606,46604768.26169558,405566160.630978,190207890.04254165,211677150.80179802,497953763.0352228,200834450.04148173,972258.1885736265
IL,82063742.26075184,152318894.87203354,1061417669.1933956,497818057.8009235,553985647.9063638,1303207625.2769775,525609014.6141816,2544521.9599585705
IN,155245340.37757647,192463202.2686381,1499300101.7052922,703190352.2567624,782529594.4813836,1840839267.9252405,742446326.2111715,3594251.4846736826
KS,55034739.448127426,98194359.32113092,628167349.4304752,294602273.1014469,327859409.9083619,771263304.9016396,311065510.84772074,1505896.9715707034
KY,122584956.91070315,119841966.09392217,1178355339.9603713,552631871.9441395,615019055.9322742,1446783624.8912103,583516011.3319486,2824855.098635362
LA,138916124.25833783,119411407.5973712,888291187.6292064,416605327.30068165,463625818.43921095,1090643109.0509164,439877605.6287757,2129488.262369345
MA,17758408.115050077,9774676.9636391,288264462.9834507,135196476.19870523,150453864.23873487,353930842.6976404,142747201.49242222,691052.4340734916
MD,64743106.39634285,33979359.14021397,698024221.1064546,327375013.0295741,364319762.401334,857033496.4244512,345658299.42198426,1673363.867563782
ME,39352110.35855918,24183340.835143786,457517842.20454794,214576571.19407475,238792276.38890004,561739986.1389024,226560676.02512723,1096801.2331983363
MI,81249412.95717199,114000948.12500235,1464403000.1234894,686823178.5827687,764315752.7572862,1797992639.1179116,725165446.3957443,3510593.1436727517
MN,76161613.33452716,67798610.55766097,1255042515.0305846,588598528.882771,655044390.2582617,1540940067.6621578,621491138.3527842,3008696.208566972
MO,118739201.12780294,203143961.89596173,1246152843.4516368,584429389.1516819,650404603.6141523,1530025336.9177365,617089014.8844416,2987385.12081124
MS,94818041.70075995,143674458.53934813,1075125086.5754914,504218353.34348345,561140085.1096416,1320037612.7794158,532396876.3298047,2577382.627710332
MT,22444391.458161253,49841069.60422507,401315892.44939786,188214541.92475113,209458808.28174984,492735287.62880856,198729737.2827831,962069.0790168884
NC,156763986.12015164,132356384.35040288,2209423518.35718,1036224863.3199195,1153164355.7810683,2712728162.9547977,1094096097.1923182,5296620.621422102
ND,55975764.38437018,72210241.13292314,275974223.11140037,129428302.05953404,144039237.34854454,338840902.1537644,136661134.60176256,661589.220120763
NE,30843990.424883276,79429568.81599483,464070879.48754174,217643174.38843426,242212532.76278362,569785807.1526309,229805712.32844758,1112510.754734459
NH,28637560.4975913,8877021.367691763,321445309.8736229,150758344.38881087,167771942.85887617,394670256.01177573,159178200.26243895,770596.4221556785
NJ,66296085.42354437,32646490.16489671,1017680815.0816984,477294354.4428404,531158121.2204195,1249507568.8074434,503950736.05731785,2439672.225896663
