State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,198905938.87355044,37197222.96702413,148422028.67851698,164172382.0793032,257573175.57329497,323582494.8090227,253291870.6561908,145494160.01766494
AL,1001077759.6495128,888310106.0632051,1867045305.769142,2065175073.4580536,3240094004.5585833,4070442963.3454456,3186235748.6105523,1830215445.372873
AR,536686509.2166098,809390549.3105814,1017697087.1231846,1125694463.0472105,1766124242.9702866,2218734504.477256,1736767044.3982575,997621682.908563
AZ,617144422.3863012,590513675.3098329,1120645309.4101288,1239567500.9660873,1944781914.7693439,2443177310.683206,1912454972.9828446,1098539124.6268337
CA,2165938808.8037086,1615535356.8420322,3808132831.898258,4212246954.536013,6608674434.989268,8302306155.502283,6498827008.94778,3733011147.643245
CO,335561965.5530063,380524589.48588425,1094473001.4610565,1210617803.7813256,1899362163.5423276,2386117696.537276,1867790207.0026164,1072883099.4577537
CT,88137666.04886867,47181702.48205536,307101264.4860478,339690650.4507454,532947352.1562241,669527477.2756783,524088508.789593,301043287.1916124
DE,109879697.19682004,25305115.920895495,186615678.9300154,206419212.38699704,323855167.1992777,406850569.93447334,318471930.9277252,182934438.28060213
FL,1300440603.1360886,1010470022.4920437,2528507119.0064626,2796830636.1651645,4388002661.327801,5512530181.544625,4315063713.679036,2478628977.779602
GA,979555135.088381,1006027547.6835656,2318677230.590065,2564733737.6060276,4023861266.6383324,5055069103.349188,3956975207.3248634,2272938260.943692
HI,95531912.32488185,5587515.417870071,238277189.17148983,263562855.7953159,413508781.8703476,519480349.4782856,406635561.5625774,233576779.6636653
IA,430666860.8116289,630230006.6426622,1058345815.7589092,1170656855.686345,1836666680.1292973,2307354970.5088215,1806136815.5683773,1037468585.8544298
ID,373854863.7725377,264806133.87696892,516397422.47488934,571197199.6023077,896162558.8664527,1125824964.6804223,881266186.8610849,506210812.3610649
IL,591401067.4551152,865468903.1170866,1351477063.2799373,1494894859.7332935,2345369911.9011273,2946425527.0522566,2306384447.455002,1324817361.8479707
IN,1118792020.5369666,1093566997.6976929,1909022015.7799008,2111606090.8803954,3312940277.433036,4161958313.4823527,3257871558.9581237,1871363990.8303466
KS,396613690.2862524,557935799.9238467,799830036.3655576,884707532.7489117,1388035135.2887726,1743751222.4177628,1364962617.4799447,784052362.0883296
KY,883421501.06408,680936498.5863314,1500370870.3662114,1659589359.10578,2603762558.2338204,3271036879.9404883,2560481681.169156,1470774132.9290066
LA,1001113791.6677758,678490085.158432,1131039337.474072,1251064521.8433607,1962819800.6468506,2465837856.5950117,1930193052.6261182,1108728109.3397605
MA,127977852.65719089,55539261.6073781,367040058.7642212,405990110.499081,636965880.8830584,800203167.5603541,626378003.9646316,359799709.7351702
MD,466578066.97988683,193069144.23459363,888777093.0706159,983093535.2867254,1542394806.9616184,1937669272.666479,1516756569.5306835,871244791.4867501
ME,283595159.4641575,137408622.11403435,582546228.3850015,644365654.3352325,1010957966.7344105,1270039403.2561553,994153458.2941041,571054736.0577996
MI,585532516.9097736,647748105.1247371,1864588392.964298,2062457203.229156,3235829622.0915685,4065086258.395038,3182042660.791498,1827806880.9427042
MN,548866748.99647,385228563.80685925,1598014766.840941,1767595160.7073915,2773214985.979537,3483915427.5608582,2727117412.132168,1566491874.0573883
MO,855706653.8913517,1154254579.0176806,1586695766.659358,1755074994.8364813,2753571850.270644,3459238284.2856812,2707800793.084807,1555396155.685551
MS,683316279.8944395,816351616.406202,1368930327.8857005,1514200422.3007736,2375658980.7089114,2984476489.796288,2336169740.813944,1341926423.5281265
MT,161747888.91007453,283194648.1543904,510985660.4817781,565211144.7522186,886770919.2790987,1114026499.9910486,872030658.8582293,500905804.4047734
NC,1129736302.2441232,752042843.2764233,2813204689.222192,3111740125.8145385,4882070360.955657,6133214195.692592,4800918843.520713,2757710512.546026
ND,403395286.3537044,410295244.3269458,351391190.7507988,388680618.711794,609808705.3711845,766086281.5340556,599672202.4420079,344459548.40244925
NE,222280490.254652,451315129.72172946,590890037.1107209,653594942.7875853,1025438024.7191799,1288230221.020824,1008392752.2432352,579233972.5528613
NH,206379618.83059266,50438824.10319248,409288415.93724734,452721835.79040676,710284205.1367759,892311013.6300765,698477604.5529817,401214662.3668316
NJ,477769775.1462546,185495844.47401065,1295787980.8262856,1433296153.6377234,2248726562.859376,2825014928.988608,2211347422.911452,1270226853.1959543
NM,716925678.7392658,642121198.4208434,711122914.3708411,786586841.0321275,1234091617.9575455,1550356169.7074928,1213578054.1538355,697095090.92241
NV,173275242.51590392,219423760.9345515,504073622.3713548,557565605.4052244,874775681.7151071,1098957205.0587814,860234810.9242532,494130115.22689396
NY,654081021.2529516,431182993.18651766,1196906274.154092,1323921184.9426026,2077126020.4366565,2609437765.3737006,2042599286.2886646,1173295718.6558938
OH,871265279.6463933,1386355501.418282,2178124302.159492,2409265322.8284554,3779943693.8038263,4748642222.162732,3717112300.028633,2135157872.942885
OK,1287948868.9999764,887995292.6383592,1199144766.8293514,1326397256.601803,2081010813.8512528,2614318055.629426,2046419449.2086248,1175490070.1513863
OR,979375105.620839,514388668.21968323,829084976.5604352,917066400.1831644,1438802933.3255706,1807530779.0408702,1414887577.7786286,812729911.603654
PA,1124363788.0175464,762369344.0093483,1871170784.9370549,2069738204.5011458,3247253030.585471,4079436976.0736117,3193276025.34112,1834259472.3151987
RI,15789547.839882761,3666864.432388361,22221256.95140709,24579362.251370843,38563045.55976041,48445720.77379423,37922036.689049184,21782913.36369595
SC,539975443.4800048,444899067.1093897,1472866946.686709,1629166621.0957992,2556031594.0034003,3211074011.2134957,2513544323.823124,1443812701.585718
SD,168153452.62062997,249613297.70252675,357602954.46661615,395551571.1656578,620588678.4875299,779628871.9349445,610272986.202564,350548777.1044022
TN,424118778.5125085,826250495.9131953,1763159128.3850565,1950264555.032219,3059808620.235777,3843955283.365069,3008947146.59063,1728378555.9189382
TX,3139230296.4933944,3512142317.1607165,4185126632.438186,4629249643.039247,7262921058.704962,9124212874.82112,7142193982.68976,4102569543.596484
UT,929576832.9483554,305418116.5593377,431198957.82203627,476957526.2381513,748308075.5329185,940079346.5111356,735869399.8066531,422692998.1219097
VA,319408176.78343874,588473481.1497808,1704067211.746463,1884901706.652017,2957259405.764724,3715125761.569575,2908102783.5771666,1670452236.1710925
VT,226435693.99629152,43343603.751963586,304008018.125908,336269150.8035889,527579293.968765,662783729.621097,518809680.4040515,298011059.1937616
WA,526711506.0582026,322259134.59524655,992086868.9661095,1097365842.2399561,1721678160.3063693,2162899584.283823,1693060936.649504,972516323.5534734
WI,1081135040.323641,653702238.8806549,1769273292.2341402,1957027330.9746685,3070418624.3941317,3857284843.5317183,3019381175.8839254,1734371998.676082
WV,430072161.55615765,257910825.4124693,617459240.0389017,682983609.6339052,1071546434.7265762,1346155077.4377522,1053734807.1278616,605279041.3180883
WY,137761675.57688126,303427381.27946585,385487361.23986864,426395043.11817753,668979597.9301115,840421109.7194778,657859551.8445289,377883122.1754328
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
