State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,1648792.5000600724,386425.7393724747,17877653.695434704,13718956.920860974,9017749.470374694,1233708.2345268228,10.393560595856941,0.0
AL,8298241.427252635,9228266.578713171,224888521.29928455,129640980.30416301,113437064.43323293,15519192.424221992,130.7437709709218,0.0
AR,4448759.5307162795,8408405.69565426,122583197.2974779,72273655.13035165,61832759.94137231,8459267.952729987,71.26637530875473,0.0
AZ,5115699.917493818,6134589.235155051,134983472.40864128,79106542.81721713,68087640.43995516,9314990.813634476,78.47554126806433,0.0
CA,17954132.912114535,16783092.79441429,458695252.9961363,351993640.9364709,231372580.8340038,31653824.400022212,266.6724050183784,0.0
CO,2781576.3332282836,3953104.132850251,131830977.16483073,77259035.15175566,66497475.66778636,9097442.222594943,76.64277043924696,0.0
CT,730600.220270731,490150.1459569629,36990824.252651215,22046844.3974723,18658713.41660659,2552676.9068409516,21.505410574706872,0.0
DE,910826.6031320668,262883.82168491953,22478148.274754487,13420315.328012466,11338307.135174764,1551180.6306034294,13.068154550723142,0.0
FL,10779752.10477504,10497332.714901462,304562608.3546506,181835540.5116669,153625839.33541074,21017372.65504144,177.06401736036267,0.0
GA,8119833.773067103,10451181.78008483,279288272.5038684,166745794.11985514,140877094.24257872,19273231.64556466,162.37023907276884,0.0
HI,791893.401723883,58046.26271480589,28700841.172008988,22024456.3598305,14477123.211324126,1980599.0593047435,16.685854696330605,0.0
IA,3569930.059162564,6547184.893547521,127479404.83923636,73671921.69899242,64302479.13834422,8797147.165742656,74.11288956248707,0.0
ID,3098997.943399814,2750955.5260211676,62200873.58882824,36452581.8014736,31375031.627176613,4292381.546726915,36.161813999365286,0.0
IL,4902305.331201919,8990979.275184197,162787503.91324848,99214407.96194333,82112400.10081391,11233702.358620433,94.64001529091192,0.0
IN,9274011.138305556,11360590.977807991,229944656.3377435,140144804.6940968,115987450.9305766,15868108.829963116,133.68326971500687,0.0
