Area Name,UA,State,UA Number,Census Division,Census Division 2,Census Division 3,Total Number of Census Divisions,Weight Factor - 1st,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
"Terre Haute, IN",Terre Haute,IN,186,3,0,0,1,1,2391499.5,1066743.768,971114.123,0.029207287,409.0993341,0.029207287,197.6992149,37.25369132,71.1476394
"Evansville, IN--KY",Evansville,IN--KY,187,3,6,0,2,0.5,5795316.722,2585038.383,2353299.224,0.070777969,991.3697293,0.070777969,479.0841755,90.27680762,172.4119551
"Elkhart, IN--MI",Elkhart,IN--MI,188,3,0,0,1,1,3341989.586,1490715.999,1357078.806,0.040815584,571.6939161,0.040815584,276.2738263,52.05999352,99.42492986
"Michigan City--La Porte, IN--MI",Michigan City--La Porte,IN--MI,189,3,0,0,1,1,2099588.414,936534.947,852578.0423,0.025642188,359.1638728,0.025642188,173.5676638,32.70643322,62.46322001
"South Bend, IN--MI",South Bend,IN--MI,190,3,0,0,1,1,6942311.145,3096662.639,2819058.252,0.084786166,1187.579118,0.084786166,573.9033034,108.144165,206.5352931
"Lawrence, KS",Lawrence,KS,191,4,0,0,1,1,1437797.959,641339.0485,583845.3677,0.018446625,245.9553882,0.018446625,182.6710498,27.2931093,50.10754249
"Manhattan, KS",Manhattan,KS,192,4,0,0,1,1,0,0,0,0,0,0,0,0,0
"Topeka, KS",Topeka,KS,193,4,0,0,1,1,3231613.388,1441481.984,1312258.439,0.041460875,552.8125284,0.041460875,410.5738267,61.34434733,112.622364
"Wichita, KS",Wichita,KS,194,4,0,0,1,1,10353078.94,4618057.602,4204065.766,0.13282768,1771.038506,0.13282768,1315.350176,196.5281097,360.8068432
"Bowling Green, KY",Bowling Green,KY,195,6,0,0,1,1,1917901.518,846442.6547,778800.6024,0.015130549,328.083796,0.015130549,77.43599914,43.22955877,43.48635553
"Elizabethtown--Radcliff, KY",Elizabethtown--Radcliff,KY,196,6,0,0,1,1,0,0,0,0,0,0,0,0,0
"Owensboro, KY",Owensboro,KY,197,6,0,0,1,1,1295817.17,571893.2465,526191.352,0.010222853,221.6675945,0.010222853,52.31910832,29.20775857,29.38126157
"Louisville/Jefferson County, KY--IN",Louisville/Jefferson County,KY--IN,198,6,3,0,2,0.5,0,0,0,0,0,0,0,0,0
"Alexandria, LA",Alexandria,LA,199,7,0,0,1,1,1858819.415,900031.2068,754809.1841,0.015431212,317.9769787,0.015431212,212.4405769,62.9836905,55.70853361
