Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Columbus, IN",IN,Columbus,647108.5842739969,724774.0518130817,10667224.82260644,6483356.916027054,7067326.574162521,3323720.163624079,1338732.5590063643,0.0
"Terre Haute, IN",IN,Terre Haute,849282.6616050708,951212.9042094059,13999951.954658253,8508931.50174574,9275348.94328581,4362139.48569393,1756988.5155609113,0.0
"Chicago, IL-IN",IN,Chicago,3940614.7594226627,4413564.269164281,64958840.911070675,39480873.18693885,43036998.8663492,20240035.523036808,8152309.224670157,0.0
"Cincinnati, OH-KY-IN",IN,Cincinnati,91334.87170912392,102296.81177034232,1505604.52193385,915080.6936584588,997503.9454959591,469119.9624282781,188952.78087966298,0.0
"Bloomington, IN",IN,Bloomington,591748.4154534071,662769.5987116436,9754643.253797218,5928705.436943254,6462716.464261374,3039375.752435249,1224203.9276865365,0.0
"Lawrence, KS",KS,Lawrence,422424.41808387847,680918.2627802856,8229849.551633783,4963434.267607219,5452499.923372477,2564275.975357182,1032842.5888734743,0.0
"St. Joseph, MO-KS",KS,St. Joseph,12400.852296382443,19989.296170305613,241598.60164853183,145708.4690193702,160065.66690080077,75277.86334371478,30320.5208830754,0.0
"Wichita, KS",KS,Wichita,3041730.110830703,4903053.645213443,59260260.81153381,35739949.72495175,39261540.02047052,18464452.13111459,7437137.314588115,0.0
"Manhattan, KS",KS,Manhattan,429986.00698675046,693107.0088829787,8377167.595709501,5052281.9948487375,5550102.147932558,2610177.679730986,1051330.9402189415,0.0
"Topeka, KS",KS,Topeka,949446.6144101948,1530440.7406639133,18497516.856027037,11155879.39400672,12255109.720693054,5763500.022701914,2321430.431679882,0.0
"Kansas City, MO-KS",KS,Kansas City,5276594.452034277,8505496.779691,102800824.54088822,61999327.21288062,68108351.72807579,32030923.890313048,12901459.387682317,0.0
"Elizabethtown-Radcliff, KY",KY,Elizabethtown-Radcliff,734015.7356417057,648296.1742505849,12043394.420189828,7260808.004168739,7979077.522546501,3752509.2454182357,1511440.8125551145,0.0
"Evansville, IN-KY",KY,Evansville,255070.66807989913,225283.09714664897,4185082.8416123227,2523132.759278097,2772731.6125695384,1303997.9849587893,525226.0940763322,0.0
"Owensboro, KY",KY,Owensboro,452058.07379910216,399265.99056740286,7417162.084180979,4471711.873751726,4914072.32895722,2311056.860264817,930850.6469383559,0.0
"Lexington-Fayette, KY",KY,Lexington-Fayette,1868335.174522904,1650147.928779876,30654788.88708316,18481378.9826812,20309634.346715868,9551491.44017743,3847162.802085508,0.0
"Louisville/Jefferson County, KY-IN",KY,Louisville/Jefferson County,8316247.319383451,7345062.318813377,136449181.80891728,82263461.35268782,90401307.26900433,42515157.96986123,17124313.547351196,0.0
"Huntington, WV-KY-OH",KY,Huntington,433580.79590282677,382946.51948651666,7113995.360756779,4288936.54519935,4713216.099885883,2216595.4573695245,892803.3537247601,0.0
"Clarksville, TN-KY",KY,Clarksville,139867.35792023363,123533.41848039893,2294879.627438229,1383553.4888381269,1520420.3909111568,715044.0082446603,288006.40482193424,0.0
"Cincinnati, OH-KY-IN",KY,Cincinnati,2914209.677751324,2573883.4922912624,47815019.30828544,28827061.773470465,31678755.38172848,14898316.518090457,6000764.32890872,0.0
"Bowling Green, KY",KY,Bowling Green,669078.081313237,590942.0456920891,10977927.093231259,6618451.420480672,7273176.336972873,3420528.4221047973,1377725.1219264418,0.0
"New Orleans, LA",LA,New Orleans,7172461.015074398,5570032.098653266,78284408.59339507,47349031.1310699,51865554.4321395,24392043.887425322,9824660.839438153,0.0
"Baton Rouge, LA",LA,Baton Rouge,7377712.459997161,5729427.47690795,80524642.1680284,48703999.3957868,53349770.2356891,25090061.240463745,10105809.224759819,0.0
"Lafayette, LA",LA,Lafayette,2856211.585318301,2218093.6469827914,31174353.44776527,18855292.62353975,20653858.854957774,9713379.855872802,3912368.4398492617,0.0
"Monroe, LA",LA,Monroe,1507176.6796644614,1170452.1595068749,16450202.345514644,9949633.10019677,10898707.424647823,5125593.522113858,2064493.5778239656,0.0
"Mandeville-Covington, LA",LA,Mandeville-Covington,1008402.1968361714,783110.928442137,11006287.721562639,6656971.283675899,7291965.6056092195,3429365.539904418,1381284.548335321,0.0
"Alexandria, LA",LA,Alexandria,974819.2671886659,757030.8987688798,10639744.106928395,6435273.434358864,7049120.470311494,3315157.000867587,1335283.4765849113,0.0
"Lake Charles, LA",LA,Lake Charles,1865880.7653825385,1449016.6950503334,20365307.23788789,12317619.609403472,13492571.126902994,6345471.299496709,2555837.619498663,0.0
"Slidell, LA",LA,Slidell,1297190.0646875976,1007379.5149500828,14158286.372539192,8563405.590733703,9380250.623528454,4411472.843378538,1776859.072926211,0.0
