State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,69615630.05214551,14538721.367387962,143104943.43378815,87634075.95150098,89114825.07145146,236822228.6103626,116183181.52382818,5296218.693569322
AL,350369925.4223638,347200465.242716,1800159985.6294386,1102375151.4211934,1121002784.9398944,2979059094.5896783,1461503700.8471882,66622751.413982674
AR,187836369.74938554,316354360.22349626,981238953.0929514,600887398.3864052,611040997.3101164,1623838305.453231,796642704.1703935,36315015.01839604
AZ,215996053.41549084,230805235.01910055,1080499141.5378306,661671975.3091742,672852701.6165556,1788102585.548565,877229508.8136208,39988570.30934791
CA,758062809.4021884,631440105.9754472,3671709909.5683713,2248468133.7082443,2286460400.6897297,6076257763.91893,2980965777.213672,135887539.54832533
CO,117444244.17794608,148729946.45002055,1055264434.3262136,646218840.8038613,657138444.8725166,1746342029.2685912,856742097.9853289,39054650.2118906
CT,30847541.245202564,18441205.318841055,296099623.0337167,181324368.00245336,184388323.22719848,490011022.93213004,240395675.52447766,10958454.174409436
DE,38457093.80833759,9890631.6170297,179930331.1027969,110185056.17579594,112046923.9391397,297764125.77616155,146080812.08987504,6659104.335195963
FL,455144740.5010051,394947281.9552643,2437925504.0474334,1492927606.865814,1518154564.8644974,4034487970.821103,1979289068.5139792,90226034.67345428
GA,342837163.5667638,393210918.37029004,2235612592.7502847,1369035990.8178809,1392169472.4952364,3699683233.918749,1815036414.7372825,82738565.62680833
HI,33435473.592424396,2183908.4565106723,229741123.8853631,140688019.6914254,143065218.96104455,380195146.6977414,186520843.0917086,8502566.059615238
IA,150730264.90697685,246328562.5399416,1020431471.832481,624887959.1313137,635447141.1482756,1688697488.5140164,828462125.3592567,37765505.623909816
ID,130846479.6826892,103500807.0421151,497897922.73360956,304900845.7041403,310052964.93227327,823964155.7809203,404230538.8390114,18426878.212761756
IL,206986066.66828862,338272866.3834148,1303061553.073228,797963917.0493239,811447586.5392191,2156417825.2683406,1057922160.0290587,48225457.82272295
IN,391569059.46638197,427426151.9520568,1840632934.380684,1127159851.1247482,1146206139.5221546,3046036973.5514913,1494362538.1073701,68120623.87593305
KS,138811903.21892136,218072008.84793636,771176801.6383941,472250328.4221921,480230282.432367,1276209489.8821554,626098655.0775269,28540752.26335695
KY,309191091.7616448,266147449.51815102,1446621351.9787142,885876502.459342,900845801.0773007,2393993050.3082094,1174474755.8657646,53538516.29433822
LA,350382536.36634904,265191256.5461867,1090520813.5627377,667809010.7230644,679093429.1860425,1804687292.9120727,885365839.9234177,40359465.548706956
MA,44791316.417730674,21707799.267057482,353891161.0157066,216714531.60046935,220376497.3290165,585649410.9626054,287315140.2317903,13097281.350735044
MD,163298925.53869933,75462044.4422754,856937410.348836,524768092.8485762,533635436.8352897,1418133436.8335552,695725462.4426489,31714695.289397076
ME,99256240.50062631,53706849.894780695,561677005.5088747,343957641.6948362,349769716.6242669,929511227.3598504,456011128.2225321,20787300.1073954
MI,204932116.7157609,253175599.29166728,1797791108.1093218,1100924535.2070804,1119527509.9141824,2975138651.3496537,1459580361.2549446,66535075.84021269
MN,192099364.96844846,150568518.43246746,1540767239.0788813,943529205.1463208,959472697.8474913,2549793728.2792096,1250909381.772533,57022794.21868118
MO,299491097.08750397,451146197.8289812,1529853732.5076087,936846033.3346535,952676595.6671414,2531733121.911693,1242048985.8530273,56618892.43284748
MS,239155721.63976848,319075128.2499869,1319889555.8451622,808268965.3138282,821926873.0152086,2184266407.7546415,1071584462.4791831,48848254.86343493
MT,56610583.172369055,110688050.17789088,492680032.52458173,301705533.84425294,306803659.6909141,815329143.8543094,399994267.7591528,18233767.49062532
NC,395399478.36099476,293939721.3718637,2712424026.1801248,1661023974.4764736,1689091364.91538,4488751640.3688,2202147364.749232,100385046.1504819
ND,141185412.45483682,160365956.37588465,338802898.4738654,207474835.51728728,210980687.27863616,560680084.4025815,275065378.8083219,12538875.09440928
NE,77796552.80788136,176398784.5471072,569721901.1799798,348884139.62913734,354779486.27383256,942824648.4267621,462542591.1920199,21085037.317047052
NH,72231363.60924324,19714267.65877402,394626006.74700844,241659582.46622023,245743060.8671878,653060923.4166578,320386714.78035563,14604851.457290957
NJ,167215941.89212623,72501982.20460694,1249367479.3794255,765082935.2094755,778011035.0006496,2067560334.917018,1014329352.0742583,46238276.53394025
NM,250918766.47144574,250976294.55322692,685647539.0148351,419874245.2123791,426969149.02335644,1134668312.2232842,556659631.4118345,25375369.370773498
NV,60645072.985234,85762878.708443,486015612.3178706,297624401.4185586,302653565.56459075,804300290.1100651,394583596.1170262,17987121.63431506
NY,228923594.02411944,168530037.896984,1154028125.6813014,706699382.1138188,718640937.3542677,1909784604.9446182,936925780.6992204,42709829.1606737
OH,304936502.7944266,541864008.7496405,2100094861.447598,1286048166.998377,1307779285.4880612,3475416785.415318,1705013003.2987914,77723140.49600919
OK,450772724.5257447,347077418.8349076,1156186423.7389715,708021068.6910846,719984977.3706999,1913356371.7526743,938678062.2897455,42789707.04312118
OR,342774154.5642078,201051393.76715332,799383755.4226741,489523667.430252,497795127.2690414,1322888210.0897477,648998879.6679373,29584660.64985429
PA,393519137.50759685,297975886.033651,1804137684.2949996,1104811016.6178346,1123479720.905839,2985641595.7218566,1464733025.7649055,66769960.42282973
RI,5526226.754902075,1433212.3750673858,21425199.331753056,13120282.587169442,13341984.495335184,35456255.34241779,17394568.807056118,792932.6712714812
SC,188987472.78956103,173891034.25942528,1420102742.2089775,869637150.4829946,884331968.7504289,2350107671.9777837,1152944923.5239089,52557077.33714313
SD,58852483.82186624,97562610.73868658,344792131.0071482,211142499.04766142,214710325.96188104,570591579.8986175,279927883.004595,12760532.698238784
TN,148438483.78938854,322944155.00849265,1699995442.7503943,1041036768.1637121,1058627922.4743348,2813298220.666632,1380182678.6713707,62915726.763952784
TX,1098707741.9950864,1372738459.4564862,4035198024.3783493,2471059302.3236613,2512814455.0192842,6677791481.290745,3276073637.181909,149340052.58922923
UT,325345121.79004115,119374204.39007264,415751620.8263588,254596404.2124471,258898494.7052668,688021414.8875297,337538065.6081756,15386697.019470165
VA,111790535.75027753,230007814.8876389,1643020454.5993543,1006146656.7556238,1023148163.9511245,2719010998.855008,1333926085.8194377,60807116.64887346
VT,79250843.85674317,16941065.15873283,293117189.5920288,179497996.68396676,182531090.53025937,485075436.56894815,237974314.44817632,10848076.255437076
WA,184345191.2879615,125956600.84973022,956546252.1221328,585766255.8553002,595663922.4699906,1582974073.1581702,776595023.06196,35401140.03187379
WI,378389390.63267076,255502802.36642888,1705890589.3633063,1044646842.3041764,1062298859.4622674,2823053804.468914,1384968693.7782404,63133897.60713552
WV,150522124.49852225,100805741.10677837,595339288.4225205,364571623.56366116,370732024.77324164,985218454.6698611,483340669.6288697,22033119.21980486
WY,48215583.18789412,118596115.51026712,371677603.4270858,227606524.2289406,231452548.16246012,615083953.4518942,301755502.5794076,13755546.307885319
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
