State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,302611040.5310339,53579271.94235926,111742797.7460625,240424076.2320192,554335894.5029302,297503729.58837074,410342892.6920089,496344643.9315574
AL,1523017282.5186496,1279531237.6975048,1405647011.573134,3024367501.500297,6973158575.777862,3742390216.0922556,5161828488.59854,6243670766.176051
AR,816502835.0222011,1165854676.5045402,766196090.9636135,1648535218.6822364,3800959245.956583,2039918106.3177328,2813631606.4319487,3403326834.0222874
AZ,938909702.1128527,850582120.691006,843702979.0937493,1815297786.088718,4185456765.799629,2246272198.3861523,3098253030.087196,3747600663.7763953
CA,3295210793.4560766,2327034152.347114,2867036791.0591707,6168672038.9807205,14222853161.02709,7633191180.209494,10528357925.771467,12734944747.22943
CO,510516458.8533919,548111628.6259668,823998569.4995888,1772902094.7153313,4087706779.731604,2193811239.3120008,3025894334.8544717,3660076665.0420117
CT,134090671.11857651,67961021.45126815,231208074.57263094,497463589.28227156,1146981160.8923411,615567667.4319687,849044204.0884596,1026991208.244816
DE,167168510.35354477,36449755.63526734,140497798.84242108,302292813.6798817,696984000.6765895,374060908.369277,515937179.66367835,624069918.8213512
FL,1978461207.8073363,1455491668.630725,1903643287.716597,4095848407.7895784,9443627768.303804,5068254045.837379,6990574635.633695,8455694835.209105
GA,1490273243.5508463,1449092681.1022325,1745668150.6708481,3755951633.160497,8659941874.76841,4647661525.883601,6410457029.977957,7753993230.171821
HI,145340111.79490322,8048316.088585094,179392237.0833619,385977564.1377519,889932579.2475183,477613418.2069194,658765763.6652583,796833244.157468
IA,655206916.4475353,907789942.8695853,796799425.4460083,1714380831.742803,3952776706.821854,2121396306.1128445,2926013391.4990573,3539262165.392563
ID,568774416.5633829,381429545.7372419,388781392.36376995,836495802.8102676,1928673655.7855973,1035090374.8789011,1427686231.742847,1726907976.1356146
IL,899744338.4912144,1246630528.2755778,1017489778.1396915,2189214751.296275,5047581688.30528,2708961693.894402,3736434427.906162,4519535365.962031
IN,1702105122.6013906,1575185427.38465,1437249983.7959418,3092364103.72511,7129935706.075923,3826529990.082146,5277881347.1534,6384046573.293752
KS,603399185.4947863,803656605.6826015,602170012.8077167,1295619317.0320263,2987255668.3140435,1603215564.703963,2211293664.58602,2674747841.6809235
KY,1344017685.839132,980828108.2052449,1129587923.584336,2430403207.9521284,5603679765.677361,3007411361.908651,4148082040.745783,5017458179.92804
LA,1523072100.8242307,977304268.5236359,851528347.7408773,1832134733.5401585,4224277028.703253,2267106443.227639,3126989423.76918,3782359777.054535
MA,194702638.72885135,79999337.68651469,276334340.1399649,594556539.3512753,1370844348.0359085,735711698.2429394,1014757249.8067901,1227435237.2184427
