State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,4758679.169857255,1028187.4655285947,38664005.76401443,25816827.707666583,23478071.655172896,9602282.40630615,2464111.2881571422,0.0
AL,23950053.52394225,24554233.99123933,486366910.43723756,302464729.4134017,295338310.380396,120790041.11725147,30996807.969167233,0.0
AR,12839832.368082684,22372778.15755896,265110939.28614247,165703913.22655734,160984254.5869352,65840753.558626354,16895873.00182255,0.0
AZ,14764729.118874054,16322690.532975543,291929045.4735419,182217908.0772977,177269109.61693043,72501074.32327506,18605026.189000234,0.0
CA,51818502.509329915,44655839.10648107,992020329.2839004,662394323.0285195,602387774.2122853,246370213.4931556,63222846.24075176,0.0
CO,8028074.700618159,10518274.807279842,285111137.24401116,177962267.89927822,173129047.02282172,70807835.23335633,18170511.83309277,0.0
CT,2108629.2238525054,1304173.5706280423,80000131.10277735,50126280.64090588,48578762.230017826,19868169.690011054,5098515.0338867195,0.0
DE,2628791.4237349136,699471.652135949,48613536.902890325,30472167.395684704,29519769.683798168,12073255.297642518,3098205.5520660607,0.0
FL,31112090.69385531,27930918.723148186,658678171.3295317,412875770.3174572,399971471.983909,163583853.96502483,41978438.464874245,0.0
GA,23435140.466244046,27808122.004746545,604017313.8798993,378612992.8214668,366779566.48945117,150008736.2340165,38494829.10788723,0.0
HI,2285531.1601633243,154447.37154689286,62071315.81198443,41446415.96856047,37691769.685204126,15415534.215350948,3955891.970858146,0.0
IA,10303389.789658181,17420509.961307514,275699993.4006375,171549564.11949643,167414287.87113896,68470558.18484935,17570726.228475012,0.0
ID,8944204.295052186,7319641.788548888,134521962.80323747,83966672.83550438,81686248.55868614,33408757.965449836,8573263.537001422,0.0
IL,14148838.172796488,23922868.617872212,352060843.76188815,221731420.12916595,213783143.3467311,87434921.39957476,22437308.931711037,0.0
IN,26766281.156222183,30227844.71693904,497301744.806807,313205583.81466407,301978286.084316,123505751.177665,31693706.01195259,0.0
KS,9488692.580693891,15422188.816621039,208356410.98036772,129646181.86712693,126521004.72478263,51745665.95105574,13278830.405932114,0.0
KY,21135213.554333434,18822114.04029023,390847904.1591473,243062805.13001066,237335964.17221186,97067735.07994877,24909255.071405448,0.0
LA,23950915.563636705,18754491.475447252,294636689.9554982,184158573.90573522,178913280.7351007,73173524.05345789,18777588.388355404,0.0
MA,3061776.5617848034,1535189.137104309,95614236.13885121,59909727.24537836,58060170.39180549,23745959.440328114,6093622.7689582305,0.0
MD,11162539.142991398,5336722.96607558,231527159.24065146,145126950.27974838,140591054.50362203,57500167.236013815,14755534.69080794,0.0
ME,6784806.857237058,3798182.0051045236,151753769.95670384,95085494.93990919,92149977.8389689,37688308.89445904,9671470.12020809,0.0
MI,14008437.391424518,17904736.681542367,485726750.92426705,305915537.5711293,294949561.87293446,120631081.36347534,30956016.15456854,0.0
MN,13131235.699991921,10648299.76745717,416284218.3641524,259025672.54116762,252781746.96273708,103384887.47628443,26530345.33621551,0.0
MO,20472156.09771079,31905341.192463025,413335609.101568,257190951.30118573,250991252.46973053,102652595.39463459,26342426.557297237,0.0
MS,16347842.432322808,22565192.573569678,356607529.6192779,221769198.59969646,216544059.65242043,88564080.41145413,22727070.610191647,0.0
MT,3869699.990275682,7827928.116979877,133112194.25317706,83086715.59915449,80830189.80225174,33058639.55136484,8483417.113012487,0.0
NC,27028115.09483578,20787600.883077558,732842121.0855215,459363568.4837185,445006309.0913368,182002598.13240016,46705005.90957903,0.0
ND,9650937.308665944,11341180.704725295,91537706.79536214,56957758.71283112,55584767.3678879,22733543.813080966,5833819.456594904,0.0
NE,5317898.222802265,12475032.33762079,153927361.83788028,95778645.12669703,93469859.56769435,38228119.830403216,9809994.917172732,0.0
NH,4937481.498913708,1394205.3352983352,106619967.80972362,66805670.874319516,64743219.71481,26479251.766045712,6795032.724284145,0.0
NJ,11430292.578751173,5127385.513830138,337553829.4041986,211551754.88511476,204974004.0452919,83832072.4555559,21512755.74978717,0.0
NM,17151922.72826599,17749200.47531072,185248117.19054568,115629208.2377896,112488871.18893087,46006684.57258994,11806108.796753664,0.0
NV,4145483.4977883263,6065204.406040345,131311602.51294602,81962812.15311693,79736810.0939853,32611459.53413629,8368663.007512778,0.0
NY,15648410.242864238,11918549.654540803,311795063.8969452,195408219.92255193,189332417.8881899,77434838.8641574,19871115.269062426,0.0
OH,20844384.844179705,38320961.502653845,567403103.2206334,357356116.39872533,344546180.2995542,140915545.17072198,36161359.4392886,0.0
OK,30813235.08720245,24545532.072343558,312378211.0577183,195247665.44283083,189686527.42786202,77579661.05328074,19908279.14072279,0.0
OR,23430833.39285044,14218480.275861464,215977012.29393256,144212716.84163204,131148433.02725129,53638318.749859095,13764517.759079613,0.0
PA,26899581.619744174,21073040.97159649,487441520.7355118,305489377.19793475,295990836.24509853,121056937.6631623,31065298.226349957,0.0
RI,377753.3885244162,101357.67528981112,5788655.648670678,3627041.275795583,3515065.819416638,1437622.552856509,368918.7435558607,0.0
SC,12918517.715834904,12297682.669289334,383683043.5488413,240502022.16845793,232985209.44414338,95288342.1627,24452632.157401167,0.0
SD,4022948.4190216577,6899688.833075791,93155876.57499053,57964636.93920522,56567374.360255204,23135419.006048437,5936947.562759656,0.0
TN,10146731.707874402,22838812.56506452,459304471.74048734,285634980.05746645,278905089.3944412,114069038.9010956,29272082.87488316,0.0
TX,75103789.79083605,97080922.16611773,1090228975.3953457,681432490.1961218,662023601.9143096,270760223.94535255,69481743.6081173,0.0
UT,22239446.126067694,8442218.373937972,112327691.1161409,70113327.91889362,68209142.24956268,27896772.8920667,7158793.094999302,0.0
VA,7641607.114143107,16266296.482686603,443910901.582439,278254333.33128124,269557584.3620974,110246034.04021822,28291033.887386065,0.0
VT,5417308.43450251,1198082.720533096,79194337.89069626,49621388.75972354,48089457.57117971,19668049.564556282,5047160.757970331,0.0
WA,12601187.710120289,8907729.56724974,258439079.16925526,172565595.51960692,156932813.84930867,64183857.15529236,16470684.80614097,0.0
WI,25865365.435174774,18069317.93808789,460897091.8068056,290277571.3644659,279872160.7122737,114464592.44037943,29373588.73567514,0.0
WV,10289162.04474838,7129045.040494961,160848636.7478195,100823904.13473128,97672685.70138204,39947034.90950338,10251098.174770383,0.0
WY,3295847.3723053737,8387191.441853125,100419781.76672515,62680582.308723465,60978260.223603524,24939423.377987403,6399886.200542306,0.0
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
