Storage_name,Type,SOC_max,SOC_min,Pchr_max,Pdis_max,Charge Efficiency,Discharge Efficiency,Loss Factor,Terminal Max,Terminal Min,SOC_intial
WILLEY BATTERY UTILITY-WBU,BATTERIES,1,0,6.0,6.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MIRA LOMA ENERGY STORAGE FACILITY-013A,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MIRA LOMA ENERGY STORAGE FACILITY-013B,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
"BLUE SUMMIT STORAGE, LLC-WBSS",BATTERIES,1,0,30.0,30.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MILLIKAN BESS-PE101,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
HAMPSHIRE COLLEGE-BA1,BATTERIES,1,0,0.5,0.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
HAMPSHIRE COLLEGE-BA2,BATTERIES,1,0,0.5,0.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CHOCKSETT RD ENERGY STORAGE PROJECT-BA1,BATTERIES,1,0,3.9,3.9,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
GLENDALE BATTERY ENERGY STORAGE SYSTEM-2BESS,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
IRON HORSE BATTERY STORAGE-BA1,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
AES LAWAI SOLAR-LAWA2,BATTERIES,1,0,20.0,20.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
VANADIUM REDOX FLOW BATTERY PLANT-VRF,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PIMA ENERGY STORAGE SYSTEM-PIMA,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
NRG ELBOW CREEK ENERGY STORAGE PROJECT-ECBS,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
BEACON BESS 1-BCNB1,BATTERIES,1,0,20.0,20.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PANASONIC CARPORT SOLAR-PANBS,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
HOPEWELL VALLEY HIGH SCHOOL-BA1,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
NEW ORLEANS SOLAR POWER PLANT-NOSPB,BATTERIES,1,0,0.5,0.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
VISTA ENERGY STORAGE SYSTEM-VISTA,BATTERIES,1,0,40.0,40.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PINAL CENTRAL ENERGY CENTER-BA1,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
COX BATTERY ENERGY STORAGE-1,BATTERIES,1,0,1.2,1.2,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
HEBT IRVINE 1-IRV01,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
HEBT IRVINE 1-IRV1W,BATTERIES,1,0,4.5,4.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
HEBT IRVINE 2-IRV06,BATTERIES,1,0,2.5,2.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
HEBT IRVINE 2-IRV2W,BATTERIES,1,0,3.3,3.3,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MA SOLAR STORAGE 1-61730,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
LOCKHEED MARTIN RMS SYRACUSE-SYR1,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
KINGSBERRY ENERGY STORAGE SYSTEM-KBESS,BATTERIES,1,0,1.5,1.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CAMPBELL INDUSTRIAL PARK BESS-CIPB1,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
"STRYKER 22, L.L.C.-EDGRD",BATTERIES,1,0,19.8,19.8,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
REDSTONE ARSENAL-BA,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PARKVIEW BATTERY-PKVWB,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
