,0
pop,1308452.0
res_area_m2,95013022.31266487
com_area_m2,26648941.267082293
ind_area_m2_gbs,2100346.9092239738
frac_elec_res_heat,0.38524724474189925
frac_elec_res_cool,0.9975173525884742
frac_elec_com_heat,0.39841227906583887
frac_elec_dhw_res,0.4308903027401491
frac_elec_dhw_com,0.4648235582120485
frac_elec_other_res,0.6081868193682007
frac_elec_cook_com,0.26059494422658463
hdd65,1291.0598447631246
cdd65,3694.585369581765
mrae_avg_%,0.053081898597828414
mrae_max_%,0.38353734507450415
rss_avg_%,0.07208187966773687
avg_profile_load_mw,416.16931447646994
avg_actual_load_mw,419.2324200913242
max_profile_load_mw,981.6669209762058
max_actual_load_mw,1068.0
