,0
pop,4305791.0
res_area_m2,262858066.28851363
com_area_m2,94437533.2699157
ind_area_m2_gbs,8678843.868067587
frac_elec_res_heat,0.269133111059828
frac_elec_res_cool,0.8999350650664347
frac_elec_com_heat,0.28600640644844894
frac_elec_dhw_res,0.3015970129271518
frac_elec_dhw_com,0.3438497238834524
frac_elec_other_res,0.5191726708483431
frac_elec_cook_com,0.1870721045838118
hdd65,1444.1401786570693
cdd65,1193.3971918284003
mrae_avg_%,0.05990372135216858
mrae_max_%,0.678176907865534
rss_avg_%,0.08282617253150866
avg_profile_load_mw,2106.27317141203
avg_actual_load_mw,2095.1148401826485
max_profile_load_mw,3720.9406582973947
max_actual_load_mw,3991.0
