,0
pop,1071755.0
res_area_m2,66188082.62385403
com_area_m2,19501249.25171418
ind_area_m2_gbs,2673248.743336879
frac_elec_res_heat,0.23549340908645816
frac_elec_res_cool,0.9647764788475054
frac_elec_com_heat,0.23323607813032227
frac_elec_dhw_res,0.2641391462700683
frac_elec_dhw_com,0.28705705988134894
frac_elec_other_res,0.49338417006324303
frac_elec_cook_com,0.1525558974098651
hdd65,2635.0565222462224
cdd65,1422.9081861059665
mrae_avg_%,0.04650207227666186
mrae_max_%,0.3213635396377067
rss_avg_%,0.05990395273314462
avg_profile_load_mw,308.21746508120094
avg_actual_load_mw,308.0060502283105
max_profile_load_mw,638.4062544652742
max_actual_load_mw,643.0
