,0
pop,1588023.0
res_area_m2,139071633.2363335
com_area_m2,41726778.45988731
ind_area_m2_gbs,5706968.7964338325
frac_elec_res_heat,0.09485586112619529
frac_elec_res_cool,0.5918614331147177
frac_elec_com_heat,0.10866648762450115
frac_elec_dhw_res,0.3514509292351668
frac_elec_dhw_com,0.37969193442884247
frac_elec_other_res,0.3941697722363492
frac_elec_cook_com,0.1723605590859281
hdd65,7669.7975955008205
cdd65,384.2717750309662
mrae_avg_%,0.06371542728935187
mrae_max_%,0.6654969866478329
rss_avg_%,0.08321904549039083
avg_profile_load_mw,586.3194208289966
avg_actual_load_mw,585.7699771689498
max_profile_load_mw,895.735049155036
max_actual_load_mw,888.0
