,0
pop,6856333.0
res_area_m2,504774994.560246
com_area_m2,186746211.03708565
ind_area_m2_gbs,17112902.190484595
frac_elec_res_heat,0.4898862157895278
frac_elec_res_cool,0.9999121239798305
frac_elec_com_heat,0.3775847160549702
frac_elec_dhw_res,0.6454022679541137
frac_elec_dhw_com,0.45437287530468035
frac_elec_other_res,0.7073458955484508
frac_elec_cook_com,0.20513363269827545
hdd65,1388.7479503985578
cdd65,3044.5431088309165
mrae_avg_%,0.03738575532330362
mrae_max_%,0.19211824229458685
rss_avg_%,0.04626729995275958
avg_profile_load_mw,12232.08486699645
avg_actual_load_mw,12353.966058139053
max_profile_load_mw,20886.807916712787
max_actual_load_mw,21256.11519
