,0
pop,15671675.0
res_area_m2,964174168.3256848
com_area_m2,348363122.59477454
ind_area_m2_gbs,36189184.027611084
frac_elec_res_heat,0.23841220477752592
frac_elec_res_cool,0.7390820477692459
frac_elec_com_heat,0.24903080307518533
frac_elec_dhw_res,0.2673892303487511
frac_elec_dhw_com,0.30405571301444156
frac_elec_other_res,0.4956217453256587
frac_elec_cook_com,0.16288696821855547
hdd65,2775.90037095588
cdd65,896.9194160802853
mrae_avg_%,0.06745108190502003
mrae_max_%,0.9411924741206104
rss_avg_%,0.08562263277605389
avg_profile_load_mw,11076.213510742467
avg_actual_load_mw,10991.717465753425
max_profile_load_mw,21369.79452681115
max_actual_load_mw,21079.0
