,0
pop,1605004.0
res_area_m2,114168403.45492
com_area_m2,46130250.940557614
ind_area_m2_gbs,5519178.924201061
frac_elec_res_heat,0.14489008838749645
frac_elec_res_cool,0.7079229926685905
frac_elec_com_heat,0.15849015537198066
frac_elec_dhw_res,0.38834612311678407
frac_elec_dhw_com,0.41436585000700943
frac_elec_other_res,0.4286347413809727
frac_elec_cook_com,0.21862386226737587
hdd65,6828.5405917991475
cdd65,495.0119426493642
mrae_avg_%,0.034990132167996915
mrae_max_%,0.26011881138031007
rss_avg_%,0.0459027516347515
avg_profile_load_mw,1105.2799028083255
avg_actual_load_mw,1108.5405251141553
max_profile_load_mw,1818.114350551006
max_actual_load_mw,1926.0
