,0
pop,3133884.0
res_area_m2,249679178.3224145
com_area_m2,92669076.63565086
ind_area_m2_gbs,9031371.187415747
frac_elec_res_heat,0.44405760975873454
frac_elec_res_cool,0.994756328379754
frac_elec_com_heat,0.31820812649205216
frac_elec_dhw_res,0.6010597072120432
frac_elec_dhw_com,0.38237536163292857
frac_elec_other_res,0.6731890261123425
frac_elec_cook_com,0.174836556775108
hdd65,3259.3770586275687
cdd65,2010.5094639750546
mrae_avg_%,0.042822690477885034
mrae_max_%,0.2795020130987259
rss_avg_%,0.054039792131500584
avg_profile_load_mw,847.2535205871192
avg_actual_load_mw,854.1409550571955
max_profile_load_mw,1441.0691902397166
max_actual_load_mw,1476.329919
