,0
pop,1866466.0
res_area_m2,150680509.45971975
com_area_m2,52086308.49879117
ind_area_m2_gbs,5193160.364510164
frac_elec_res_heat,0.15414746762763945
frac_elec_res_cool,0.6250470350831946
frac_elec_com_heat,0.15530867021474384
frac_elec_dhw_res,0.39517250618685723
frac_elec_dhw_com,0.41215175070957677
frac_elec_other_res,0.43501148201104894
frac_elec_cook_com,0.2156697238217178
hdd65,7380.97547825677
cdd65,406.44798244382696
mrae_avg_%,0.0556450937107854
mrae_max_%,0.34639620957215583
rss_avg_%,0.06680150351524655
avg_profile_load_mw,895.0814305207622
avg_actual_load_mw,897.7109589041096
max_profile_load_mw,1347.1554931428739
max_actual_load_mw,1418.0
