,0
pop,1361354.0
res_area_m2,102339903.98787709
com_area_m2,42983798.43501131
ind_area_m2_gbs,5249338.530724903
frac_elec_res_heat,0.46800247421702557
frac_elec_res_cool,0.9966562911482062
frac_elec_com_heat,0.3547050721967329
frac_elec_dhw_res,0.6017843567409007
frac_elec_dhw_com,0.4248728503864353
frac_elec_other_res,0.6868840804805361
frac_elec_cook_com,0.20156034741166215
hdd65,2672.9461697692145
cdd65,2253.733021682825
mrae_avg_%,0.04327596553975025
mrae_max_%,0.1656002577097107
rss_avg_%,0.05507878593853477
avg_profile_load_mw,3432.298250507313
avg_actual_load_mw,3435.233597769296
max_profile_load_mw,4433.769735849576
max_actual_load_mw,4307.552925
