,0
pop,5745864.0
res_area_m2,432500095.5736925
com_area_m2,153205040.6920467
ind_area_m2_gbs,10443835.250881115
frac_elec_res_heat,0.572624133163799
frac_elec_res_cool,0.9998469459591935
frac_elec_com_heat,0.40602406778120526
frac_elec_dhw_res,0.7185642712133382
frac_elec_dhw_com,0.4885958442602598
frac_elec_other_res,0.7677274451431871
frac_elec_cook_com,0.22058411912722622
hdd65,1662.0888823682567
cdd65,2909.305851652598
mrae_avg_%,0.04842333133709113
mrae_max_%,0.32376987588052597
rss_avg_%,0.05769998175141746
avg_profile_load_mw,6881.2053144388565
avg_actual_load_mw,6970.1534857231745
max_profile_load_mw,12692.137230479844
max_actual_load_mw,12784.85788
