,0
pop,1686299.0
res_area_m2,110284923.38182525
com_area_m2,47907405.21941259
ind_area_m2_gbs,3943542.656201062
frac_elec_res_heat,0.11780714687400029
frac_elec_res_cool,0.8291683961756067
frac_elec_com_heat,0.12306192280044144
frac_elec_dhw_res,0.36837518656556045
frac_elec_dhw_com,0.3897101873308838
frac_elec_other_res,0.40997925703155735
frac_elec_cook_com,0.1857273064990006
hdd65,5733.717718506623
cdd65,792.0061543059683
mrae_avg_%,0.03824251559551468
mrae_max_%,0.5687611785588643
rss_avg_%,0.05549979456046706
avg_profile_load_mw,678.2419449189078
avg_actual_load_mw,681.7545662100457
max_profile_load_mw,1352.3873495411826
max_actual_load_mw,1392.0
