,0
pop,2329398.0
res_area_m2,175692235.60707325
com_area_m2,67806546.95307007
ind_area_m2_gbs,7884851.429652242
frac_elec_res_heat,0.15416841163528655
frac_elec_res_cool,0.6490235455739373
frac_elec_com_heat,0.1649732550323585
frac_elec_dhw_res,0.3951879502791334
frac_elec_dhw_com,0.41887765053217557
frac_elec_other_res,0.4350259088267874
frac_elec_cook_com,0.22464368414527802
hdd65,7062.673880547677
cdd65,437.00165622190804
mrae_avg_%,0.03481670150468484
mrae_max_%,0.21016667220256702
rss_avg_%,0.04434446131409736
avg_profile_load_mw,1798.8861919477388
avg_actual_load_mw,1804.2326484018265
max_profile_load_mw,2656.341132566885
max_actual_load_mw,2711.0
