,0
pop,486370.0
res_area_m2,33922284.48198123
com_area_m2,12772242.791500002
ind_area_m2_gbs,939283.9967
frac_elec_res_heat,0.1309654888676184
frac_elec_res_cool,0.7426057477789108
frac_elec_com_heat,0.1324069386699403
frac_elec_dhw_res,0.37807813603812424
frac_elec_dhw_com,0.396213688698505
frac_elec_other_res,0.41904308944443885
frac_elec_cook_com,0.19440453404871136
hdd65,6404.614602051936
cdd65,575.513092912803
mrae_avg_%,0.06017311043918372
mrae_max_%,0.5086700095632845
rss_avg_%,0.0758744301516656
avg_profile_load_mw,320.39412976626704
avg_actual_load_mw,321.0324200913242
max_profile_load_mw,660.2014404175878
max_actual_load_mw,659.0
