,0
pop,19735683.0
res_area_m2,1094778589.235387
com_area_m2,442474668.7336565
ind_area_m2_gbs,51189810.49035751
frac_elec_res_heat,0.2141335726272491
frac_elec_res_cool,0.9384780206692139
frac_elec_com_heat,0.22692751160275607
frac_elec_dhw_res,0.24035493122144694
frac_elec_dhw_com,0.2802676327439036
frac_elec_other_res,0.47700952561086407
frac_elec_cook_com,0.14842956740252833
hdd65,1645.0553207102091
cdd65,1448.304523233374
mrae_avg_%,0.037758949545342264
mrae_max_%,0.2992141968312931
rss_avg_%,0.050746183531119995
avg_profile_load_mw,11477.26869094897
avg_actual_load_mw,11460.790410958904
max_profile_load_mw,21859.176304548866
max_actual_load_mw,22884.0
