,0
pop,1530831.0
res_area_m2,120004990.33670911
com_area_m2,45071873.44151886
ind_area_m2_gbs,3681257.1111092214
frac_elec_res_heat,0.5682027860005735
frac_elec_res_cool,0.9986847134417384
frac_elec_com_heat,0.40370368120520417
frac_elec_dhw_res,0.7146546415558399
frac_elec_dhw_com,0.4858035683138932
frac_elec_other_res,0.7645007771113559
frac_elec_cook_com,0.21932350314527502
hdd65,2327.2143234622245
cdd65,2480.226798385975
mrae_avg_%,0.03773927025265923
mrae_max_%,0.25594227959971183
rss_avg_%,0.04737647504445583
avg_profile_load_mw,1278.1652290136926
avg_actual_load_mw,1291.8279125364154
max_profile_load_mw,2103.139165675657
max_actual_load_mw,2117.399078
