,0
pop,836404.0
res_area_m2,66939313.695897385
com_area_m2,19569734.034222357
ind_area_m2_gbs,811812.6838853464
frac_elec_res_heat,0.24574739898510206
frac_elec_res_cool,0.9660487022312596
frac_elec_com_heat,0.2624776307680972
frac_elec_dhw_res,0.2755569818570346
frac_elec_dhw_com,0.3185275041023018
frac_elec_other_res,0.5012449717659727
frac_elec_cook_com,0.17168231790224264
hdd65,3432.309504736945
cdd65,2168.0582003433747
mrae_avg_%,0.08660088112176276
mrae_max_%,8.579445684072711
rss_avg_%,0.1332159455723132
avg_profile_load_mw,66.42362966495769
avg_actual_load_mw,67.22762557077625
max_profile_load_mw,138.6324972866107
max_actual_load_mw,197.0
