,0
pop,853086.0
res_area_m2,57464926.15357745
com_area_m2,16933890.684166387
ind_area_m2_gbs,849555.2867996297
frac_elec_res_heat,0.3965344983311631
frac_elec_res_cool,0.9999539797914468
frac_elec_com_heat,0.39194448838281803
frac_elec_dhw_res,0.4434586792437825
frac_elec_dhw_com,0.4578627703071046
frac_elec_other_res,0.6168397303921681
frac_elec_cook_com,0.25636446830786297
hdd65,1565.7059768886138
cdd65,3657.7987377591476
mrae_avg_%,0.10861490426716995
mrae_max_%,0.7007431148333486
rss_avg_%,0.12119904110136179
avg_profile_load_mw,1068.919916916378
avg_actual_load_mw,1086.7219178082191
max_profile_load_mw,1863.8023600227634
max_actual_load_mw,1919.0
