,0
pop,3374966.0
res_area_m2,258765462.28924948
com_area_m2,95083383.61343099
ind_area_m2_gbs,9463080.738410817
frac_elec_res_heat,0.1345520568725582
frac_elec_res_cool,0.7546044498920854
frac_elec_com_heat,0.13396037939328326
frac_elec_dhw_res,0.38072286803769695
frac_elec_dhw_com,0.39729477876939
frac_elec_other_res,0.42151361736884924
frac_elec_cook_com,0.19584696698084045
hdd65,6436.208181060195
cdd65,588.1835671826026
mrae_avg_%,0.041581460296882575
mrae_max_%,0.33450199888474036
rss_avg_%,0.05707112629618882
avg_profile_load_mw,1087.38367433268
avg_actual_load_mw,1092.4816210045663
max_profile_load_mw,2269.3518862845153
max_actual_load_mw,2243.0
