puma,state,frac_hp_res,frac_hp_com
puma_0100100,AL,0.4776565446049778,0.23219485613777896
puma_0100200,AL,0.6225784520766162,0.3026432187461428
puma_0100301,AL,0.5440688860145435,0.26447873088740687
puma_0100302,AL,0.5371761087082856,0.2611280651149115
puma_0100400,AL,0.5405406383626599,0.2627636053119265
puma_0100500,AL,0.5403495608368271,0.26267072012250947
puma_0100600,AL,0.5477641456794476,0.2662750431037374
puma_0100700,AL,0.5440136674609073,0.26445188845373246
puma_0100800,AL,0.5324872755551376,0.25884876432494824
puma_0100900,AL,0.3989014814591441,0.19391102905781815
puma_0101000,AL,0.4654506869650107,0.2262614351666621
puma_0101100,AL,0.4516836417517168,0.21956910127351578
puma_0101200,AL,0.38834888016565666,0.18878127679775644
puma_0101301,AL,0.27130235802861974,0.13188348972459377
puma_0101302,AL,0.3379474999892891,0.1642805317511759
puma_0101303,AL,0.2766313554496994,0.1344739824196525
puma_0101304,AL,0.376166483742424,0.18285926061927985
puma_0101305,AL,0.2947822234705787,0.14329734773618827
puma_0101400,AL,0.5232838098020769,0.25437484382571546
puma_0101500,AL,0.4935045792062537,0.23989878515512972
puma_0101600,AL,0.4475468340344905,0.21755814699345793
puma_0101700,AL,0.4030786064325723,0.1959415820633816
puma_0101800,AL,0.5188076481805237,0.25219892534306276
puma_0101900,AL,0.5769932322783159,0.28048366985557144
puma_0102000,AL,0.31031112706676617,0.15084614315670558
puma_0102100,AL,0.43079891019030664,0.20941677049285376
puma_0102200,AL,0.5114243051724509,0.24860978941068876
puma_0102300,AL,0.5431470838271063,0.26403063124611237
puma_0102400,AL,0.5117294149839173,0.24875810712888993
puma_0102500,AL,0.6265723891722327,0.30458472181945867
puma_0102600,AL,0.5983771470200399,0.2908786598608343
puma_0102701,AL,0.22857806386778906,0.11111467278214746
puma_0102702,AL,0.3414322850131756,0.1659745295963464
puma_0102703,AL,0.46579199900958324,0.2264273512458674
puma_0400100,AZ,0.19447731495154832,0.3477806589821302
puma_0400101,AZ,0.3572044122659958,0.638782913678866
puma_0400102,AZ,0.5439354649026436,0.8497122955784373
puma_0400103,AZ,0.5775207897379431,0.8861896523119949
puma_0400104,AZ,0.5425911543651863,0.8469164001827318
puma_0400105,AZ,0.3481063496966478,0.6225129945028592
puma_0400106,AZ,0.48282025451836974,0.7883433432263793
puma_0400107,AZ,0.2043364483522868,0.3654115889029583
puma_0400108,AZ,0.5353499402346673,0.8443816815274731
puma_0400109,AZ,0.5016638802197595,0.8135962998516449
puma_0400110,AZ,0.40764810307925214,0.7225813537515298
puma_0400111,AZ,0.42850754109679284,0.7389591580573525
puma_0400112,AZ,0.22613001970530316,0.4043846825443139
puma_0400113,AZ,0.4259745397699306,0.7488113028121179
puma_0400114,AZ,0.4425495178724574,0.7554650109946967
puma_0400115,AZ,0.4736680768276419,0.7802573286831935
puma_0400116,AZ,0.3363108903170277,0.6014193639317912
puma_0400117,AZ,0.3787889046932028,0.6773821148350474
puma_0400118,AZ,0.4013432700979096,0.717715724260532
puma_0400119,AZ,0.47915054416570346,0.7932408590375373
