,hp_target
New England,0.145652243
Middle Atlantic,0.179259333
East North Central,0.126551389
West North Central,0.136797606
South Atlantic,0.232001118
East South Central,0.15711253
West South Central,0.103956026
Mountain,0.189282651
Pacific,0.168500398
