,natgas,elec,othergas,fok
northeast,0.224752208,0.229019655,0.046109485,0
midwest,0.209274292,0.255264275,0.007367344,0
south,0.189704078,0.219765447,0.027832839,0
west,0.195076561,0.199065233,0.022553047,0
