puma,state,hh_total,moe_total,hh_utilgas,moe_utilgas,hh_othergas,moe_othergas,hh_elec,moe_elec,hh_fok,moe_fok,hh_coal,moe_coal,hh_wood,moe_wood,hh_solar,moe_solar,hh_other,moe_other,hh_none,moe_none
puma_1800300,IN,42569,543,35489,707,2457,209,3352,356,187,81,6,9,727,144,15,24,247,107,89,48
puma_1800401,IN,40901,715,35308,742,277,84,4918,419,156,79,5,8,107,57,0,27,45,25,85,57
puma_1800402,IN,60300,732,50913,826,1253,211,6877,560,257,79,10,15,809,150,0,27,117,73,64,43
puma_1800500,IN,70161,833,58254,928,2326,275,6945,568,468,170,312,99,1521,286,14,22,228,99,93,52
puma_1800600,IN,59657,618,29437,825,12618,546,10685,621,910,180,1268,176,3758,371,22,26,765,222,194,80
puma_1800700,IN,40003,426,22666,565,10016,477,4509,394,410,101,0,27,1894,228,9,12,420,103,79,48
puma_1800800,IN,47886,603,32848,585,5787,356,5561,424,425,137,228,94,2415,253,0,27,494,124,128,57
puma_1800900,IN,50434,503,24973,602,7478,452,13149,546,1419,204,598,118,1745,236,78,51,709,137,285,72
puma_1801001,IN,51091,671,41850,702,374,100,8398,479,135,80,9,14,122,63,9,11,151,77,43,29
puma_1801002,IN,49093,745,37182,736,397,109,11080,638,55,38,0,27,164,75,19,30,140,76,56,42
puma_1801003,IN,37013,460,25036,482,3732,311,6045,411,459,119,277,80,933,155,8,13,406,138,117,61
puma_1801100,IN,47423,582,25571,566,9866,424,8762,538,1375,165,8,9,1355,207,36,53,294,87,156,71
puma_1801200,IN,65837,685,39025,919,4670,299,20383,912,354,129,17,17,597,146,10,15,551,131,230,120
puma_1801300,IN,55554,670,38274,830,3990,341,11346,643,575,130,36,55,868,201,0,27,304,88,161,72
puma_1801400,IN,53105,658,30192,653,4771,432,15419,597,763,142,10,16,1294,197,19,23,441,112,196,79
puma_1801500,IN,42546,457,20857,619,6669,390,11769,530,1257,169,49,38,1595,172,0,27,270,92,80,40
puma_1801600,IN,40692,539,15174,453,8663,391,13244,532,1093,216,9,13,2124,246,12,13,246,92,127,65
puma_1801700,IN,39728,574,20271,664,1504,227,16488,646,768,176,0,27,445,118,20,24,84,43,148,78
puma_1801801,IN,41123,460,22427,645,3788,325,13322,602,946,177,13,19,347,109,25,27,222,102,33,43
puma_1801802,IN,43393,531,28863,592,363,119,13895,653,197,107,0,27,10,16,12,19,16,24,37,56
puma_1801803,IN,38318,610,23305,804,1271,225,13288,659,222,126,15,25,91,50,0,27,76,66,50,39
puma_1801900,IN,50780,713,34619,731,2337,285,12320,684,495,140,7,12,710,158,0,27,227,97,65,45
puma_1802000,IN,46068,642,29938,628,2121,231,12936,627,353,108,0,27,486,126,0,27,159,114,75,51
puma_1802100,IN,44305,516,15494,504,9520,516,14878,614,1132,240,18,31,2813,327,5,7,349,119,96,71
puma_1802200,IN,52122,550,28526,785,4086,393,18095,820,721,188,9,11,476,139,0,27,145,59,64,47
puma_1802301,IN,42283,747,21356,763,235,93,20455,767,54,61,13,19,21,25,0,27,120,78,29,24
puma_1802302,IN,47597,746,33417,724,243,79,13478,660,154,76,0,27,19,24,0,27,123,65,163,90
puma_1802303,IN,46120,840,27983,726,294,114,17579,882,33,33,0,27,56,51,0,27,26,31,149,115
puma_1802304,IN,55051,1011,34993,1040,376,125,19260,778,131,67,0,27,85,61,0,27,115,96,91,68
puma_1802305,IN,57762,971,42955,923,412,119,13201,783,171,81,0,27,58,35,0,27,676,161,289,91
puma_1802306,IN,57622,898,36400,863,345,116,20248,857,186,89,8,12,143,61,0,27,211,117,81,50
puma_1802307,IN,53003,887,30838,845,338,134,21548,873,120,80,0,27,88,51,0,27,17,21,54,38
puma_1802400,IN,51952,612,36387,759,1680,272,13188,702,183,66,12,20,288,98,0,27,114,61,100,64
puma_1802500,IN,43067,442,24692,507,5954,432,10507,563,981,176,0,27,691,155,25,39,116,55,101,60
puma_1802600,IN,47606,537,22929,556,6209,372,12822,564,3149,247,82,64,1970,219,6,9,264,92,175,91
puma_1802700,IN,63255,728,24264,720,11170,544,21264,570,1004,154,316,113,4857,385,36,48,192,87,152,65
puma_1802800,IN,53894,574,25941,826,3445,421,22801,808,388,139,0,27,1083,221,23,27,137,65,76,48
puma_1802900,IN,46811,543,22300,651,4325,357,18032,740,654,170,30,43,1227,214,9,13,150,64,84,51
puma_1803000,IN,42251,680,10725,515,4842,455,22891,690,1046,205,20,32,2224,286,18,26,332,120,153,79
puma_1803100,IN,44169,538,13833,514,7616,462,16555,694,2179,254,63,49,3362,272,40,35,300,118,221,93
puma_1803200,IN,45517,576,26166,729,2704,261,14872,691,322,107,38,41,1102,199,9,16,203,116,101,70
puma_1803300,IN,74301,703,50886,804,634,151,21852,822,106,64,13,20,551,131,14,18,144,97,101,55
puma_1803400,IN,55982,665,26485,667,8097,452,16513,714,598,153,5,9,3306,296,4,9,784,217,190,87
puma_1803500,IN,54313,611,19507,532,8649,547,22234,874,835,193,0,27,2829,341,0,27,143,65,116,63
puma_1803600,IN,42848,643,23199,618,2598,284,15769,656,394,126,15,24,678,179,20,32,100,67,75,44
puma_1900100,IA,48370,562,27306,668,8352,316,10987,479,563,101,24,26,376,81,35,45,488,124,239,93
puma_1900200,IA,50781,455,31057,591,10323,303,7115,485,624,102,1,2,889,150,11,16,585,138,176,88
puma_1900400,IA,48678,578,23034,525,13874,464,6477,336,1597,189,8,15,2988,259,8,11,552,93,140,58
puma_1900500,IA,52150,455,37250,659,2654,248,11097,522,259,83,17,25,346,101,0,23,398,129,129,61
puma_1900600,IA,54501,476,33026,592,10734,340,8830,417,535,101,0,23,691,122,1,2,503,121,181,64
puma_1900700,IA,60945,531,39220,644,9893,426,7239,450,1602,193,0,23,2245,226,60,56,396,112,290,101
puma_1900800,IA,52166,522,32663,601,9802,407,6939,429,711,118,0,23,1274,191,36,30,551,163,190,72
puma_1900900,IA,66914,561,54808,697,3266,266,7828,509,174,92,11,17,239,81,0,23,352,141,236,89
puma_1901000,IA,85654,719,68437,748,4077,282,10943,536,263,117,29,41,811,146,0,23,720,244,374,118
puma_1901100,IA,52826,480,39628,785,3075,293,8850,648,113,55,0,23,557,133,31,45,317,108,255,106
puma_1901200,IA,46843,447,26152,488,10306,331,7531,431,956,153,0,23,1148,177,61,62,561,125,128,58
puma_1901300,IA,45531,529,32051,705,4527,292,7924,488,137,61,0,23,415,106,8,12,344,123,125,62
puma_1901400,IA,58627,557,33469,632,12858,467,9823,550,325,98,6,9,1372,203,26,28,502,111,246,98
puma_1901500,IA,66493,674,47797,911,2035,246,15649,831,39,36,0,23,93,61,0,23,472,185,408,130
puma_1901600,IA,44153,531,31610,783,2642,281,9281,712,118,77,0,23,102,67,0,23,236,103,164,87
puma_1901700,IA,78314,901,59286,918,701,159,16556,752,171,84,0,23,142,73,26,39,728,184,704,168
puma_1901800,IA,44563,565,19555,543,11816,375,9957,460,462,107,14,15,1862,183,6,7,626,119,265,82
puma_1901900,IA,51430,436,26541,530,10503,358,11925,406,1138,143,0,23,638,106,10,16,461,87,214,65
puma_1902000,IA,48626,492,31068,708,4045,258,11789,495,371,92,0,23,326,93,0,23,727,159,300,130
puma_1902100,IA,73124,612,46743,707,11030,360,12665,519,597,109,0,23,978,179,12,14,870,180,229,71
