puma,state,htg_slope_com_btu_m2_degC
puma_1100104,DC,8.330333846508790
puma_1100105,DC,8.330333846508790
puma_1200101,FL,13.551447300634200
puma_1200102,FL,13.551447300634200
puma_1200500,FL,13.551447300634200
puma_1200901,FL,13.551447300634200
puma_1200902,FL,13.551447300634200
puma_1200903,FL,13.551447300634200
puma_1200904,FL,13.551447300634200
puma_1201101,FL,13.551447300634200
puma_1201102,FL,13.551447300634200
puma_1201103,FL,13.551447300634200
puma_1201104,FL,13.551447300634200
puma_1201105,FL,13.551447300634200
puma_1201106,FL,13.551447300634200
puma_1201107,FL,13.551447300634200
puma_1201108,FL,13.551447300634200
puma_1201109,FL,13.551447300634200
puma_1201110,FL,13.551447300634200
puma_1201111,FL,13.551447300634200
puma_1201112,FL,13.551447300634200
puma_1201113,FL,13.551447300634200
puma_1201114,FL,13.551447300634200
puma_1201500,FL,13.551447300634200
puma_1201701,FL,13.551447300634200
puma_1201900,FL,13.551447300634200
puma_1202101,FL,13.551447300634200
puma_1202102,FL,13.551447300634200
puma_1202103,FL,13.551447300634200
puma_1202300,FL,13.551447300634200
puma_1202700,FL,13.551447300634200
puma_1203101,FL,13.551447300634200
puma_1203102,FL,13.551447300634200
puma_1203103,FL,13.551447300634200
puma_1203104,FL,13.551447300634200
puma_1203105,FL,13.551447300634200
puma_1203106,FL,13.551447300634200
puma_1203107,FL,13.551447300634200
puma_1203301,FL,13.551447300634200
puma_1203302,FL,13.551447300634200
puma_1203500,FL,13.551447300634200
puma_1205301,FL,13.551447300634200
puma_1205701,FL,13.551447300634200
puma_1205702,FL,13.551447300634200
puma_1205703,FL,13.551447300634200
puma_1205704,FL,13.551447300634200
puma_1205705,FL,13.551447300634200
puma_1205706,FL,13.551447300634200
puma_1205707,FL,13.551447300634200
puma_1205708,FL,13.551447300634200
puma_1206100,FL,13.551447300634200
puma_1206300,FL,13.551447300634200
puma_1206901,FL,13.551447300634200
puma_1206902,FL,13.551447300634200
