puma,latitude,longitude
puma_0400116,33.3965727,-112.0742192
puma_0400117,33.3258649,-112.065647
puma_0400118,33.4104503,-112.1995877
puma_0400119,33.4881935,-112.149536
puma_0400120,33.4857881,-112.2296574
puma_0400121,33.5315077,-112.2264551
puma_0400122,33.5692007,-112.1381723
puma_0400123,33.6340341,-112.1878957
puma_0400124,33.6081601,-112.2397176
puma_0400125,33.6466097,-112.1355662
puma_0400126,33.8457852,-112.1631671
puma_0400127,33.6257768,-112.3198374
puma_0400128,33.6213406,-112.404973
puma_0400129,33.4505055,-112.4098954
puma_0400130,33.4459833,-112.3197246
puma_0400131,33.2205762,-112.7988218
puma_0400132,32.0845295,-112.0945702
puma_0400133,32.36414,-111.162707
puma_0400134,32.4258634,-110.8992707
puma_0400201,32.4055095,-110.6674317
puma_0400202,33.2598555,-111.6889487
puma_0400203,33.382837,-111.6412026
puma_0400204,33.4523012,-111.7646664
puma_0400205,31.9832173,-110.7099605
puma_0400206,32.242476,-110.8633965
puma_0400207,32.264047,-110.9684067
puma_0400208,32.1678669,-110.9547043
puma_0400209,32.1833394,-110.8514042
puma_0400300,35.3877821,-109.8804675
puma_0400400,35.8296919,-111.7737277
puma_0400500,34.6300439,-112.5737449
puma_0400600,35.2017781,-113.8295447
puma_0400700,32.7739424,-113.910905
puma_0400800,33.3031892,-110.2313244
puma_0400803,33.3521289,-111.3209893
puma_0400805,32.8376579,-111.2003391
puma_0400807,31.8243111,-109.9260473
puma_0400900,32.8018978,-111.8807513
puma_0500100,35.40305,-94.257523
puma_0500200,34.710455,-94.0247264
puma_0500300,34.3588783,-93.2501937
puma_0500400,34.2848158,-92.0192278
puma_0500500,33.6495898,-91.6529564
puma_0500600,33.477038,-92.7462555
puma_0500700,33.6428944,-93.7135069
puma_0500800,34.7000658,-91.8776196
puma_0500900,35.2461078,-93.1450333
puma_0501000,36.3378246,-94.2561871
puma_0501100,35.9712088,-94.2184168
puma_0501200,36.1368223,-93.0809188
puma_0501300,35.8843111,-91.9354511
puma_0501400,36.1599376,-90.7800118
puma_0501500,35.5712053,-90.1939337
puma_0501600,34.96847,-90.832407
puma_0501700,35.2083595,-91.4665902
puma_0501800,34.7773239,-92.3035928
puma_0501900,34.7235951,-92.3562059
puma_0502000,34.6485246,-92.674463
puma_0600101,34.002556,-118.099263
puma_0600102,33.9844402,-118.1647577
puma_0600103,33.9834652,-117.8619374
puma_0600104,33.9849068,-118.2232225
puma_0600105,34.0324103,-118.1695919
puma_0600106,41.4045388,-121.0906168
puma_0600107,38.785532,-120.5343981
puma_0600108,36.4792051,-120.2753015
puma_0600109,36.8464245,-119.81151
puma_0600110,34.0543565,-117.9187162
puma_0600300,34.0361759,-117.9686888
puma_0600701,34.1221969,-118.0617713
puma_0600702,34.1532887,-118.1376979
puma_0601100,34.1813929,-118.2458301
puma_0601301,34.168344,-118.3157654
puma_0601302,34.1785029,-118.3872082
puma_0601303,34.185162,-118.449805
puma_0601304,34.2417993,-118.4550489
puma_0601305,34.174912,-118.5240932
puma_0601306,34.1819888,-118.6068214
puma_0601307,34.0678923,-118.7455588
puma_0601308,37.8739149,-122.2865585
puma_0601309,37.812827,-122.2820917
puma_0601500,37.8065759,-122.1935601
puma_0601700,37.7620457,-122.190369
puma_0601901,37.7200105,-122.2213677
puma_0601902,37.7403521,-122.0708227
puma_0601903,37.6339857,-122.0602561
puma_0601904,37.5383776,-122.028054
puma_0601905,37.5404111,-121.9514287
puma_0601906,37.6193177,-121.7216797
puma_0601907,39.6005027,-121.5007714
puma_0602300,40.1019501,-122.6002028
puma_0602500,37.9348821,-122.3651832
puma_0602901,37.9906354,-122.3263128
puma_0602902,37.9801846,-122.1784816
puma_0602903,34.1093072,-118.4517505
puma_0602904,34.0188318,-118.480931
puma_0602905,37.8721041,-122.1062238
puma_0603100,34.0400161,-118.4317918
puma_0603300,34.059816,-118.3509415
puma_0603701,34.0915082,-118.3796058
puma_0603702,34.0986967,-118.3125317
puma_0603703,34.0809927,-118.2607303
puma_0603704,34.1058139,-118.2018507
puma_0603705,34.0935109,-118.143543
puma_0603706,34.0575988,-118.1113391
puma_0603707,34.0620096,-118.0376005
puma_0603708,33.9760214,-118.008555
puma_0603709,37.8154406,-121.8400492
puma_0603710,37.9118859,-121.9657028
puma_0603711,38.0164285,-121.9573682
puma_0603712,37.9573143,-121.8137879
puma_0603713,37.9449952,-121.6475434
puma_0603714,36.7765452,-119.727836
puma_0603715,36.7416046,-119.8585967
puma_0603716,36.7091827,-119.7161989
puma_0603717,36.7933248,-119.6588903
puma_0603718,37.0038713,-119.0568644
puma_0603719,40.7066731,-123.9258181
puma_0603720,33.0408155,-115.3553946
puma_0603721,35.3869039,-119.4635468
puma_0603722,35.3337384,-119.0875535
puma_0603723,35.4028502,-118.8830702
puma_0603724,37.2305581,-118.4559235
puma_0603725,39.813844,-121.7787873
puma_0603726,35.2887396,-118.9559198
puma_0603727,35.334658,-118.3110997
puma_0603728,36.072478,-119.8155301
puma_0603729,39.3496347,-123.2569651
puma_0603730,34.5372469,-118.1734319
puma_0603731,34.7248924,-118.2095693
puma_0603732,34.248524,-118.5783491
puma_0603733,34.2893278,-118.475095
puma_0603734,34.2756283,-118.4108463
puma_0603735,34.2409055,-118.3395158
puma_0603736,34.2126868,-118.1111932
puma_0603737,34.1259249,-117.9480445
puma_0603738,34.1267186,-117.7921926
puma_0603739,34.0579785,-117.7621676
puma_0603740,34.0604954,-117.8675254
puma_0603741,34.125683,-117.5644324
puma_0603742,34.1050476,-117.6715355
puma_0603743,37.2131009,-121.5503766
puma_0603744,37.2063274,-121.9693936
puma_0603745,37.2944367,-121.972817
puma_0603746,37.3385006,-121.9055803
puma_0603747,37.2958072,-121.878903
puma_0603748,37.2584074,-121.882102
puma_0603749,37.2851422,-121.7665561
puma_0603750,37.3424357,-121.8383834
puma_0603751,37.0740305,-122.0110269
puma_0603752,36.900407,-122.0003192
puma_0603753,38.1027798,-122.2182299
puma_0603754,38.2073034,-122.0296674
puma_0603755,38.3258991,-121.8439736
puma_0603756,38.5575417,-122.9643554
puma_0603757,38.2509414,-122.6009796
puma_0603758,38.4310662,-122.7268965
puma_0603759,37.4295365,-121.2165543
puma_0603760,37.6559256,-121.0245573
puma_0603761,37.6977768,-120.7491389
puma_0603762,37.6649562,-120.9603437
puma_0603763,39.1650644,-121.5014099
puma_0603764,36.3583459,-119.3467968
puma_0603765,33.9056788,-118.4638374
puma_0603766,33.8378688,-118.3386877
puma_0603767,33.8351801,-118.2593229
puma_0603768,33.8493465,-118.185406
puma_0603769,33.8572932,-118.0924889
puma_0603900,33.7923987,-118.1238129
puma_0604101,33.7607708,-118.2133203
puma_0604102,34.0432949,-118.2266539
puma_0604701,34.0154561,-118.3456742
puma_0604702,33.1314541,-117.0171166
puma_0605301,32.9664457,-116.8607238
puma_0605302,32.9906016,-117.047418
puma_0605303,33.0263829,-117.1916701
puma_0605500,32.8945149,-117.308183
puma_0605700,32.9347739,-117.193117
puma_0605901,33.7678835,-117.9976519
puma_0605902,33.7768788,-117.942384
puma_0605903,33.7601182,-118.2821091
puma_0605904,33.380049,-118.500889
puma_0605905,33.7762508,-118.1703632
puma_0605906,37.2100387,-119.7498519
puma_0605907,38.0603769,-122.7575828
puma_0605908,37.928774,-122.5139225
puma_0605909,37.1262825,-120.7914067
puma_0605910,37.416308,-120.457938
puma_0605911,36.5459225,-121.7007658
puma_0605912,33.5596175,-117.8895202
puma_0605913,33.5738568,-117.5501482
puma_0605914,33.7348371,-117.9071721
puma_0605915,33.737043,-117.8628689
puma_0605916,33.6769905,-117.9302282
puma_0605917,32.8795137,-117.1455631
puma_0605918,32.8150026,-116.9605216
puma_0606101,32.8403917,-117.0405302
puma_0606102,32.8048916,-117.1688759
puma_0606103,32.7193767,-117.1597424
puma_0606501,32.752171,-117.0876813
puma_0606502,32.696966,-117.0605136
puma_0606503,36.7046927,-121.5899645
puma_0606504,36.2639502,-121.1713619
puma_0606505,33.9739904,-118.4089812
puma_0606506,33.9560678,-118.3442743
puma_0606507,33.9683397,-118.2982141
puma_0606508,38.5073511,-122.3259947
puma_0606509,39.4097111,-120.601709
puma_0606510,33.4703981,-117.6742206
puma_0606511,33.6109105,-117.6484471
puma_0606512,33.585416,-117.7988845
puma_0606513,33.6760489,-117.7866528
puma_0606514,33.7723962,-117.6878592
puma_0606515,33.9098752,-117.8242129
puma_0606701,38.8169789,-121.3700839
puma_0606702,38.8378476,-121.2454948
puma_0606703,32.6847645,-116.8293378
puma_0606704,32.6409829,-116.9885597
puma_0606705,39.098162,-120.612536
puma_0606706,33.7505711,-115.3891989
puma_0606707,33.7332209,-116.6536518
puma_0606708,33.4895753,-117.162311
puma_0606709,33.6009458,-117.1937497
puma_0606710,33.6483829,-117.3166621
puma_0606711,33.6180323,-117.0033572
puma_0606712,33.9056503,-116.935359
puma_0607101,34.0470602,-117.6088329
puma_0607102,33.9659712,-117.6941427
puma_0607103,34.0948635,-117.48251
puma_0607104,33.3397393,-117.3977678
puma_0607105,33.0780565,-116.5416868
puma_0607106,33.2113664,-117.2114071
puma_0607107,33.1332675,-117.2865276
puma_0607108,33.1296103,-117.1543781
puma_0607109,32.6382813,-117.0855165
puma_0607110,32.5669618,-117.015969
puma_0607111,37.7334084,-123.0519507
puma_0607112,37.8505976,-122.4013963
puma_0607113,37.7541806,-122.4280615
puma_0607114,37.7530484,-122.4823007
puma_0607115,37.7267387,-122.4699541
puma_0607301,37.7252532,-122.3959302
puma_0607302,38.0231813,-121.318694
puma_0607303,37.9468526,-121.2902244
puma_0607304,33.9515695,-118.2618787
puma_0607305,33.9367856,-118.1968162
puma_0607306,33.9372993,-118.1320968
puma_0607307,33.9224561,-118.0342281
puma_0607308,33.9047927,-118.0880132
puma_0607309,33.8919816,-118.1489824
puma_0607310,33.9191968,-117.1860718
puma_0607311,33.8253748,-117.2043191
puma_0607312,33.9356193,-117.3329946
puma_0607313,33.9512075,-117.4424934
puma_0607314,33.8835935,-117.9157627
puma_0607315,33.8045724,-118.0464939
