puma,state,pop_2010,h_units_2010,res_area_gbs_m2,com_area_gbs_m2,ind_area_gbs_m2,hdd65_normals_2010,cdd65_normals_2010,acpen_res_2010,res_area_2010_m2,com_area_2010_m2,frac_hh_natgas,frac_hh_fok,frac_hh_othergas,frac_hh_coal,frac_hh_wood,frac_hh_solar,frac_hh_elec,frac_hh_other,frac_hh_none,frac_ff_sh_res_2010_fitting,frac_ff_dhw_res_2010_fitting,frac_ff_other_res_2010_fitting,frac_ff_sh_com_2010_fitting,frac_ff_dhw_com_2010_fitting,frac_ff_other_com_2010_fitting,frac_ff_sh_res_2010,frac_ff_dhw_res_2010,frac_ff_other_res_2010,frac_ff_sh_com_2010,frac_ff_dhw_com_2010,frac_ff_other_com_2010,frac_elec_sh_res_2010,frac_elec_dhw_res_2010,frac_elec_other_res_2010,frac_elec_sh_com_2010,frac_elec_dhw_com_2010,frac_elec_other_com_2010
puma_0101000,AL,160097,78831,9613823.324,2166189.067,836236.7998,3042.399458,1648.794356,0.991780151,11314514.29,3088344.515,0.187971467,0.004876432,0.207713916,0,0.036375974,0,0.560963293,0.001436101,0.000662816,0.400561815,0.400561815,0.400561815,0.438373891,0.438373891,0.438373891,0.400561815,0.400561815,0.400561815,0.438373891,0.438373891,0.438373891,0.560963293,0.560963293,0.560963293,0.560963293,0.560963293,0.560963293
puma_0101100,AL,118572,53289,6750859.95,1869181.298,446420.6583,2924.330719,1775.530058,0.994221256,7945091.024,2664899.337,0.335001311,0.001442182,0.073004982,0,0.014989948,0,0.572043528,0.001442182,0.002075867,0.409448475,0.409448475,0.409448475,0.425880605,0.425880605,0.425880605,0.409448475,0.409448475,0.409448475,0.425880605,0.425880605,0.425880605,0.572043528,0.572043528,0.572043528,0.572043528,0.572043528,0.572043528
puma_0101200,AL,195085,80970,12651971.07,2904436.112,555764.6609,2702.350509,1933.238978,0.996948771,14890112.15,4140866.313,0.400521569,0.00123601,0.042377486,0.000325981,0.006628273,0,0.546873302,0.001045855,0.000991525,0.444135065,0.444135065,0.444135065,0.451809193,0.451809193,0.451809193,0.444461045,0.444461045,0.444461045,0.452135173,0.452135173,0.452135173,0.546873302,0.546873302,0.546873302,0.546873302,0.546873302,0.546873302
puma_0101301,AL,100833,49351,5706926.99,1894324.855,313928.7527,2725.234021,1993.823342,0.997567661,6716485.712,2700746.609,0.624180769,0.005159933,0.012740878,0,0.001491734,0.000489093,0.354152401,0,0.00178519,0.642081581,0.642081581,0.642081581,0.644062408,0.644062408,0.644062408,0.642081581,0.642081581,0.642081581,0.644062408,0.644062408,0.644062408,0.354152401,0.354152401,0.354152401,0.354152401,0.354152401,0.354152401
puma_0101302,AL,102098,52962,6102150.406,5348162.115,577111.2704,2678,2058,0.998088638,7181624.381,7624896.36,0.563574666,0.00218634,0.009952402,6.83E-05,0.001890273,0,0.416998793,0.002231889,0.003097315,0.575713407,0.575713407,0.575713407,0.579835569,0.579835569,0.579835569,0.57578173,0.57578173,0.57578173,0.579903892,0.579903892,0.579903892,0.416998793,0.416998793,0.416998793,0.416998793,0.416998793,0.416998793
puma_0101303,AL,170145,77644,11209590.64,4031733.206,476303.3905,2743.861971,1960.661642,0.997122028,13192573.78,5748058.341,0.599512786,0.000209233,0.009176369,0,0.001150782,0,0.387544649,0.001016275,0.001389906,0.608898387,0.608898387,0.608898387,0.611065445,0.611065445,0.611065445,0.608898387,0.608898387,0.608898387,0.611065445,0.611065445,0.611065445,0.387544649,0.387544649,0.387544649,0.387544649,0.387544649,0.387544649
puma_0101304,AL,174673,73138,10395868.5,2270867.742,417973.8428,3011.720793,1777.735071,0.994186917,12234903.72,3237585.326,0.528148956,0.00215132,0.022861558,0,0.002817926,0,0.442399176,3.03E-05,0.001590764,0.553161834,0.553161834,0.553161834,0.55601006,0.55601006,0.55601006,0.553161834,0.553161834,0.553161834,0.55601006,0.55601006,0.55601006,0.442399176,0.442399176,0.442399176,0.442399176,0.442399176,0.442399176
puma_0101305,AL,110717,47457,6670441.151,1857705.904,244790.5933,2760.80676,1941.839654,0.997148536,7850446.092,2648538.823,0.574475769,0.005489082,0.031586297,0.000120375,0.003707538,0.000505573,0.383128295,0.00014445,0.000842622,0.611551147,0.611551147,0.611551147,0.615908708,0.615908708,0.615908708,0.611671522,0.611671522,0.611671522,0.616029083,0.616029083,0.616029083,0.383128295,0.383128295,0.383128295,0.383128295,0.383128295,0.383128295
puma_0101400,AL,121750,57532,7075491.303,1734685.471,499784.6316,3193.94708,1737.589552,0.993944381,8327149.853,2473148.093,0.204248165,0.001660721,0.122872842,0.00090212,0.027699184,0,0.639459548,0.000717595,0.002439824,0.328781728,0.328781728,0.328781728,0.357198507,0.357198507,0.357198507,0.329683848,0.329683848,0.329683848,0.358100627,0.358100627,0.358100627,0.639459548,0.639459548,0.639459548,0.639459548,0.639459548,0.639459548
puma_0101500,AL,103773,43926,6162485.768,963250.9561,282523.7166,2502.607065,2204.772012,0.998543405,7252633.104,1373310.784,0.222252323,0.003467613,0.098474792,0,0.01378918,0,0.658548479,0.001056538,0.002411075,0.324194728,0.324194728,0.324194728,0.339040446,0.339040446,0.339040446,0.324194728,0.324194728,0.324194728,0.339040446,0.339040446,0.339040446,0.658548479,0.658548479,0.658548479,0.658548479,0.658548479,0.658548479
puma_0101600,AL,110629,50429,5812704.845,2500336.32,308019.2845,2338,2348,0.999296951,6840975.731,3564739.606,0.369401455,0.000717434,0.009172902,0,0.001665471,0,0.617274777,0,0.001767961,0.379291791,0.379291791,0.379291791,0.380957261,0.380957261,0.380957261,0.379291791,0.379291791,0.379291791,0.380957261,0.380957261,0.380957261,0.617274777,0.617274777,0.617274777,0.617274777,0.617274777,0.617274777
puma_0101700,AL,136921,63611,7436606.107,1927095.279,339554.1078,2534.502107,2047.780516,0.997584644,8752146.076,2747467.534,0.271286414,0.003992456,0.181165236,0.000200626,0.021908354,0.000260814,0.51623064,0.001725383,0.003230078,0.456444106,0.456444106,0.456444106,0.480338657,0.480338657,0.480338657,0.456644732,0.456644732,0.456644732,0.480539283,0.480539283,0.480539283,0.51623064,0.51623064,0.51623064,0.51623064,0.51623064,0.51623064
puma_0101800,AL,131013,64871,8162887.635,1735995.129,495747.3395,2773.576172,1790.113912,0.994822615,9606907.231,2475015.277,0.162158972,0.002321053,0.187533193,0,0.020791125,0.000236039,0.624068137,0.000904817,0.001986664,0.352013218,0.352013218,0.352013218,0.3739452,0.3739452,0.3739452,0.352013218,0.352013218,0.352013218,0.3739452,0.3739452,0.3739452,0.624068137,0.624068137,0.624068137,0.624068137,0.624068137,0.624068137
puma_0101900,AL,140247,62391,7893840.877,1708308.624,512517.278,2523.41643,1921.298523,0.996639795,9290265.945,2435542.515,0.196007227,0.001210479,0.063233966,0.000180668,0.006142728,0,0.729900632,0,0.0033243,0.260451671,0.260451671,0.260451671,0.266594399,0.266594399,0.266594399,0.26063234,0.26063234,0.26063234,0.266775068,0.266775068,0.266775068,0.729900632,0.729900632,0.729900632,0.729900632,0.729900632,0.729900632
puma_0102000,AL,196534,87844,11622578.77,4038940.248,672469.369,2270.719535,2141.589145,0.998536599,13678619.75,5758333.449,0.565012653,0.001082675,0.012861652,0,0.002374058,0,0.416607967,0.000117398,0.001943597,0.57895698,0.57895698,0.57895698,0.581448436,0.581448436,0.581448436,0.57895698,0.57895698,0.57895698,0.581448436,0.581448436,0.581448436,0.416607967,0.416607967,0.416607967,0.416607967,0.416607967,0.416607967
puma_0102100,AL,178002,73729,10191254.31,2161880.958,564372.4948,2352.695144,2122.276952,0.99827177,11994093.16,3082202.426,0.255619722,0.001428217,0.150428465,0,0.008553775,0,0.579638599,0.001381644,0.002949578,0.407476403,0.407476403,0.407476403,0.417411823,0.417411823,0.417411823,0.407476403,0.407476403,0.407476403,0.417411823,0.417411823,0.417411823,0.579638599,0.579638599,0.579638599,0.579638599,0.579638599,0.579638599
puma_0102200,AL,143558,68875,8332114.661,2002277.904,580845.7852,2195.603234,2165.170503,0.998610184,9806070.618,2854655.706,0.153449855,0.001717295,0.153201801,0.000324378,0.034269577,0,0.655014502,0.000629675,0.001392917,0.308368951,0.308368951,0.308368951,0.343268203,0.343268203,0.343268203,0.308693329,0.308693329,0.308693329,0.343592581,0.343592581,0.343592581,0.655014502,0.655014502,0.655014502,0.655014502,0.655014502,0.655014502
puma_0102300,AL,122566,57858,7234830.768,1611821.848,377958.9259,2049.250902,2205.586631,0.998136525,8514676.562,2297980.929,0.146777643,0.001236949,0.134093673,0,0.014025745,0,0.70082603,0.000670888,0.002369072,0.282108264,0.282108264,0.282108264,0.296804897,0.296804897,0.296804897,0.282108264,0.282108264,0.282108264,0.296804897,0.296804897,0.296804897,0.70082603,0.70082603,0.70082603,0.70082603,0.70082603,0.70082603
puma_0102400,AL,145669,66443,7694943.799,2067714.543,475465.4055,2268.542264,2151.572146,0.99828074,9056183.857,2947948.988,0.183868862,0.002955683,0.138409371,0,0.012965112,0,0.654819758,0.002230362,0.004750852,0.325233916,0.325233916,0.325233916,0.34042939,0.34042939,0.34042939,0.325233916,0.325233916,0.325233916,0.34042939,0.34042939,0.34042939,0.654819758,0.654819758,0.654819758,0.654819758,0.654819758,0.654819758
puma_0102500,AL,195890,89574,11268357.12,3215087.136,571809.3844,1871.49126,2395.396978,0.999383314,13261736.08,4583762.735,0.073762642,0.002335008,0.045939316,2.62E-05,0.006480303,0,0.866143695,0.000511603,0.004801196,0.122036967,0.122036967,0.122036967,0.129028873,0.129028873,0.129028873,0.122063203,0.122063203,0.122063203,0.129055109,0.129055109,0.129055109,0.866143695,0.866143695,0.866143695,0.866143695,0.866143695,0.866143695
puma_0102600,AL,182265,104061,13429299.41,2822658.285,564988.1683,1819.556267,2349.842894,0.999197011,15804950.32,4024275.335,0.124823026,0.001264587,0.037016673,0,0.006116754,0,0.828648403,0.000577312,0.001553243,0.163104287,0.163104287,0.163104287,0.169798353,0.169798353,0.169798353,0.163104287,0.163104287,0.163104287,0.169798353,0.169798353,0.169798353,0.828648403,0.828648403,0.828648403,0.828648403,0.828648403,0.828648403
