"puma","state","hh_total","moe_total","hh_utilgas","moe_utilgas","hh_othergas","moe_othergas","hh_elec","moe_elec","hh_fok","moe_fok","hh_coal","moe_coal","hh_wood","moe_wood","hh_solar","moe_solar","hh_other","moe_other","hh_none","moe_none"
"puma_1210700","FL","41374","755","2204","302","1149","224","37354","930","80","67","32","40","289","117","42","39","12","20","212","89"
"puma_1210900","FL","76342","1061","3450","439","1417","236","70405","1099","119","78","0","32","171","112","88","66","180","93","512","207"
"puma_1211101","FL","44552","1176","988","221","248","100","42394","1169","44","46","0","32","28","36","0","32","24","39","826","198"
"puma_1211102","FL","70316","1210","2875","496","368","169","66032","1282","104","104","0","32","19","31","25","29","60","74","833","253"
"puma_1211300","FL","63514","733","5071","499","1003","201","56574","938","8","13","0","32","372","147","11","18","67","48","408","131"
"puma_1211501","FL","58280","855","1704","242","186","84","55355","913","80","39","14","15","9","13","75","50","44","31","813","184"
"puma_1211502","FL","64882","1107","2431","317","228","102","61452","1118","60","42","0","32","40","40","87","60","21","26","563","124"
"puma_1211503","FL","59680","1068","1744","263","180","89","56841","1131","84","47","0","32","0","32","120","76","15","23","696","223"
"puma_1211701","FL","45907","828","1323","261","236","105","43668","859","96","46","20","33","44","39","56","54","23","27","441","128"
"puma_1211702","FL","42629","835","2579","336","266","126","39242","818","20","19","0","32","51","37","53","46","12","21","406","145"
"puma_1211703","FL","44528","702","3360","348","245","95","40176","736","106","67","11","17","48","43","18","20","22","25","542","139"
"puma_1211704","FL","40604","590","1035","218","327","121","38716","654","14","16","12","17","53","44","87","61","21","34","339","120"
"puma_1212100","FL","35627","792","1784","333","2240","290","30319","877","85","57","0","32","724","175","0","32","90","91","385","158"
"puma_1212701","FL","47891","931","3046","349","624","178","43562","953","83","69","0","32","126","71","36","32","102","75","312","137"
"puma_1212702","FL","58110","973","1795","272","311","107","54939","966","471","119","7","10","39","35","5","7","7","11","536","135"
"puma_1212703","FL","62097","842","2629","300","477","149","58273","867","213","74","0","32","38","29","27","28","34","33","406","109"
"puma_1212704","FL","45592","765","1511","275","279","100","43391","797","7","12","0","32","41","31","65","51","19","30","279","102"
"puma_1300100","GA","59499","842","5334","551","1048","264","52245","985","50","57","0","31","312","109","8","16","29","31","473","143"
"puma_1300200","GA","42228","576","3516","426","1303","293","36703","750","51","47","6","13","204","98","9","14","61","50","375","170"
