"state","propane.res.mmbtu","propane.com.mmbtu"
"AL",8493000,2513000
"AZ",4568000,1185000
"AR",6041000,1115000
"CA",31684000,8617000
"CO",12343000,1897000
"CT",5816000,3040000
"DE",3838000,1107000
"DC",9000,4000
"FL",9016000,8010000
"GA",12655000,3662000
"ID",3912000,968000
"IL",25357000,3048000
"IN",17282000,2321000
"IA",17639000,2469000
"KS",8928000,1857000
"KY",10163000,1244000
"LA",2794000,959000
"ME",6005000,4604000
"MD",7743000,3340000
"MA",6462000,2232000
"MI",35057000,2634000
"MN",19403000,2572000
"MS",7733000,2143000
"MO",18652000,3629000
"MT",7540000,1117000
"NE",8357000,690000
"NV",2386000,748000
"NH",8313000,3309000
"NJ",5712000,1794000
"NM",6266000,1489000
"NY",22176000,6589000
"NC",24444000,8026000
"ND",5786000,1060000
"OH",20090000,3843000
"OK",8208000,1784000
"OR",2389000,1322000
"PA",20785000,6844000
"RI",725000,321000
"SC",6196000,2711000
"SD",5036000,1375000
"TN",10807000,1688000
"TX",20474000,9006000
"UT",1694000,1261000
"VT",5911000,2822000
"VA",13252000,5803000
"WA",9028000,2770000
"WV",3238000,827000
"WI",23897000,3419000
"WY",3335000,1424000
