puma,state,htg_slope_com_mmbtu_m2_degC
puma_0602902,CA,1.0869330136877419e-05
puma_0602903,CA,1.084051988879474e-05
puma_0602904,CA,1.084051988879474e-05
puma_0602905,CA,9.744012875806654e-06
puma_0603100,CA,1.0484062082874337e-05
puma_0603300,CA,8.809643180422826e-06
puma_0603701,CA,1.0891893057732193e-05
puma_0603702,CA,1.1956889309216596e-05
puma_0603703,CA,9.845230580771942e-06
puma_0603704,CA,1.0449867435814702e-05
puma_0603705,CA,1.2767959292406268e-05
puma_0603706,CA,1.2928049072994046e-05
puma_0603707,CA,1.2638002631112266e-05
puma_0603708,CA,1.2529367193088821e-05
puma_0603709,CA,1.2184030423182354e-05
puma_0603710,CA,1.2239416344873258e-05
puma_0603711,CA,1.2862908348558639e-05
puma_0603712,CA,1.2862908348558639e-05
puma_0603713,CA,1.28799217679829e-05
puma_0603714,CA,1.318560968661769e-05
puma_0603715,CA,1.3024590169128885e-05
puma_0603716,CA,1.3521542314233447e-05
puma_0603717,CA,1.2730454350785909e-05
puma_0603718,CA,1.3819909052031095e-05
puma_0603719,CA,1.3186113695946818e-05
puma_0603720,CA,1.2594748234328217e-05
puma_0603721,CA,1.2529367193088821e-05
puma_0603722,CA,1.2708040405350589e-05
puma_0603723,CA,1.2717628831085848e-05
puma_0603724,CA,1.261442510272252e-05
puma_0603725,CA,1.2376344693224838e-05
puma_0603726,CA,1.235221647188094e-05
puma_0603727,CA,1.2867453998325496e-05
puma_0603728,CA,1.2599568556072642e-05
puma_0603729,CA,1.3056454437980188e-05
puma_0603730,CA,1.3520462288744043e-05
puma_0603731,CA,1.3393051077767814e-05
puma_0603732,CA,1.3675293848106455e-05
puma_0603733,CA,1.3742430502175696e-05
puma_0603734,CA,1.3742430502175696e-05
puma_0603735,CA,1.3749802584453444e-05
puma_0603736,CA,1.337187163875102e-05
puma_0603737,CA,1.361792356908265e-05
puma_0603738,CA,1.325799815146086e-05
puma_0603739,CA,1.3942205850163288e-05
puma_0603740,CA,1.4385203367016947e-05
puma_0603741,CA,1.436876944297782e-05
puma_0603742,CA,1.3752562584194945e-05
puma_0603743,CA,1.4362919044252834e-05
puma_0603744,CA,1.3792935483432598e-05
puma_0603745,CA,1.3742430502175696e-05
puma_0603746,CA,1.3742430502175696e-05
puma_0603747,CA,1.350162937656289e-05
puma_0603748,CA,1.2919051057810787e-05
puma_0603749,CA,1.3281330705073815e-05
puma_0603750,CA,1.3698591411570382e-05
puma_0603751,CA,1.3681191375183057e-05
puma_0603752,CA,1.3779433569465093e-05
puma_0603753,CA,1.421680525319789e-05
puma_0603754,CA,1.3525599331982457e-05
puma_0603755,CA,1.3646057211855609e-05
puma_0603756,CA,1.3392143703441836e-05
puma_0603757,CA,1.3529795271023467e-05
puma_0603758,CA,1.3612880628732021e-05
puma_0603759,CA,1.348564782626547e-05
puma_0603760,CA,1.2930900339132763e-05
puma_0603761,CA,1.2964175449841296e-05
puma_0603762,CA,1.2922100134604004e-05
puma_0603763,CA,1.3392143703441836e-05
puma_0603764,CA,1.338765258409255e-05
puma_0603765,CA,1.3392143703441836e-05
puma_0603766,CA,1.3392143703441836e-05
puma_0603767,CA,1.2738431517996471e-05
puma_0603768,CA,1.2657184218751125e-05
puma_0603769,CA,1.3392143703441836e-05
puma_0603900,CA,9.959192946233457e-06
puma_0604101,CA,1.0066337193066583e-05
puma_0604102,CA,1.0179602182597605e-05
puma_0604701,CA,1.0747304899672588e-05
puma_0604702,CA,1.0321224210817953e-05
puma_0605301,CA,9.444132024135322e-06
puma_0605302,CA,1.0100215891493484e-05
puma_0605303,CA,9.921407301568765e-06
puma_0605500,CA,1.0257518908250824e-05
puma_0605700,CA,7.40016380232729e-06
puma_0605901,CA,1.2522264758841757e-05
puma_0605902,CA,1.2623829514169005e-05
puma_0605903,CA,1.2691422235706713e-05
puma_0605904,CA,1.3226395971125467e-05
puma_0605905,CA,1.3365786473280898e-05
puma_0605906,CA,1.3424791433742254e-05
puma_0605907,CA,1.3814195984375666e-05
puma_0605908,CA,1.337792770479795e-05
puma_0605909,CA,1.3425882770918247e-05
puma_0605910,CA,1.3872675364382671e-05
puma_0605911,CA,1.4012556338099547e-05
puma_0605912,CA,1.3560575256476144e-05
puma_0605913,CA,1.3742350224642229e-05
puma_0605914,CA,1.3268975427627622e-05
puma_0605915,CA,1.2345539936505192e-05
puma_0605916,CA,1.386261990786866e-05
puma_0605917,CA,1.38593542469623e-05
puma_0605918,CA,1.3168399983229003e-05
puma_0606101,CA,1.0638046010596417e-05
puma_0606102,CA,1.0449119528851087e-05
puma_0606103,CA,8.62888484455781e-06
puma_0606501,CA,1.4407668930800516e-05
puma_0606502,CA,1.3623790013271339e-05
puma_0606503,CA,1.2600337672531532e-05
puma_0606504,CA,1.2251414155122992e-05
puma_0606505,CA,1.1924624795276236e-05
puma_0606506,CA,1.1848610272274298e-05
puma_0606507,CA,1.1493036978455549e-05
puma_0606508,CA,1.2301809219486084e-05
puma_0606509,CA,1.1902736212707458e-05
puma_0606510,CA,1.2851079970310496e-05
puma_0606511,CA,1.2879533897273954e-05
puma_0606512,CA,1.2759213029037352e-05
puma_0606513,CA,1.211423726297851e-05
puma_0606514,CA,1.2530067330034767e-05
puma_0606515,CA,1.462342101820188e-05
puma_0606701,CA,1.0696718311969829e-05
puma_0606702,CA,1.0892561508870555e-05
puma_0606703,CA,1.0909704762554702e-05
puma_0606704,CA,1.0970909972127306e-05
puma_0606705,CA,1.044645826977787e-05
puma_0606706,CA,1.0880483163284297e-05
puma_0606707,CA,1.0707552376246392e-05
puma_0606708,CA,1.0792553561237506e-05
puma_0606709,CA,1.0381841310383773e-05
puma_0606710,CA,1.0604632376336097e-05
puma_0606711,CA,1.0792480173616371e-05
puma_0606712,CA,1.0669523323730785e-05
puma_0607101,CA,1.1219641673733761e-05
puma_0607102,CA,1.0088950140589183e-05
puma_0607103,CA,9.986887597228259e-06
puma_0607104,CA,7.246070826313162e-06
puma_0607105,CA,1.201050905976917e-05
puma_0607106,CA,1.2659644155558973e-05
puma_0607107,CA,1.288477548279895e-05
puma_0607108,CA,1.288477548279895e-05
puma_0607109,CA,1.2847332139543017e-05
puma_0607110,CA,1.2781067354723285e-05
puma_0607111,CA,1.2604522268944146e-05
puma_0607112,CA,1.2726988840325411e-05
puma_0607113,CA,1.2556838034796724e-05
puma_0607114,CA,1.224086769676695e-05
puma_0607115,CA,1.2656529323147614e-05
puma_0607301,CA,1.1793748800790491e-05
puma_0607302,CA,1.1740306097754458e-05
puma_0607303,CA,1.2605629794474605e-05
puma_0607304,CA,1.2182116947296507e-05
puma_0607305,CA,1.2886059616568699e-05
puma_0607306,CA,1.3086467343506806e-05
puma_0607307,CA,1.2370005124051493e-05
puma_0607308,CA,1.2522691061243315e-05
puma_0607309,CA,1.257128765023566e-05
puma_0607310,CA,1.2792452461593053e-05
puma_0607311,CA,1.2536386097254515e-05
puma_0607312,CA,1.2520535623771866e-05
puma_0607313,CA,1.3282504435633549e-05
puma_0607314,CA,1.3339859328872199e-05
puma_0607315,CA,1.2620494772918592e-05
puma_0607316,CA,1.3350013214892182e-05
puma_0607317,CA,1.3407966405240335e-05
puma_0607318,CA,1.3393822733959962e-05
puma_0607319,CA,1.3486718908945948e-05
puma_0607320,CA,1.2495936195839544e-05
puma_0607321,CA,1.3269688822719417e-05
puma_0607322,CA,1.272846225464394e-05
puma_0607501,CA,9.61694932684595e-06
puma_0607502,CA,9.897288139344995e-06
puma_0607503,CA,9.881016464735643e-06
puma_0607504,CA,9.881016464735643e-06
puma_0607505,CA,9.137245453975729e-06
puma_0607506,CA,9.202019074806556e-06
puma_0607507,CA,9.881016464735643e-06
puma_0607701,CA,1.0802598109501558e-05
puma_0607702,CA,1.0611859670119132e-05
puma_0607703,CA,1.0468426335943491e-05
puma_0607704,CA,1.054981610119342e-05
puma_0607901,CA,1.0252398223250251e-05
puma_0607902,CA,1.0075384891285966e-05
puma_0608101,CA,9.400225219446162e-06
puma_0608102,CA,1.0357643804561412e-05
puma_0608103,CA,1.0323004694001228e-05
puma_0608104,CA,1.0006157051123893e-05
puma_0608105,CA,1.0529709197878435e-05
puma_0608106,CA,1.0177056411118089e-05
puma_0608301,CA,1.0041940517837611e-05
puma_0608302,CA,1.073872116817039e-05
puma_0608303,CA,1.1655781846715909e-05
puma_0608501,CA,1.0541918082652702e-05
puma_0608502,CA,1.12066142244839e-05
puma_0608503,CA,1.1056494925979827e-05
puma_0608504,CA,1.1056494925979827e-05
puma_0608505,CA,1.0730848666650624e-05
puma_0608506,CA,1.1033887114661145e-05
puma_0608507,CA,1.0687740244429875e-05
puma_0608508,CA,1.0542625179723533e-05
puma_0608509,CA,1.1056494925979827e-05
puma_0608510,CA,1.091412084479681e-05
puma_0608511,CA,1.0409696428857262e-05
