temp,cop
-40,1
-39.9,1
-39.8,1
-39.7,1
-39.6,1
-39.5,1
-39.4,1
-39.3,1
-39.2,1
-39.1,1
-39,1
-38.9,1
-38.8,1
-38.7,1
-38.6,1
-38.5,1
-38.4,1
-38.3,1
-38.2,1
-38.1,1
-38,1
-37.9,1
-37.8,1
-37.7,1
-37.6,1
-37.5,1
-37.4,1
-37.3,1
-37.2,1
-37.1,1
-37,1
-36.9,1
-36.8,1
-36.7,1
-36.6,1
-36.5,1
-36.4,1
-36.3,1
-36.2,1
-36.1,1
-36,1
-35.9,1
-35.8,1
-35.7,1
-35.6,1
-35.5,1
-35.4,1
-35.3,1
-35.2,1
-35.1,1
-35,1
-34.9,1
-34.8,1
-34.7,1
-34.6,1
-34.5,1
-34.4,1
-34.3,1
-34.2,1
-34.1,1
-34,1
-33.9,1
-33.8,1
-33.7,1
-33.6,1
-33.5,1
-33.4,1
-33.3,1
-33.2,1
-33.1,1
-33,1
-32.9,1
-32.8,1
-32.7,1
-32.6,1
-32.5,1
-32.4,1
-32.3,1
-32.2,1
-32.1,1
-32,1
-31.9,1
-31.8,1
-31.7,1
-31.6,1
-31.5,1
-31.4,1
-31.3,1
-31.2,1
-31.1,1
-31,1
-30.9,1
-30.8,1
-30.7,1
-30.6,1
-30.5,1
-30.4,1
-30.3,1
-30.2,1
-30.1,1
-30,1
-29.9,1
-29.8,1
-29.7,1
-29.6,1
-29.5,1
-29.4,1
-29.3,1
-29.2,1
-29.1,1
-29,1
-28.9,1
-28.8,1
-28.7,1
-28.6,1
-28.5,1
-28.4,1
-28.3,1
-28.2,1
-28.1,1
-28,1
-27.9,1
-27.8,1
-27.7,1
-27.6,1
-27.5,1
-27.4,1
-27.3,1
-27.2,1
-27.1,1
-27,1
-26.9,1
-26.8,1
-26.7,1
-26.6,1
-26.5,1
-26.4,1
-26.3,1
-26.2,1
-26.1,1
-26,1
-25.9,1
-25.8,1
-25.7,1
-25.6,1
-25.5,1
-25.4,1
-25.3,1
-25.2,1
-25.1,1
-25,1
-24.9,1
-24.8,1
-24.7,1
-24.6,1
-24.5,1
-24.4,1
-24.3,1
-24.2,1
-24.1,1
-24,1
-23.9,1
-23.8,1
-23.7,1
-23.6,1
-23.5,1
-23.4,1
-23.3,1
-23.2,1
-23.1,1
-23,1
-22.9,1
-22.8,1
-22.7,1
-22.6,1
-22.5,1
-22.4,1
-22.3,1
-22.2,1
-22.1,1
-22,1
-21.9,1
-21.8,1
-21.7,1
-21.6,1
-21.5,1
-21.4,1
-21.3,1
-21.2,1
-21.1,1
-21,1
-20.9,1
-20.8,1
-20.7,1
-20.6,1
-20.5,1
-20.4,1
-20.3,1
-20.2,1
-20.1,1
-20,1
-19.9,1
-19.8,1
-19.7,1
-19.6,1
-19.5,1
-19.4,1
-19.3,1
-19.2,1
-19.1,1
-19,1
-18.9,1
-18.8,1
-18.7,1
-18.6,1
-18.5,1
-18.4,1
-18.3,1
-18.2,1
-18.1,1
-18,1
-17.9,1
-17.8,1
-17.7,1
-17.6,1
-17.5,1
-17.4,1
-17.3,1
-17.2,1
-17.1,1
-17,1
-16.9,1.02708362
-16.8,1.190300578
-16.7,1.293319812
-16.6,1.37328381
-16.5,1.440493928
-16.4,1.499450047
-16.3,1.552563523
-16.2,1.60129251
-16.1,1.646592933
-16,1.68912895
-15.9,1.729382701
-15.8,1.767716436
-15.7,1.804409961
-15.6,1.839684381
-15.5,1.87371778
-15.4,1.906655938
-15.3,1.938619865
-15.2,1.96971124
-15.1,2.000016413
-15,2.029609415
-14.9,2.04909911
-14.8,2.06827858
-14.7,2.08718238
-14.6,2.0992
-14.5,2.104
-14.4,2.1088
-14.3,2.1136
-14.2,2.1184
-14.1,2.1232
-14,2.128
-13.9,2.1328
-13.8,2.1376
-13.7,2.1424
-13.6,2.1472
-13.5,2.152
-13.4,2.1568
-13.3,2.1616
-13.2,2.1664
-13.1,2.1712
-13,2.176
-12.9,2.180799999
-12.8,2.185599999
-12.7,2.190399999
-12.6,2.195199999
-12.5,2.199999999
-12.4,2.204799999
-12.3,2.209599999
-12.2,2.214399999
-12.1,2.219199999
-12,2.223999999
-11.9,2.228799999
-11.8,2.233599999
-11.7,2.238399999
-11.6,2.243199999
-11.5,2.247999999
-11.4,2.252799999
-11.3,2.257599999
-11.2,2.262399999
-11.1,2.267199999
-11,2.271999999
-10.9,2.276799999
-10.8,2.281599999
-10.7,2.286399999
-10.6,2.291199999
-10.5,2.295999999
-10.4,2.300799999
-10.3,2.305599999
-10.2,2.310399999
-10.1,2.315199999
-10,2.319999999
-9.9,2.324799999
-9.8,2.329599999
-9.7,2.334399999
-9.6,2.339199999
-9.5,2.343999999
-9.4,2.348799999
-9.3,2.353599999
-9.2,2.358399999
-9.1,2.363199999
-9,2.367999999
-8.9,2.372799999
-8.8,2.377599999
-8.7,2.382399998
-8.6,2.387199998
-8.5,2.391999998
-8.4,2.396799998
-8.3,2.402799997
-8.2,2.411199997
-8.1,2.419599997
-8,2.427999997
-7.9,2.436399997
-7.8,2.444799997
-7.7,2.453199997
-7.6,2.461599997
-7.5,2.469999997
-7.4,2.478399998
-7.3,2.486799998
-7.2,2.495199998
-7.1,2.503599998
-7,2.511999998
-6.9,2.520399998
-6.8,2.528799998
-6.7,2.537199998
-6.6,2.545599998
-6.5,2.553999998
-6.4,2.562399998
-6.3,2.570799998
-6.2,2.579199998
-6.1,2.587599998
-6,2.595999998
-5.9,2.604399998
-5.8,2.612799998
-5.7,2.621199998
-5.6,2.629599998
-5.5,2.637999998
-5.4,2.646399998
-5.3,2.654799998
-5.2,2.663199998
-5.1,2.671599998
-5,2.679999998
-4.9,2.688399998
-4.8,2.696799998
-4.7,2.705199998
-4.6,2.713599998
-4.5,2.721999998
-4.4,2.730399999
-4.3,2.738799999
-4.2,2.747199999
-4.1,2.755599999
-4,2.763999999
-3.9,2.772399999
-3.8,2.780799999
-3.7,2.789199999
-3.6,2.797599999
-3.5,2.805999999
-3.4,2.814399999
-3.3,2.822799999
-3.2,2.831199999
-3.1,2.839599999
-3,2.847999999
-2.9,2.856399999
-2.8,2.864799999
-2.7,2.873199999
-2.6,2.881599999
-2.5,2.889999999
-2.4,2.898399999
-2.3,2.906799999
-2.2,2.915199999
-2.1,2.923599999
-2,2.931999999
-1.9,2.940399999
-1.8,2.948799999
-1.7,2.957199999
-1.6,2.965599999
-1.5,2.973999999
-1.4,2.9824
-1.3,2.9908
-1.2,2.9992
-1.1,3.0076
-1,3.016
-0.9,3.0244
-0.8,3.0328
-0.7,3.0412
-0.6,3.0496
-0.5,3.058
-0.4,3.0664
-0.3,3.0748
-0.2,3.0832
-0.1,3.0916
0,3.1
0.1,3.1084
0.2,3.1168
0.3,3.1252
0.4,3.1336
0.5,3.142
0.6,3.1504
0.7,3.1588
0.8,3.1672
0.9,3.1756
1,3.184
1.1,3.1924
1.2,3.2008
1.3,3.2092
1.4,3.2176
1.5,3.226000001
1.6,3.234400001
1.7,3.242800001
1.8,3.251200001
1.9,3.259600001
2,3.268000001
2.1,3.276400001
2.2,3.284800001
2.3,3.293200001
2.4,3.301600001
2.5,3.310000001
2.6,3.318400001
2.7,3.326800001
2.8,3.335200001
2.9,3.343600001
3,3.352000001
3.1,3.360400001
3.2,3.368800001
3.3,3.377200001
3.4,3.385600001
3.5,3.394000001
3.6,3.402400001
3.7,3.410800001
3.8,3.419200001
3.9,3.427600001
4,3.436000001
4.1,3.444400001
4.2,3.452800001
4.3,3.461200001
4.4,3.469600001
4.5,3.478000002
4.6,3.486400002
4.7,3.494800002
4.8,3.503200002
4.9,3.511600002
5,3.520000002
5.1,3.528400002
5.2,3.536800002
5.3,3.545200002
5.4,3.553600002
5.5,3.562000002
5.6,3.570400002
5.7,3.578800002
5.8,3.587200002
5.9,3.595600002
6,3.604000002
6.1,3.612400002
6.2,3.620800002
6.3,3.629200002
6.4,3.637600002
6.5,3.646000002
6.6,3.654400002
6.7,3.662800002
6.8,3.671200002
6.9,3.679600002
7,3.688000002
7.1,3.696400002
7.2,3.704800002
7.3,3.713200002
7.4,3.721600002
7.5,3.730000003
7.6,3.738400003
7.7,3.746800003
7.8,3.755200003
7.9,3.763600003
8,3.772000003
8.1,3.780400003
8.2,3.788800003
8.3,3.797200003
8.4,3.805600003
8.5,3.814000003
8.6,3.822400003
8.7,3.830800003
8.8,3.839200003
8.9,3.847600003
9,3.856000003
9.1,3.864400003
9.2,3.872800003
9.3,3.881200003
9.4,3.889600003
9.5,3.898000003
9.6,3.906400003
9.7,3.914800003
9.8,3.923200003
9.9,3.931600003
10,3.940000003
10.1,3.948400003
10.2,3.956800003
10.3,3.965200003
10.4,3.973600003
10.5,3.982000004
10.6,3.990400004
10.7,3.998800004
10.8,4.007200004
10.9,4.015600004
11,4.024000004
11.1,4.032400004
11.2,4.040800004
11.3,4.049200004
11.4,4.057600004
11.5,4.066000004
11.6,4.074400004
11.7,4.082800004
11.8,4.091200004
11.9,4.099600004
12,4.108000004
12.1,4.116400004
12.2,4.124800004
12.3,4.133200004
12.4,4.141600004
12.5,4.150000004
12.6,4.158400004
12.7,4.166800004
12.8,4.175200004
12.9,4.183600004
13,4.192000004
13.1,4.200400004
13.2,4.208800004
13.3,4.217200004
13.4,4.225600005
13.5,4.234000005
13.6,4.242400005
13.7,4.250800005
13.8,4.259200005
13.9,4.267600005
14,4.276000005
14.1,4.284400005
14.2,4.292800005
14.3,4.301200005
14.4,4.309600005
14.5,4.318000005
14.6,4.326400005
14.7,4.334800005
14.8,4.343200005
14.9,4.351600005
15,4.360000005
15.1,4.368400005
15.2,4.376800005
15.3,4.385200005
15.4,4.393600005
15.5,4.402000005
15.6,4.410400005
15.7,4.418800005
15.8,4.427200005
15.9,4.435600005
16,4.444000005
16.1,4.452400005
16.2,4.460800005
16.3,4.469200005
16.4,4.477600006
16.5,4.486000006
16.6,4.494400006
16.7,4.502800006
16.8,4.511200006
16.9,4.519600006
17,4.528000006
17.1,4.536400006
17.2,4.544800006
17.3,4.553200006
17.4,4.561600006
17.5,4.570000006
17.6,4.578400006
17.7,4.586800006
17.8,4.595200006
17.9,4.603600006
18,4.612000006
18.1,4.620400006
18.2,4.628800006
18.3,4.637200006
18.4,4.645600006
18.5,4.654000006
18.6,4.662400006
18.7,4.670800006
18.8,4.679200006
18.9,4.687600006
19,4.696000006
19.1,4.704400006
19.2,4.712800006
19.3,4.721200006
19.4,4.729600007
19.5,4.738000007
19.6,4.746400007
19.7,4.754800007
19.8,4.763200007
19.9,4.771600007
20,4.780000007
20.1,4.788400007
20.2,4.796800007
20.3,4.805200007
20.4,4.813600007
20.5,4.822000007
20.6,4.830400007
20.7,4.838800007
20.8,4.847200007
20.9,4.855600007
21,4.864000007
21.1,4.872400007
21.2,4.880800007
21.3,4.889200007
21.4,4.897600007
21.5,4.906000007
21.6,4.914400007
21.7,4.922800007
21.8,4.931200007
21.9,4.939600007
22,4.948000007
22.1,4.956400007
22.2,4.964800007
22.3,4.973200007
22.4,4.981600008
22.5,4.990000008
22.6,4.998400008
22.7,5.006800008
22.8,5.015200008
22.9,5.023600008
23,5.032000008
23.1,5.040400008
23.2,5.048800008
23.3,5.057200008
23.4,5.065600008
23.5,5.074000008
23.6,5.082400008
23.7,5.090800008
23.8,5.099200008
23.9,5.107600008
24,5.116000008
24.1,5.124400008
24.2,5.132800008
24.3,5.141200008
24.4,5.149600008
24.5,5.158000008
24.6,5.166400008
24.7,5.174800008
24.8,5.183200008
24.9,5.191600008
25,5.200000008
25.1,5.2
25.2,5.2
25.3,5.2
25.4,5.2
25.5,5.2
25.6,5.2
25.7,5.2
25.8,5.2
25.9,5.2
26,5.2
26.1,5.2
26.2,5.2
26.3,5.2
26.4,5.2
26.5,5.2
26.6,5.2
26.7,5.2
26.8,5.2
26.9,5.2
27,5.2
27.1,5.2
27.2,5.2
27.3,5.2
27.4,5.2
27.5,5.2
27.6,5.2
27.7,5.2
27.8,5.2
27.9,5.2
28,5.2
28.1,5.2
28.2,5.2
28.3,5.2
28.4,5.2
28.5,5.2
28.6,5.2
28.7,5.2
28.8,5.2
28.9,5.2
29,5.2
29.1,5.2
29.2,5.2
29.3,5.2
29.4,5.2
29.5,5.2
29.6,5.2
29.7,5.2
29.8,5.2
29.9,5.2
30,5.2
30.1,5.2
30.2,5.2
30.3,5.2
30.4,5.2
30.5,5.2
30.6,5.2
30.7,5.2
30.8,5.2
30.9,5.2
31,5.2
31.1,5.2
31.2,5.2
31.3,5.2
31.4,5.2
31.5,5.2
31.6,5.2
31.7,5.2
31.8,5.2
31.9,5.2
32,5.2
32.1,5.2
32.2,5.2
32.3,5.2
32.4,5.2
32.5,5.2
32.6,5.2
32.7,5.2
32.8,5.2
32.9,5.2
33,5.2
33.1,5.2
33.2,5.2
33.3,5.2
33.4,5.2
33.5,5.2
33.6,5.2
33.7,5.2
33.8,5.2
33.9,5.2
34,5.2
34.1,5.2
34.2,5.2
34.3,5.2
34.4,5.2
34.5,5.2
34.6,5.2
34.7,5.2
34.8,5.2
34.9,5.2
35,5.2
35.1,5.2
35.2,5.2
35.3,5.2
35.4,5.2
35.5,5.2
35.6,5.2
35.7,5.2
35.8,5.2
35.9,5.2
36,5.2
36.1,5.2
36.2,5.2
36.3,5.2
36.4,5.2
36.5,5.2
36.6,5.2
36.7,5.2
36.8,5.2
36.9,5.2
37,5.2
37.1,5.2
37.2,5.2
37.3,5.2
37.4,5.2
37.5,5.2
37.6,5.2
37.7,5.2
37.8,5.2
37.9,5.2
38,5.2
38.1,5.2
38.2,5.2
38.3,5.2
38.4,5.2
38.5,5.2
38.6,5.2
38.7,5.2
38.8,5.2
38.9,5.2
39,5.2
39.1,5.2
39.2,5.2
39.3,5.2
39.4,5.2
39.5,5.2
39.6,5.2
39.7,5.2
39.8,5.2
39.9,5.2
40,5.2
40.1,5.2
40.2,5.2
40.3,5.2
40.4,5.2
40.5,5.2
40.6,5.2
40.7,5.2
40.8,5.2
40.9,5.2
41,5.2
41.1,5.2
41.2,5.2
41.3,5.2
41.4,5.2
41.5,5.2
41.6,5.2
41.7,5.2
41.8,5.2
41.9,5.2
42,5.2
42.1,5.2
42.2,5.2
42.3,5.2
42.4,5.2
42.5,5.2
42.6,5.2
42.7,5.2
42.8,5.2
42.9,5.2
43,5.2
43.1,5.2
43.2,5.2
43.3,5.2
43.4,5.2
43.5,5.2
43.6,5.2
43.7,5.2
43.8,5.2
43.9,5.2
44,5.2
44.1,5.2
44.2,5.2
44.3,5.2
44.4,5.2
44.5,5.2
44.6,5.2
44.7,5.2
44.8,5.2
44.9,5.2
45,5.2
