,natgas,elec,othergas,fok
northeast,0.454673934,0.429967395,0.10635308,0
midwest,0.340784837,0.628353653,0.030641976,0
south,0.191864916,0.752428234,0.044627662,0
west,0.381896333,0.546356706,0.05069104,0
