bus_id,Pmax,bus_capacity,true_load
107655,0.0,3246.0,5.004006657415016
107656,0.0,2100.0,3.38782820664586
107657,33.900000000000006,1178.0,2.649038206406119
107658,69.36,4286.0,4.748503427315791
107659,0.0,1400.0,1.3248831277157003
107660,0.0,382.0,0.0
107662,0.0,1082.0,7.1950673759074295
107663,0.0,2100.0,3.532452676513346
107664,0.0,978.0,35.98533766227363
107666,0.0,5139.0,28.534381201655727
107668,0.0,86.0,0.0
107669,0.0,1793.0,13.787691801089123
107670,0.0,258.0,9.68181144734203
107671,0.0,86.0,0.0
107672,0.0,86.0,1.6227832842476164
107673,0.0,872.0,7.8633395905822
107674,0.0,6677.0,9.68181144734203
107675,0.0,239.0,0.0
107677,0.0,86.0,0.0
107678,0.0,786.0,0.0
107679,0.0,2800.0,25.205642717975476
107680,0.0,86.0,0.0
107685,0.0,2510.0,25.205642717975476
107686,0.0,939.0,39.03867699318328
107687,0.0,1811.0,8.452791754125084
107688,0.0,700.0,0.0
107689,0.0,2800.0,5.031840170659996
107690,0.0,956.0,9.35486834448626
107692,0.0,956.0,2.8279385174020963
107693,0.0,1793.0,4.179860179940736
107694,0.0,2800.0,1.2135077941763424
107695,0.0,478.0,14.72317863553775
107698,1135.1,2698.0,31.231418883747875
107700,0.0,478.0,7.489860790604624
107701,0.0,1589.0,10.113758174472645
107702,0.0,86.0,2.4926428535244636
107703,0.0,86.0,0.0
107704,0.0,892.0,0.0
107706,0.0,1146.0,0.0
107708,0.0,2038.0,7.301659818396586
107709,0.0,939.0,2.1637363435190218
107711,0.0,172.0,1.1160804470435433
107712,0.0,86.0,4.239281044083649
107713,0.0,478.0,10.12075130180085
107714,0.0,239.0,17.232342924175036
107715,0.0,239.0,7.614892205441505
107716,0.0,446.0,11.401050670207749
107717,0.0,446.0,0.0
107718,0.0,478.0,5.521100958058726
107719,0.0,86.0,1.4718881099974792
107720,12.0,258.0,14.166923058725738
107721,0.0,717.0,14.166923058725738
107722,136.0,650.0,14.166923058725738
107723,0.0,956.0,14.166923058725738
107724,0.0,478.0,0.0
107725,0.0,939.0,5.968141355103415
107726,0.0,478.0,6.36652429396637
107727,0.0,86.0,4.614855799423915
107728,0.0,478.0,2.7080916569271802
107729,0.0,478.0,1.797284861587831
107730,0.0,239.0,0.0
107731,0.0,1400.0,0.0
107733,0.0,258.0,6.643263587374986
107734,0.0,1793.0,0.0
107735,0.0,86.0,5.987908447489746
107736,0.0,446.0,21.237459950759085
107737,0.0,786.0,0.0
107738,0.0,1146.0,0.0
107739,0.0,872.0,10.85213372009505
107740,0.0,1424.0,7.777590581236681
107741,0.0,86.0,8.721849379075971
107743,0.0,172.0,3.247885333630802
107744,0.0,172.0,8.001110779759024
107745,0.0,86.0,0.0
107748,0.0,86.0,41.23567526345211
