plant_id,bus_id,distance,plant_Pmax,bus_capacity,true_load
1,153567,31170.32320857693,104.0,4383.0,22.789276358009165
2,109058,116.13695696355204,306.2,10472.0,3.458569124921592
4,109058,116.13695696355204,1192.5,10472.0,3.458569124921592
6,109058,116.13695696355204,680.4,10472.0,3.458569124921592
8,109058,116.13695696355204,390.4,10472.0,3.458569124921592
12,110902,71.07929767826542,225.0,956.0,9.072478429142146
15,110143,244.99683071934444,138.0,4383.0,13.784152309470112
17,112080,1911.7084732195567,1166.7,1793.0,1.8702588474440127
20,302880,62.543717566532194,86.9,939.0,20.092591487420528
32,110192,98.8928899979366,72.9,717.0,8.165543862416783
35,153567,10630.282085813384,90.0,4383.0,22.789276358009165
36,155346,596.8242767803827,100.0,1673.0,0.0
40,109875,17.042556248296936,128.10000000000002,956.0,8.392669099334189
43,111337,15394.681447668008,177.0,239.0,8.543041669982953
49,109169,195.379449724886,210.6,2612.0,4.9356663553568545
53,155347,175.28546932303863,170.0,956.0,0.0
57,112236,15419.116634687563,181.0,325.0,2.921300461041109
59,109165,48.24961689307839,91.0,1195.0,4.9356663553568545
62,149955,20.440369647123,87.6,478.0,4.606726357062682
65,109168,88.13160757067381,50.5,803.0,4.9356663553568545
71,111678,9349.342349695557,32.0,239.0,9.536127188642505
73,130035,21.45639869213528,11.8,86.0,1.894812708063217
78,309468,12.943508686519111,12.1,700.0,0.0
79,133844,103.98788372342226,101.1,478.0,6.429993776178956
82,153052,178.25346275689833,3494.0,17368.809028331234,23.960929304314128
85,149528,184.2560996333275,476.0,5798.0,0.0
93,155340,207.56052165108525,115.2,3716.0,0.0
97,114930,268.62649912542093,404.00000000000006,2676.0,18.63836685572555
108,111872,367.8833677838971,720.7,3893.0,21.05862295429125
109,109042,356.7507563897327,3.0,956.0,7.170891962812974
111,109447,136.2978140046633,1055.0,2546.0,7.4128423312652565
120,109054,4508.175093985524,5.2,239.0,0.0
123,109067,191.54254488048824,538.0,5083.0,4.526840928905526
126,131925,194.00628209834807,109.8,956.0,34.394202533288166
127,131726,127.2170516221852,76.3,2339.0,0.0
128,131726,127.2170516221852,250.0,2339.0,0.0
188,306537,21397.9027673947,257.0,3500.0,27.474831795019732
189,129010,15903.245384138289,4.6,786.0,44.695633288024844
226,200892,116.105973816834,177.8,1178.0,14.641989213557133
228,303752,17535.447177555812,1.4,786.0,0.0
229,301470,6.006387376651124,199.8,797.0,11.308432110048939
230,118031,7135.737239497763,348.7,478.0,4.245437334887945
238,306857,120.3681375625596,839.9,7498.0,51.23603681395961
241,307626,64093.31232870902,26.1,86.0,19.849860424354222
242,303830,184.88664308143,227.2,6397.0,43.40088296928269
244,303830,184.88664308143,106.2,6397.0,43.40088296928269
246,307289,457.31394935590697,396.0,5783.0,29.460553664310236
249,307289,457.31394935590697,460.0,5783.0,29.460553664310236
250,307289,457.31394935590697,245.2,5783.0,29.460553664310236
254,307289,457.31394935590697,106.2,5783.0,29.460553664310236
256,310248,43010.348290801776,184.5,3500.0,32.85752903565554
259,304284,171.5458086084983,240.6,2546.0,45.26754438635725
261,304284,171.5458086084983,97.7,2546.0,45.26754438635725
266,304284,171.5458086084983,86.7,2546.0,45.26754438635725
267,309245,230.7405991566346,85.0,2800.0,0.0
268,301595,186.75081625971603,504.5,4900.0,123.72092509278013
269,301595,186.75081625971603,54.0,4900.0,123.72092509278013
279,120263,120861.95445649663,1471.8,2994.0,112.63660562231149
281,308123,1140.5034379441058,390.4,872.0,0.0
284,308123,1140.5034379441058,222.9,872.0,0.0
287,308123,1140.5034379441058,0.2,872.0,0.0
289,307582,21693.32058870824,160.0,4900.0,0.0
292,307582,21693.32058870824,160.0,4900.0,0.0
295,307208,757.4569817726195,180.0,7498.0,49.63202122441312
298,307208,757.4569817726195,180.0,7498.0,49.63202122441312
299,307208,757.4569817726195,180.0,7498.0,49.63202122441312
300,307582,12776.25211420995,20.0,4900.0,0.0
301,307582,12776.25211420995,54.3,4900.0,0.0
302,307582,40363.79932960207,36.0,4900.0,0.0
303,307582,12810.727361725072,13.0,4900.0,0.0
304,310173,21.93511538683516,71.2,700.0,0.0
305,310173,21.93511538683516,71.2,700.0,0.0
306,303462,502.8130697613153,254.8,4588.0,44.48630705243445
319,303785,551.8429441274423,1039.4,5600.0,32.98110299103744
328,201561,551.8429441274423,1.5,2100.0,10.620897438542894
334,306616,65.5787568967117,204.0,3694.0,17.921557639594504
335,306616,65.5787568967117,204.0,3694.0,17.921557639594504
336,301499,3878.5939272601854,3.3000000000000003,2800.0,17.608402492493184
339,304723,3688.632623619754,1.0,2800.0,0.0
341,118391,305.72002710200314,540.0,9186.0,6.765425180372601
342,118391,305.72002710200314,594.0,9186.0,6.765425180372601
343,118391,305.72002710200314,369.0,9186.0,6.765425180372601
344,118391,305.72002710200314,231.3,9186.0,6.765425180372601
345,121623,199.82394627092168,56.0,1281.0,20.617694038409084
351,108051,214.51262875320424,9.0,239.0,9.557152291819476
354,308474,34483.81764795778,1.0,700.0,0.0
357,121462,94.13074247640336,40.0,478.0,13.209333388453324
358,121462,94.13074247640336,30.0,478.0,13.209333388453324
359,121236,77.67501773228724,96.0,892.0,12.554754866946084
361,121105,198.52790364449976,7.200000000000001,786.0,15.59212155786519
366,121615,41.78275709867255,17.0,86.0,0.0
369,117298,128.27917120094966,80.4,3438.0,13.918969916442482
371,121642,79.61737424779105,75.0,172.0,0.0
373,161407,15369.410622829357,340.0,700.0,0.0
381,117283,114.3610768964318,160.8,2652.4830424891657,0.0
