hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,1254.168641766065,297.2345723562649,0.0,1551.40321412233
1,1190.549195291435,319.5063087119744,0.0,1510.0555040034092
2,1177.7288595573068,291.95500065480445,0.0,1469.6838602121113
3,1100.267679467902,284.4698137760494,0.0,1384.7374932439516
4,1004.5676275078082,278.6193035577217,0.0,1283.18693106553
5,904.5865438398921,263.64652277965575,0.0,1168.2330666195478
6,847.3044637727037,259.48608115715143,0.0,1106.790544929855
7,818.4073320633797,256.7815854729287,0.0,1075.1889175363085
8,817.4138687987677,224.95294509216313,0.0,1042.3668138909309
9,824.8426737930372,198.508582358381,0.0,1023.3512561514182
10,831.9282277197518,179.9017984188809,0.0,1011.8300261386328
11,855.6678462743816,181.72154565785175,0.0,1037.3893919322334
12,886.2859308049186,184.2406446291918,0.0,1070.5265754341103
13,911.2401110197865,190.1308865639637,0.0,1101.37099758375
14,939.131204007797,249.25301456023476,0.0,1188.3842185680319
15,941.4704630328816,293.87687686175684,0.0,1235.3473398946385
16,963.0301019375103,298.6829505806063,0.0,1261.7130525181165
17,975.0894924014982,301.4087054823013,0.0,1276.4981978837995
18,947.1354560960106,327.9811741063699,0.0,1275.1166302023805
19,933.1778470281406,340.68758713734036,0.0,1273.865434165481
20,930.0910369493133,365.61088550539574,0.0,1295.7019224547091
21,964.6998722606801,394.24554280511046,0.0,1358.9454150657905
22,1111.844972899723,358.15147303931224,0.0,1469.9964459390353
23,1131.995443884585,387.928804811923,0.0,1519.9242486965081
24,1118.4017834643776,395.5032342618373,0.0,1513.9050177262147
25,1068.595308207372,411.4004851985425,0.0,1479.9957934059146
26,1060.4644378559542,395.84298549548413,0.0,1456.3074233514383
27,1002.3688661507374,396.9240144815418,0.0,1399.2928806322793
28,939.8599923817242,383.5982755921721,0.0,1323.4582679738962
29,917.2512128445176,360.9396305893524,0.0,1278.19084343387
30,885.3867287471311,348.0559657778312,0.0,1233.4426945249622
31,867.0191066063792,337.9559026075651,0.0,1204.9750092139443
32,862.4798220463314,334.06189887643086,0.0,1196.5417209227621
33,870.4047908597292,325.6683698936243,0.0,1196.0731607533535
34,915.4953970649731,319.88663445807583,0.0,1235.382031523049
35,977.4299347775255,348.804745691929,0.0,1326.2346804694546
