plant_id,bus_id,distance,plant_Pmax,bus_capacity
21,110568,10163.275866816688,568.4,239.0
23,110568,10163.275866816688,720.0,239.0
67,111678,9349.342349695557,1060.8,239.0
70,111678,9349.342349695557,1400.0,239.0
275,151897,6098.856520556079,2390.1,717.0
311,303089,3733.175886282327,1312.0,700.0
347,121639,63.72063053695011,552.5,478.0
494,301699,2304.7320909016,1163.0,797.0
526,306750,114944.82538743773,1849.8,786.0
609,306467,4899.490542546519,658.4,700.0
622,200526,21931.04831276113,1200.0,478.0
643,121981,177.33614165016505,1320.0,1400.0
757,301254,232869.91677902467,276.2,86.0
920,109196,33989.341108700246,217.0,239.0
923,109196,33989.341108700246,437.0,239.0
1013,130226,699.5217490309931,697.8,700.0
1026,155708,128.85839762628692,795.0,239.0
1029,155708,128.85839762628692,500.0,239.0
1044,120132,531.5475187523281,1215.9,700.0
1055,151847,1593.944688421676,795.0,764.0
1082,151390,55.10670852690711,226.8,239.0
1121,169009,1876.2002838242809,1822.5,258.0
1125,155812,704.2156603252378,2320.0,872.000026615615
1165,128174,34.12008833241716,150.0,86.0
1167,128174,34.12008833241716,150.0,86.0
1168,128174,34.12008833241716,150.0,86.0
1169,128173,3441.967432601267,363.8,258.0
1170,128173,3441.967432601267,249.0,258.0
1216,157742,187.39444132131848,3498.6,478.0
1237,116534,824.8915530992613,1125.0,939.0
1239,116534,824.8915530992613,1395.0,939.0
1477,122866,288.9097763644509,1785.6,1782.0001104584294
2100,173427,30325.48068722737,1598.9,446.0
2422,158633,11562.467224564856,1472.0,86.0
2423,158633,11562.467224564856,693.0,86.0
2426,158633,11562.467224564856,467.0,86.0
2593,123269,144.1719356312745,132.8,86.0
2594,123269,144.1719356312745,495.0,86.0
2596,123269,144.1719356312745,414.7,86.0
2626,133902,707.8499905018998,1318.0,1400.0
2780,128250,192.0611287064396,1560.8,1793.0
2807,128955,291.54547165239137,1380.0,1400.0
2818,128356,274.47883202910907,3279.6000000000004,3193.0
3132,129691,83.71285873413416,922.5,717.0
3164,129440,2818.707757063143,136.9,86.0
3165,129440,2818.707757063143,187.9,86.0
3166,129440,2818.707757063143,238.0,86.0
3189,129379,5894.5719626439895,1186.2,786.0
3193,129420,3754.632320517871,421.2,478.0
3409,110015,10036.836600920911,877.2,478.0
3476,122833,21882.90131584028,408.0,382.0
3510,117139,33.07421246845335,80.0,86.0
4025,308383,9176.689987902111,1636.2,1486.0
4121,140994,161.70326644390855,1827.0,700.0
4162,124152,84.80768072990372,1548.0,939.0
4294,124322,180.9865852479119,1803.6,939.0
4357,124326,126.41325435526844,1242.0,700.0
4413,166944,1035.522240328046,2429.1000000000004,700.0
4469,113943,11460.072640474777,2558.2,797.0
4583,140123,9596.842222682417,1114.8000000000002,872.0
4595,113791,120.81238050232184,293.8,344.0
4709,118585,107.44376981724209,826.0,430.0
4713,118413,3561.117902434179,1716.0,1400.0
4885,200957,7798.52130462739,1108.5,239.0
4967,162048,174.26954988623746,1951.0,700.0
5004,124870,2354.504075208704,730.0,239.0
5005,124870,2354.504075208704,1252.8,239.0
5076,125000,108.68490530272568,2876.4,797.0
5152,162065,4412.415014159381,626.0,700.0
5153,162065,4412.415014159381,626.0,700.0
5155,162065,4412.415014159381,626.0,700.0
5157,162065,4412.415014159381,626.0,700.0
5230,173160,156.8595320096851,780.0,700.0
5288,131199,24558.27948733773,494.1,86.0
5324,116074,238.32306998851936,1144.0,1146.0
5449,305580,6167.828377200927,927.5,764.0
5463,307057,27194.680623502943,542.8,382.0
5469,305875,25853.45852147001,1530.0,700.0
5500,304958,86646.1716660279,1255.3,382.0
5504,304958,86646.1716660279,2736.8,382.0
5520,305332,41913.285277057286,474.7,478.0
5523,307442,167363.64759385618,434.4,239.0
5862,201455,529.5063233443691,1459.8,1400.0
5995,200457,1107.018247926868,2273.0,1400.0
6030,201420,25050.085250011703,405.0,239.0
6046,161974,198.1787700647417,2052.0,382.0
6155,143569,8094.1889645798,145.5,86.0
6405,300021,8864.625709485495,352.0,172.0
6406,300021,8864.625709485495,351.0,172.0
6407,300021,8864.625709485495,379.2,172.0
6409,119507,203.14236689989235,946.0,382.0
6414,301047,589.0611142948184,2409.3,2800.000012633446
6419,145841,957.3080259566212,2285.3,786.0
6423,168870,2196.5617362311023,2822.0,717.0
6427,129173,453.6577766977956,1368.0,764.0
6431,303696,57476.2536476406,4209.6,258.0
6446,130551,10139.945575509098,880.0,86.0
6447,171348,284.7676153616061,1425.6,1400.0
6454,124701,7634.037499507744,2449.8,1793.0
6458,134175,2312.579096066474,1209.6,1400.0
6476,116628,418.02124594592544,2410.2,181.0
6478,114672,3373.862877984345,2440.6,181.0
6493,108666,5449.626907127139,1568.8000000000002,1497.0
6504,120615,27563.66684948741,2160.0,1082.0
6520,116864,90.91187974832847,1721.8000000000002,700.0
6522,115640,9730.762262554026,1904.0,1497.0000509163956
6548,140311,382.2424292905593,1400.1,700.0
6549,140311,382.2424292905593,1194.0,700.0
6585,125202,69.85592284566734,655.1,700.0
6622,148599,109.12502282878532,1389.6,1400.0
6629,307044,1162.6833778544055,702.0,0.00012971530479672895
6631,204418,4317.002954424552,402.3,86.0
6632,146475,66.7028298140011,2532.0,2800.0
6634,124985,2903.478935275342,2277.0,1400.0
6636,201241,14715.954835115384,642.2,478.0
6707,306061,9907.611063813783,1116.0,382.0
6738,140557,15169.165015059927,1600.0,258.0
6781,206757,45327.25986915264,1577.2,382.0
6784,127899,776119.09380959,2600.0,86.0
6786,171572,17709.26613032811,2862.0,1400.0
